timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1614245524,2.79,101.66,2675,309,249,750256,KUL,SGN,MAS766,2752,A333,MH766
1614245588,2.84,101.6,6450,316,260,750256,KUL,SGN,MAS766,2944,A333,MH766
1614245645,2.91,101.6,9500,42,284,750256,KUL,SGN,MAS766,2816,A333,MH766
1614245715,2.97,101.67,12900,49,300,750256,KUL,SGN,MAS766,2560,A333,MH766
1614245766,3.02,101.73,14350,49,340,750256,KUL,SGN,MAS766,896,A333,MH766
1614245829,3.09,101.81,16300,49,377,750256,KUL,SGN,MAS766,2304,A333,MH766
1614245892,3.16,101.89,18975,49,383,750256,KUL,SGN,MAS766,2112,A333,MH766
1614245953,3.23,101.98,20825,49,400,750256,KUL,SGN,MAS766,1344,A333,MH766
1614246016,3.33,102.04,22825,26,410,750256,KUL,SGN,MAS766,1984,A333,MH766
1614246078,3.43,102.1,24750,29,415,750256,KUL,SGN,MAS766,2304,A333,MH766
1614246140,3.54,102.16,26275,27,428,750256,KUL,SGN,MAS766,1280,A333,MH766
1614246200,3.65,102.21,27575,27,438,750256,KUL,SGN,MAS766,1152,A333,MH766
1614246268,3.78,102.28,28775,27,454,750256,KUL,SGN,MAS766,960,A333,MH766
1614246328,3.89,102.33,29750,27,467,750256,KUL,SGN,MAS766,832,A333,MH766
1614246388,4.01,102.39,30575,22,483,750256,KUL,SGN,MAS766,768,A333,MH766
1614246441,4.12,102.43,31350,22,493,750256,KUL,SGN,MAS766,960,A333,MH766
1614246505,4.26,102.49,32375,22,502,750256,KUL,SGN,MAS766,1088,A333,MH766
1614246569,4.4,102.55,33750,22,501,750256,KUL,SGN,MAS766,1408,A333,MH766
1614246625,4.52,102.6,35075,22,494,750256,KUL,SGN,MAS766,1984,A333,MH766
1614246682,4.63,102.64,37125,22,470,750256,KUL,SGN,MAS766,1024,A333,MH766
1614246741,4.75,102.69,38025,22,473,750256,KUL,SGN,MAS766,896,A333,MH766
1614246801,4.88,102.74,38500,22,483,750256,KUL,SGN,MAS766,576,A333,MH766
1614246865,5.01,102.8,38975,22,490,750256,KUL,SGN,MAS766,0,A333,MH766
1614246912,5.11,102.84,39000,22,483,750256,KUL,SGN,MAS766,0,A333,MH766
1614246988,5.27,102.9,39000,22,485,750256,KUL,SGN,MAS766,-64,A333,MH766
1614247046,5.39,102.95,39000,22,486,750256,KUL,SGN,MAS766,0,A333,MH766
1614247108,5.52,103.0,39000,22,489,750256,KUL,SGN,MAS766,0,A333,MH766
1614247161,5.63,103.05,39000,22,488,750256,KUL,SGN,MAS766,0,A333,MH766
