timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1614410925,21.22,105.79,0,177,3,8881B3,HAN,SGN,BAV241,0,B789,QH241
1614410986,21.22,105.79,0,106,2,8881B3,HAN,SGN,BAV241,0,B789,QH241
1614411051,21.22,105.79,0,227,0,8881B3,HAN,SGN,BAV241,0,B789,QH241
1614411111,21.22,105.79,0,46,0,8881B3,HAN,SGN,BAV241,0,B789,QH241
1614411162,21.22,105.79,0,133,0,8881B3,HAN,SGN,BAV241,0,B789,QH241
1614411231,21.22,105.79,0,314,0,8881B3,HAN,SGN,BAV241,0,B789,QH241
1614411296,21.22,105.79,0,314,0,8881B3,HAN,SGN,BAV241,0,B789,QH241
1614411351,21.22,105.79,0,314,0,8881B3,HAN,SGN,BAV241,0,B789,QH241
1614411410,21.22,105.79,0,314,0,8881B3,HAN,SGN,BAV241,0,B789,QH241
1614411471,21.22,105.79,0,109,0,8881B3,HAN,SGN,BAV241,0,B789,QH241
1614411531,21.22,105.79,0,314,0,8881B3,HAN,SGN,BAV241,0,B789,QH241
1614411591,21.22,105.79,0,109,1,8881B3,HAN,SGN,BAV241,0,B789,QH241
1614411650,21.22,105.79,0,109,0,8881B3,HAN,SGN,BAV241,0,B789,QH241
1614411710,21.22,105.79,0,180,0,8881B3,HAN,SGN,BAV241,0,B789,QH241
1614411777,21.22,105.79,0,180,0,8881B3,HAN,SGN,BAV241,0,B789,QH241
1614411825,21.22,105.79,0,109,1,8881B3,HAN,SGN,BAV241,0,B789,QH241
1614411898,21.22,105.79,0,42,4,8881B3,HAN,SGN,BAV241,0,B789,QH241
1614411958,21.22,105.79,0,19,5,8881B3,HAN,SGN,BAV241,0,B789,QH241
1614412018,21.22,105.79,0,19,0,8881B3,HAN,SGN,BAV241,0,B789,QH241
1614412077,21.22,105.79,0,19,2,8881B3,HAN,SGN,BAV241,0,B789,QH241
1614412138,21.22,105.79,0,19,12,8881B3,HAN,SGN,BAV241,0,B789,QH241
1614412194,21.22,105.79,0,106,21,8881B3,HAN,SGN,BAV241,0,B789,QH241
1614412228,21.22,105.81,125,107,145,8881B3,HAN,SGN,BAV241,0,B789,QH241
