timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1614593472,18.31,91.08,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614593532,18.31,91.2,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614593592,18.3,91.33,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614593652,18.3,91.46,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614593712,18.29,91.59,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614593772,18.29,91.74,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614593832,18.28,91.89,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614593892,18.28,92.04,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614593948,17.93,92.11,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614594008,17.92,92.24,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614594068,17.92,92.37,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614594128,17.91,92.49,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614594200,17.91,92.65,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614594260,17.9,92.8,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614594320,17.9,92.96,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614594392,17.89,93.14,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614594444,17.5,93.18,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614594504,17.49,93.3,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614594564,17.49,93.43,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614594624,17.49,93.56,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614594684,17.48,93.69,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614594744,17.48,93.84,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614594804,17.47,93.99,39000,92,519,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614594853,17.11,94.04,39000,113,475,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614594924,17.05,94.19,39000,113,476,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614594976,17.01,94.29,39000,113,476,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614595030,16.96,94.41,39000,113,476,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614595099,16.9,94.56,39000,113,477,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614595162,16.84,94.69,39000,113,477,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614595219,16.79,94.81,39000,116,477,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614595282,16.72,94.94,39000,116,477,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614595343,16.66,95.07,39000,117,477,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614595403,16.6,95.19,39000,117,477,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614595455,16.55,95.3,39000,117,478,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614595516,16.49,95.42,39000,117,478,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614595579,16.42,95.55,39000,117,480,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614595638,16.36,95.67,39000,117,481,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614595697,16.3,95.79,39000,117,479,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614595763,16.24,95.93,39000,117,479,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614595819,16.18,96.04,39000,117,478,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614595879,16.12,96.16,39000,117,478,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614595938,16.06,96.28,39000,117,476,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614595994,16.0,96.4,39000,117,476,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614596054,15.94,96.52,39000,117,475,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614596112,15.88,96.64,39000,117,475,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614596172,15.82,96.76,39000,117,476,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614596231,15.76,96.88,39000,117,475,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614596287,15.7,96.99,39000,117,476,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614596345,15.64,97.11,39000,117,475,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614596407,15.58,97.23,39000,117,475,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614596470,15.51,97.36,39000,117,475,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614596527,15.46,97.47,39000,117,475,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614596587,15.4,97.59,39000,116,475,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614596643,15.34,97.71,39000,116,478,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614596705,15.28,97.84,39000,116,479,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614596775,15.21,97.98,39000,116,481,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614596826,15.15,98.08,39000,116,481,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614596887,15.09,98.21,39000,116,479,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614596946,15.03,98.33,39000,117,479,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614597003,14.98,98.44,39000,117,480,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614597067,14.91,98.58,39000,117,480,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614597131,14.85,98.71,39000,117,481,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614597195,14.78,98.84,39000,117,481,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614597259,14.72,98.97,39000,117,480,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614597313,14.66,99.08,39000,117,480,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614597377,14.6,99.21,39000,117,480,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614597438,14.53,99.33,39000,117,478,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614597495,14.48,99.45,39000,117,476,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614597552,14.42,99.56,39000,117,474,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614597608,14.36,99.67,39000,117,475,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614597671,14.3,99.8,39000,117,475,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614597729,14.24,99.92,39000,117,474,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614597795,14.18,100.05,39000,107,474,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614597850,14.15,100.17,39000,107,474,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614597904,14.11,100.29,39000,107,474,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614597963,14.08,100.42,39000,107,474,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614598022,14.04,100.54,39000,107,474,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614598083,14.0,100.67,39000,107,473,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614598147,13.94,100.81,39000,120,471,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614598207,13.87,100.92,39000,120,470,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614598263,13.81,101.03,39000,120,470,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614598327,13.74,101.15,39000,120,468,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614598387,13.67,101.27,39000,120,468,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614598450,13.61,101.39,39000,120,464,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614598512,13.53,101.5,39000,133,461,89617F,DXB,SGN,UAE392,-64,B77W,EK392
1614598575,13.43,101.6,39000,136,464,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614598635,13.34,101.69,39000,137,468,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614598699,13.24,101.78,39000,137,468,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614598755,13.15,101.87,39000,137,468,89617F,DXB,SGN,UAE392,64,B77W,EK392
1614598818,13.05,101.96,39000,139,465,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614598878,12.96,102.06,39000,129,462,89617F,DXB,SGN,UAE392,-64,B77W,EK392
1614598934,12.88,102.15,39000,129,463,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614598994,12.8,102.26,39000,129,461,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614599052,12.73,102.36,39000,126,461,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614599119,12.64,102.47,39000,126,466,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614599178,12.57,102.58,39000,126,465,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614599241,12.49,102.69,39000,126,462,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614599301,12.41,102.8,39000,126,463,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614599365,12.35,102.92,39000,111,464,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614599431,12.29,103.05,39000,112,463,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614599488,12.24,103.17,39000,112,462,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614599546,12.2,103.29,39000,112,462,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614599610,12.15,103.41,39000,112,460,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614599670,12.1,103.54,39000,112,458,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614599726,12.05,103.65,39000,112,458,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614599785,12.01,103.76,39000,112,456,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614599839,11.96,103.87,39000,112,454,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614599907,11.91,104.01,39000,112,457,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614599967,11.86,104.13,39000,112,460,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614600023,11.81,104.24,39000,112,460,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614600078,11.77,104.35,39000,112,461,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614600143,11.72,104.48,39000,112,461,89617F,DXB,SGN,UAE392,-64,B77W,EK392
1614600206,11.67,104.61,39000,112,456,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614600263,11.62,104.72,39000,112,455,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614600319,11.57,104.83,39000,112,456,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614600373,11.53,104.94,39000,112,455,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614600429,11.49,105.05,39000,112,456,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614600499,11.43,105.19,39000,112,454,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614600561,11.38,105.31,38275,112,453,89617F,DXB,SGN,UAE392,-1536,B77W,EK392
1614600623,11.33,105.43,36700,112,458,89617F,DXB,SGN,UAE392,-2624,B77W,EK392
1614600670,11.29,105.53,33975,112,476,89617F,DXB,SGN,UAE392,-3008,B77W,EK392
1614600742,11.23,105.68,30300,112,489,89617F,DXB,SGN,UAE392,-2560,B77W,EK392
1614600798,11.18,105.8,28400,112,471,89617F,DXB,SGN,UAE392,-1856,B77W,EK392
1614600865,11.12,105.93,25975,112,456,89617F,DXB,SGN,UAE392,-2048,B77W,EK392
1614600917,11.08,106.03,24225,112,442,89617F,DXB,SGN,UAE392,-1920,B77W,EK392
1614600974,11.04,106.14,22350,112,428,89617F,DXB,SGN,UAE392,-2240,B77W,EK392
1614601029,10.97,106.23,20425,137,422,89617F,DXB,SGN,UAE392,-1920,B77W,EK392
1614601094,10.88,106.31,18900,138,410,89617F,DXB,SGN,UAE392,-2240,B77W,EK392
1614601150,10.8,106.38,16750,137,399,89617F,DXB,SGN,UAE392,-2176,B77W,EK392
1614601214,10.71,106.46,14650,137,380,89617F,DXB,SGN,UAE392,-1536,B77W,EK392
1614601266,10.65,106.52,13350,137,359,89617F,DXB,SGN,UAE392,-1472,B77W,EK392
1614601326,10.59,106.59,11925,114,312,89617F,DXB,SGN,UAE392,-1280,B77W,EK392
1614601389,10.6,106.67,9875,66,273,89617F,DXB,SGN,UAE392,-2816,B77W,EK392
1614601446,10.63,106.74,7550,65,278,89617F,DXB,SGN,UAE392,-896,B77W,EK392
1614601507,10.66,106.81,6125,65,264,89617F,DXB,SGN,UAE392,-384,B77W,EK392
1614601570,10.71,106.86,5300,16,246,89617F,DXB,SGN,UAE392,-704,B77W,EK392
1614601631,10.78,106.88,4425,16,234,89617F,DXB,SGN,UAE392,-704,B77W,EK392
1614601687,10.83,106.89,3850,16,211,89617F,DXB,SGN,UAE392,-576,B77W,EK392
1614601747,10.87,106.87,3175,286,206,89617F,DXB,SGN,UAE392,-576,B77W,EK392
1614601806,10.88,106.81,2725,258,184,89617F,DXB,SGN,UAE392,-384,B77W,EK392
1614601865,10.86,106.76,2050,249,181,89617F,DXB,SGN,UAE392,-832,B77W,EK392
1614601925,10.85,106.72,1225,249,156,89617F,DXB,SGN,UAE392,-704,B77W,EK392
1614601990,10.83,106.68,400,248,150,89617F,DXB,SGN,UAE392,-768,B77W,EK392
1614602047,10.82,106.65,0,250,74,89617F,DXB,SGN,UAE392,0,B77W,EK392
1614602102,10.81,106.64,0,160,14,89617F,DXB,SGN,UAE392,0,B77W,EK392
