timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1614620412,22.31,113.93,0,188,2,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614620443,22.32,113.93,0,222,2,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614620845,22.31,113.93,0,250,7,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614620912,22.32,113.93,0,295,9,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614620964,22.32,113.92,0,281,8,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614621024,22.32,113.92,0,250,13,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614621079,22.31,113.92,0,250,14,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614621139,22.31,113.91,0,165,7,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614621203,22.31,113.92,0,160,8,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614621235,22.31,113.92,0,160,9,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614621319,22.3,113.92,0,160,8,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614621380,22.3,113.92,0,250,5,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614621439,22.3,113.91,0,250,14,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614621495,22.3,113.91,0,250,16,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614621556,22.3,113.91,0,250,12,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614621614,22.3,113.9,0,250,15,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614621666,22.3,113.9,0,250,7,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614621718,22.3,113.9,0,247,6,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614621800,22.3,113.9,0,73,6,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614621835,22.3,113.9,0,70,78,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614621913,22.32,113.97,2000,70,188,424482,HKG,SGN,ABG9934,2112,B77W,RL9934
1614621965,22.33,114.01,3600,70,217,424482,HKG,SGN,ABG9934,1024,B77W,RL9934
1614622009,22.33,114.06,4950,122,254,424482,HKG,SGN,ABG9934,2560,B77W,RL9934
1614622079,22.25,114.09,7850,179,260,424482,HKG,SGN,ABG9934,1152,B77W,RL9934
1614622134,22.18,114.09,9750,179,286,424482,HKG,SGN,ABG9934,2880,B77W,RL9934
1614622191,22.1,114.08,12175,184,308,424482,HKG,SGN,ABG9934,1472,B77W,RL9934
1614622260,21.99,114.07,14750,183,368,424482,HKG,SGN,ABG9934,2944,B77W,RL9934
1614622324,21.88,114.07,17675,183,387,424482,HKG,SGN,ABG9934,2496,B77W,RL9934
1614622385,21.77,114.06,20225,184,399,424482,HKG,SGN,ABG9934,2240,B77W,RL9934
1614622442,21.66,114.05,22200,183,412,424482,HKG,SGN,ABG9934,1664,B77W,RL9934
1614622504,21.54,114.04,24250,183,428,424482,HKG,SGN,ABG9934,2240,B77W,RL9934
1614622561,21.43,114.03,26000,183,442,424482,HKG,SGN,ABG9934,1472,B77W,RL9934
1614622619,21.3,114.03,27600,183,458,424482,HKG,SGN,ABG9934,1600,B77W,RL9934
1614622680,21.17,114.02,29250,183,473,424482,HKG,SGN,ABG9934,1856,B77W,RL9934
1614622743,21.03,114.01,31000,183,480,424482,HKG,SGN,ABG9934,1024,B77W,RL9934
1614622796,20.92,113.98,32125,205,483,424482,HKG,SGN,ABG9934,1792,B77W,RL9934
1614622864,20.8,113.89,34025,216,476,424482,HKG,SGN,ABG9934,-64,B77W,RL9934
1614622920,20.7,113.81,34000,216,480,424482,HKG,SGN,ABG9934,64,B77W,RL9934
1614622986,20.58,113.72,34000,216,479,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614623047,20.47,113.63,34000,216,479,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614623108,20.36,113.55,34000,216,476,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614623165,20.27,113.48,34000,216,476,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614623225,20.18,113.41,34000,216,476,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614623269,20.08,113.33,34000,216,477,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614623357,19.95,113.23,34000,216,476,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614623405,19.91,113.2,34000,217,475,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614623465,19.82,113.12,34000,217,475,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614623537,19.72,113.04,34000,217,475,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614623597,19.63,112.97,34000,217,475,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614623669,19.59,112.95,34000,216,474,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614623729,19.5,112.88,34000,216,474,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614623777,19.43,112.82,34000,216,474,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614623849,19.3,112.73,34000,216,474,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614623909,19.07,112.55,34000,216,470,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614623969,18.89,112.41,34000,216,469,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614624029,18.77,112.32,34000,216,468,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614624089,18.66,112.24,34000,216,470,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614624149,18.57,112.17,34000,216,470,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614624209,18.48,112.08,34000,220,469,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614624269,18.39,112.0,34000,220,469,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614624329,18.48,111.76,34000,238,470,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614624389,18.4,111.64,34000,237,471,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614624449,18.34,111.55,34000,237,471,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614624509,18.26,111.41,34000,237,465,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614624581,18.17,111.28,34000,237,463,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614624641,18.09,111.15,34000,237,462,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614624689,18.07,111.12,34000,237,462,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614624749,18.01,111.02,34000,237,462,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614624821,17.89,110.83,34000,237,461,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614624881,17.82,110.72,34000,237,461,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614624929,17.78,110.67,34000,237,462,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614624989,17.67,110.5,34000,237,461,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614625049,17.61,110.41,34000,237,461,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614625109,17.54,110.29,34000,237,463,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614625161,17.44,110.15,34000,236,463,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614625221,17.38,110.05,34000,236,462,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614625294,17.28,109.91,34000,236,463,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614625353,17.22,109.81,34000,236,464,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614625424,17.13,109.67,34000,236,467,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614625485,17.07,109.57,34000,236,467,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614625545,17.0,109.47,34000,236,467,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614625601,16.95,109.38,34000,237,467,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614625673,16.88,109.27,34000,237,467,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614625727,16.58,109.38,34000,188,473,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614625771,16.48,109.37,34000,187,472,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614625850,16.31,109.34,34000,187,469,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614625911,16.18,109.33,34000,187,469,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614625972,16.05,109.31,34000,187,467,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614626032,15.92,109.29,34000,187,466,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614626085,15.8,109.27,34000,187,467,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614626148,15.67,109.25,34000,187,467,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614626216,15.52,109.23,34000,186,468,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614626274,15.4,109.22,34000,186,466,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614626334,15.27,109.2,34000,186,465,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614626389,15.15,109.19,34000,186,467,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614626456,15.01,109.17,34000,186,466,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614626511,14.89,109.16,34000,186,467,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614626575,14.75,109.14,34000,186,467,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614626632,14.63,109.12,34000,186,466,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614626690,14.5,109.11,34000,186,467,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614626752,14.37,109.09,34000,186,470,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614626814,14.23,109.08,34000,186,470,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614626873,14.11,109.06,34000,186,469,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614626936,13.97,109.04,34000,196,466,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614627000,13.85,108.97,34000,214,469,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614627056,13.75,108.9,34000,215,470,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614627111,13.65,108.83,34000,214,472,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614627167,13.55,108.75,34000,214,474,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614627231,13.44,108.67,34000,214,474,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614627287,13.34,108.6,34000,214,472,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614627351,13.22,108.52,34000,210,472,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614627408,13.11,108.46,34000,206,473,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614627465,13.0,108.4,34000,206,474,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614627529,12.87,108.34,34000,206,474,424482,HKG,SGN,ABG9934,-64,B77W,RL9934
1614627588,12.75,108.28,34000,206,474,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614627639,12.65,108.23,34000,206,474,424482,HKG,SGN,ABG9934,0,B77W,RL9934
1614627699,12.54,108.17,34000,206,476,424482,HKG,SGN,ABG9934,-256,B77W,RL9934
1614627766,12.4,108.1,32425,206,468,424482,HKG,SGN,ABG9934,-1920,B77W,RL9934
1614627825,12.29,108.04,30650,206,451,424482,HKG,SGN,ABG9934,-1856,B77W,RL9934
1614627887,12.18,107.98,28625,206,444,424482,HKG,SGN,ABG9934,-1664,B77W,RL9934
1614627944,12.07,107.93,27050,206,435,424482,HKG,SGN,ABG9934,-1600,B77W,RL9934
1614628007,11.96,107.87,25475,206,425,424482,HKG,SGN,ABG9934,-1344,B77W,RL9934
1614628066,11.86,107.82,23975,206,417,424482,HKG,SGN,ABG9934,-1472,B77W,RL9934
1614628121,11.77,107.77,22675,206,400,424482,HKG,SGN,ABG9934,-1536,B77W,RL9934
1614628178,11.67,107.72,21000,206,393,424482,HKG,SGN,ABG9934,-1664,B77W,RL9934
1614628235,11.58,107.68,19450,206,382,424482,HKG,SGN,ABG9934,-1408,B77W,RL9934
1614628295,11.5,107.61,17800,231,380,424482,HKG,SGN,ABG9934,-1920,B77W,RL9934
1614628360,11.43,107.52,16000,232,372,424482,HKG,SGN,ABG9934,-1664,B77W,RL9934
1614628423,11.36,107.43,13775,231,380,424482,HKG,SGN,ABG9934,-2688,B77W,RL9934
1614628488,11.29,107.34,11950,231,345,424482,HKG,SGN,ABG9934,-1216,B77W,RL9934
1614628544,11.24,107.28,10800,231,310,424482,HKG,SGN,ABG9934,-1024,B77W,RL9934
1614628593,11.2,107.22,9900,231,303,424482,HKG,SGN,ABG9934,-768,B77W,RL9934
1614628664,11.14,107.14,8525,231,293,424482,HKG,SGN,ABG9934,-1216,B77W,RL9934
1614628724,11.09,107.08,7325,231,289,424482,HKG,SGN,ABG9934,-1216,B77W,RL9934
1614628787,11.03,107.01,6500,232,270,424482,HKG,SGN,ABG9934,-1024,B77W,RL9934
1614628852,10.98,106.95,5150,231,264,424482,HKG,SGN,ABG9934,-1472,B77W,RL9934
1614628911,10.94,106.9,4175,232,219,424482,HKG,SGN,ABG9934,-1536,B77W,RL9934
1614628967,10.91,106.85,3250,232,215,424482,HKG,SGN,ABG9934,-832,B77W,RL9934
