timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1615694005,16.09,108.2,2050,359,199,8881B8,DAD,SGN,VAG673,1280,A321,VU673
1615694069,16.16,108.2,5275,27,219,8881B8,DAD,SGN,VAG673,3008,A321,VU673
1615694118,16.18,108.25,6925,90,272,8881B8,DAD,SGN,VAG673,2560,A321,VU673
1615694185,16.18,108.34,10200,95,296,8881B8,DAD,SGN,VAG673,2688,A321,VU673
1615694239,16.12,108.39,12175,177,349,8881B8,DAD,SGN,VAG673,1408,A321,VU673
1615694304,16.01,108.39,14925,179,359,8881B8,DAD,SGN,VAG673,2304,A321,VU673
1615694361,15.91,108.39,17000,180,377,8881B8,DAD,SGN,VAG673,768,A321,VU673
1615694431,15.78,108.39,18825,178,411,8881B8,DAD,SGN,VAG673,2496,A321,VU673
1615694486,15.68,108.4,19775,178,441,8881B8,DAD,SGN,VAG673,1344,A321,VU673
1615694556,15.53,108.4,21725,179,452,8881B8,DAD,SGN,VAG673,1472,A321,VU673
1615694610,15.42,108.4,22000,179,452,8881B8,DAD,SGN,VAG673,0,A321,VU673
1615694667,15.29,108.4,23050,179,466,8881B8,DAD,SGN,VAG673,1216,A321,VU673
1615694732,15.16,108.4,24425,179,478,8881B8,DAD,SGN,VAG673,1088,A321,VU673
1615694789,15.03,108.4,25825,179,482,8881B8,DAD,SGN,VAG673,1856,A321,VU673
1615694856,14.88,108.4,29075,179,452,8881B8,DAD,SGN,VAG673,1536,A321,VU673
1615694910,14.77,108.4,30575,180,455,8881B8,DAD,SGN,VAG673,2112,A321,VU673
1615694969,14.65,108.4,32825,178,440,8881B8,DAD,SGN,VAG673,1984,A321,VU673
1615695031,14.52,108.4,34000,178,434,8881B8,DAD,SGN,VAG673,64,A321,VU673
1615695088,14.4,108.41,34000,178,436,8881B8,DAD,SGN,VAG673,0,A321,VU673
1615695143,14.29,108.41,34000,178,435,8881B8,DAD,SGN,VAG673,0,A321,VU673
1615695205,14.17,108.41,33975,179,434,8881B8,DAD,SGN,VAG673,0,A321,VU673
1615695265,14.05,108.41,33975,179,434,8881B8,DAD,SGN,VAG673,0,A321,VU673
1615695322,13.93,108.41,33975,179,435,8881B8,DAD,SGN,VAG673,0,A321,VU673
1615695382,13.81,108.41,34000,180,436,8881B8,DAD,SGN,VAG673,0,A321,VU673
1615695440,13.69,108.41,34025,192,438,8881B8,DAD,SGN,VAG673,0,A321,VU673
1615695495,13.59,108.38,34025,194,438,8881B8,DAD,SGN,VAG673,0,A321,VU673
1615695556,13.47,108.34,34000,195,435,8881B8,DAD,SGN,VAG673,0,A321,VU673
1615695617,13.35,108.31,34000,195,435,8881B8,DAD,SGN,VAG673,0,A321,VU673
1615695663,13.26,108.29,34000,195,433,8881B8,DAD,SGN,VAG673,0,A321,VU673
1615695734,13.13,108.25,34000,195,431,8881B8,DAD,SGN,VAG673,0,A321,VU673
1615695790,13.02,108.22,33975,195,430,8881B8,DAD,SGN,VAG673,0,A321,VU673
1615695854,12.9,108.19,33975,195,431,8881B8,DAD,SGN,VAG673,0,A321,VU673
1615695908,12.78,108.16,34000,194,434,8881B8,DAD,SGN,VAG673,0,A321,VU673
1615695969,12.66,108.13,33400,188,432,8881B8,DAD,SGN,VAG673,-896,A321,VU673
1615696022,12.56,108.12,32575,181,433,8881B8,DAD,SGN,VAG673,-960,A321,VU673
1615696076,12.45,108.12,31700,181,436,8881B8,DAD,SGN,VAG673,-960,A321,VU673
1615696141,12.32,108.12,30650,181,444,8881B8,DAD,SGN,VAG673,-960,A321,VU673
1615696196,12.2,108.11,30000,181,448,8881B8,DAD,SGN,VAG673,-64,A321,VU673
1615696263,12.06,108.11,30000,181,449,8881B8,DAD,SGN,VAG673,0,A321,VU673
1615696333,11.92,108.13,30000,157,442,8881B8,DAD,SGN,VAG673,0,A321,VU673
1615696387,11.83,108.2,30000,134,439,8881B8,DAD,SGN,VAG673,0,A321,VU673
1615696445,11.75,108.28,30000,140,439,8881B8,DAD,SGN,VAG673,0,A321,VU673
1615696499,11.65,108.34,29250,156,443,8881B8,DAD,SGN,VAG673,-960,A321,VU673
1615696554,11.54,108.35,28375,190,458,8881B8,DAD,SGN,VAG673,-1024,A321,VU673
1615696629,11.4,108.29,26775,206,421,8881B8,DAD,SGN,VAG673,-1216,A321,VU673
1615696690,11.3,108.24,26000,206,387,8881B8,DAD,SGN,VAG673,-128,A321,VU673
1615696751,11.22,108.17,25350,244,389,8881B8,DAD,SGN,VAG673,-896,A321,VU673
1615696787,11.2,108.1,24700,255,379,8881B8,DAD,SGN,VAG673,-1088,A321,VU673
1615696866,11.17,107.97,22800,254,355,8881B8,DAD,SGN,VAG673,-1728,A321,VU673
1615696931,11.14,107.87,21175,255,340,8881B8,DAD,SGN,VAG673,-1664,A321,VU673
1615696990,11.12,107.78,19575,254,333,8881B8,DAD,SGN,VAG673,-1344,A321,VU673
1615697051,11.09,107.69,18000,255,325,8881B8,DAD,SGN,VAG673,-1344,A321,VU673
1615697115,11.07,107.6,16450,255,317,8881B8,DAD,SGN,VAG673,-1472,A321,VU673
1615697176,11.05,107.51,15100,255,308,8881B8,DAD,SGN,VAG673,-1280,A321,VU673
1615697240,11.02,107.42,13600,254,301,8881B8,DAD,SGN,VAG673,-960,A321,VU673
1615697296,11.0,107.35,12525,252,286,8881B8,DAD,SGN,VAG673,-1408,A321,VU673
1615697359,10.98,107.26,12025,249,287,8881B8,DAD,SGN,VAG673,-576,A321,VU673
1615697417,10.91,107.24,10750,171,284,8881B8,DAD,SGN,VAG673,-1216,A321,VU673
1615697475,10.84,107.24,9775,199,260,8881B8,DAD,SGN,VAG673,-896,A321,VU673
1615697536,10.82,107.17,8450,281,254,8881B8,DAD,SGN,VAG673,-1280,A321,VU673
1615697596,10.83,107.11,7225,280,250,8881B8,DAD,SGN,VAG673,-1408,A321,VU673
1615697650,10.84,107.04,6275,280,240,8881B8,DAD,SGN,VAG673,-960,A321,VU673
1615697712,10.86,106.98,5400,280,215,8881B8,DAD,SGN,VAG673,-1152,A321,VU673
1615697770,10.87,106.92,4425,281,208,8881B8,DAD,SGN,VAG673,-1088,A321,VU673
1615697835,10.88,106.86,3275,279,205,8881B8,DAD,SGN,VAG673,-896,A321,VU673
1615697893,10.88,106.81,2375,251,198,8881B8,DAD,SGN,VAG673,-896,A321,VU673
1615697957,10.86,106.76,1925,248,169,8881B8,DAD,SGN,VAG673,-768,A321,VU673
1615698015,10.85,106.72,1150,249,139,8881B8,DAD,SGN,VAG673,-640,A321,VU673
1615698077,10.83,106.68,425,249,143,8881B8,DAD,SGN,VAG673,-768,A321,VU673
1615698136,10.82,106.65,0,250,61,8881B8,DAD,SGN,VAG673,0,A321,VU673
1615698154,10.82,106.64,0,227,30,8881B8,DAD,SGN,VAG673,0,A321,VU673
