timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1616104492,22.63,113.82,374,153,556,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616104572,22.57,113.85,3600,154,199,780BF1,SZX,SGN,CSZ8011,768,B738,ZH8011
1616104632,22.51,113.86,5725,202,253,780BF1,SZX,SGN,CSZ8011,3712,B738,ZH8011
1616104691,22.46,113.81,8200,231,279,780BF1,SZX,SGN,CSZ8011,2944,B738,ZH8011
1616104753,22.41,113.74,10750,232,304,780BF1,SZX,SGN,CSZ8011,1408,B738,ZH8011
1616104808,22.36,113.66,12000,232,341,780BF1,SZX,SGN,CSZ8011,128,B738,ZH8011
1616104869,22.3,113.58,12000,232,345,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616104929,22.24,113.5,12000,218,344,780BF1,SZX,SGN,CSZ8011,-384,B738,ZH8011
1616104985,22.16,113.49,12000,160,356,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616105046,22.06,113.53,12000,161,356,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616105103,21.97,113.55,12150,171,355,780BF1,SZX,SGN,CSZ8011,1088,B738,ZH8011
1616105169,21.86,113.56,14300,176,376,780BF1,SZX,SGN,CSZ8011,2368,B738,ZH8011
1616105233,21.74,113.57,16300,176,394,780BF1,SZX,SGN,CSZ8011,2048,B738,ZH8011
1616105295,21.63,113.57,18275,176,406,780BF1,SZX,SGN,CSZ8011,2304,B738,ZH8011
1616105350,21.53,113.58,20275,181,404,780BF1,SZX,SGN,CSZ8011,2752,B738,ZH8011
1616105416,21.4,113.56,22126,189,403,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616105475,21.29,113.54,23525,189,427,780BF1,SZX,SGN,CSZ8011,1472,B738,ZH8011
1616105534,21.17,113.52,25375,189,425,780BF1,SZX,SGN,CSZ8011,3264,B738,ZH8011
1616105605,21.04,113.49,27900,189,412,780BF1,SZX,SGN,CSZ8011,1600,B738,ZH8011
1616105665,20.92,113.47,29400,189,416,780BF1,SZX,SGN,CSZ8011,1472,B738,ZH8011
1616105723,20.81,113.46,30550,189,424,780BF1,SZX,SGN,CSZ8011,1152,B738,ZH8011
1616105783,20.69,113.44,31025,189,439,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616105850,20.55,113.41,31000,189,453,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616105901,20.45,113.39,31001,188,436,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616105973,20.3,113.37,31000,189,456,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616106025,20.19,113.35,31001,190,444,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616106087,20.06,113.33,31001,189,452,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616106151,19.94,113.31,31001,189,450,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616106211,19.83,113.29,31001,189,450,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616106279,19.78,113.28,31000,189,454,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616106339,19.67,113.26,31000,189,454,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616106387,19.59,113.25,31000,189,454,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616106459,19.46,113.22,31000,189,454,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616106519,19.33,113.2,31000,189,454,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616106567,19.23,113.19,31000,189,454,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616106639,19.08,113.16,31000,189,454,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616106687,18.98,113.15,31000,189,454,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616106747,18.86,113.12,31000,189,454,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616107107,17.98,112.98,31000,189,454,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616107167,17.95,112.97,31000,189,454,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616107227,17.84,112.95,31000,189,454,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616107295,17.72,112.93,31000,190,457,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616107359,17.61,112.91,31000,190,457,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616107419,17.5,112.89,31000,190,457,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616107479,17.39,112.87,31000,190,457,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616107539,17.27,112.84,31000,190,457,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616107611,17.12,112.82,31000,190,457,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616107671,16.99,112.79,31000,190,457,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616107731,16.87,112.77,31000,190,457,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616107767,16.79,112.76,31000,190,457,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616108862,14.93,110.73,31000,216,454,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616108924,14.83,110.65,31000,216,454,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616108985,14.72,110.57,31000,216,456,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616109048,14.62,110.49,31000,216,457,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616109112,14.51,110.41,31000,216,460,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616109169,14.41,110.33,31000,216,462,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616109218,14.32,110.27,31000,216,462,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616109294,14.19,110.17,31000,216,460,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616109351,14.1,110.1,31000,216,460,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616109409,13.99,110.02,31000,216,458,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616109478,13.87,109.94,31000,212,458,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616109538,13.76,109.87,31000,212,460,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616109596,13.66,109.8,31000,212,461,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616109657,13.55,109.73,31000,212,464,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616109713,13.44,109.66,31000,212,464,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616109778,13.33,109.59,31000,212,463,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616109837,13.22,109.52,31000,212,462,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616109898,13.11,109.45,31000,212,463,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616109954,13.0,109.38,31000,212,465,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616110013,12.9,109.31,31000,212,465,780BF1,SZX,SGN,CSZ8011,64,B738,ZH8011
1616110077,12.78,109.24,31000,212,467,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616110129,12.68,109.18,31000,212,466,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616110192,12.57,109.1,31000,212,468,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616110251,12.46,109.04,31000,211,469,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616110316,12.34,108.96,31000,211,469,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616110375,12.23,108.89,31000,211,469,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616110435,12.13,108.83,31000,211,469,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
1616110491,12.01,108.75,31000,211,468,780BF1,SZX,SGN,CSZ8011,0,B738,ZH8011
