timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1616448821,13.7,100.74,0,11,10,8007B3,BKK,SGN,IGO8504,0,A320,6E8504
1616448898,13.69,100.74,75,194,108,8007B3,BKK,SGN,IGO8504,448,A320,6E8504
1616448963,13.65,100.73,2200,194,174,8007B3,BKK,SGN,IGO8504,2048,A320,6E8504
1616449030,13.59,100.73,4025,141,217,8007B3,BKK,SGN,IGO8504,896,A320,6E8504
1616449089,13.54,100.77,6325,139,261,8007B3,BKK,SGN,IGO8504,3328,A320,6E8504
1616449150,13.51,100.84,7425,86,266,8007B3,BKK,SGN,IGO8504,768,A320,6E8504
1616449205,13.52,100.91,8025,86,272,8007B3,BKK,SGN,IGO8504,512,A320,6E8504
1616449265,13.52,100.99,9775,86,277,8007B3,BKK,SGN,IGO8504,3456,A320,6E8504
1616449321,13.53,101.07,11500,91,331,8007B3,BKK,SGN,IGO8504,2176,A320,6E8504
1616449390,13.5,101.18,14225,112,358,8007B3,BKK,SGN,IGO8504,2560,A320,6E8504
1616449446,13.46,101.27,16475,112,369,8007B3,BKK,SGN,IGO8504,2112,A320,6E8504
1616449506,13.42,101.37,18625,112,379,8007B3,BKK,SGN,IGO8504,1920,A320,6E8504
1616449566,13.38,101.47,20325,112,399,8007B3,BKK,SGN,IGO8504,2048,A320,6E8504
1616449625,13.34,101.57,22050,112,406,8007B3,BKK,SGN,IGO8504,1280,A320,6E8504
1616449685,13.29,101.68,23500,112,419,8007B3,BKK,SGN,IGO8504,1600,A320,6E8504
1616449741,13.25,101.79,24875,112,426,8007B3,BKK,SGN,IGO8504,1472,A320,6E8504
1616449801,13.2,101.9,26300,112,431,8007B3,BKK,SGN,IGO8504,1024,A320,6E8504
1616449860,13.16,102.01,27500,112,438,8007B3,BKK,SGN,IGO8504,1600,A320,6E8504
1616449916,13.11,102.12,28675,112,442,8007B3,BKK,SGN,IGO8504,1344,A320,6E8504
1616449975,13.07,102.24,29825,112,448,8007B3,BKK,SGN,IGO8504,1408,A320,6E8504
1616450037,13.02,102.36,30725,112,460,8007B3,BKK,SGN,IGO8504,832,A320,6E8504
1616450093,12.97,102.47,31375,114,471,8007B3,BKK,SGN,IGO8504,64,A320,6E8504
1616450153,12.9,102.59,32175,121,476,8007B3,BKK,SGN,IGO8504,1152,A320,6E8504
1616450218,12.83,102.71,34050,121,459,8007B3,BKK,SGN,IGO8504,1536,A320,6E8504
1616450281,12.76,102.83,35425,121,454,8007B3,BKK,SGN,IGO8504,1216,A320,6E8504
1616450342,12.69,102.94,36450,121,452,8007B3,BKK,SGN,IGO8504,832,A320,6E8504
1616450397,12.63,103.04,36975,121,461,8007B3,BKK,SGN,IGO8504,128,A320,6E8504
1616450455,12.57,103.15,37000,121,460,8007B3,BKK,SGN,IGO8504,0,A320,6E8504
1616450522,12.5,103.27,37000,121,456,8007B3,BKK,SGN,IGO8504,0,A320,6E8504
1616450582,12.43,103.38,37000,121,453,8007B3,BKK,SGN,IGO8504,0,A320,6E8504
1616450641,12.36,103.49,36975,121,453,8007B3,BKK,SGN,IGO8504,0,A320,6E8504
