timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1616954902,28.44,129.8,39975,230,388,86D930,HND,SGN,JAL79,0,B788,JL79
1616954965,28.37,129.7,39975,230,390,86D930,HND,SGN,JAL79,0,B788,JL79
1616955031,28.29,129.6,39975,230,390,86D930,HND,SGN,JAL79,0,B788,JL79
1616955093,28.22,129.5,40000,230,392,86D930,HND,SGN,JAL79,0,B788,JL79
1616955154,28.15,129.41,40000,230,390,86D930,HND,SGN,JAL79,0,B788,JL79
1616955219,28.07,129.3,39975,230,389,86D930,HND,SGN,JAL79,0,B788,JL79
1616955274,28.01,129.22,39975,230,389,86D930,HND,SGN,JAL79,64,B788,JL79
1616955331,27.94,129.13,39975,230,390,86D930,HND,SGN,JAL79,0,B788,JL79
1616955394,27.87,129.03,40000,230,392,86D930,HND,SGN,JAL79,0,B788,JL79
1616955451,27.8,128.94,40000,230,392,86D930,HND,SGN,JAL79,0,B788,JL79
1616955517,27.73,128.83,40000,230,394,86D930,HND,SGN,JAL79,0,B788,JL79
1616955577,27.66,128.74,40000,230,394,86D930,HND,SGN,JAL79,0,B788,JL79
1616955646,27.58,128.63,40000,230,394,86D930,HND,SGN,JAL79,-64,B788,JL79
1616955703,27.51,128.54,39975,230,394,86D930,HND,SGN,JAL79,0,B788,JL79
1616955758,27.45,128.45,40000,230,395,86D930,HND,SGN,JAL79,0,B788,JL79
1616955818,27.38,128.36,40000,230,397,86D930,HND,SGN,JAL79,0,B788,JL79
1616955871,27.31,128.27,40000,229,398,86D930,HND,SGN,JAL79,0,B788,JL79
1616955938,27.23,128.17,40000,229,399,86D930,HND,SGN,JAL79,0,B788,JL79
1616955994,27.17,128.08,39975,229,400,86D930,HND,SGN,JAL79,-64,B788,JL79
1616956049,27.1,127.99,39975,229,400,86D930,HND,SGN,JAL79,64,B788,JL79
1616956115,27.02,127.89,40000,229,401,86D930,HND,SGN,JAL79,0,B788,JL79
1616956179,26.94,127.79,39975,229,401,86D930,HND,SGN,JAL79,0,B788,JL79
1616956240,26.87,127.69,40000,229,403,86D930,HND,SGN,JAL79,0,B788,JL79
1616956306,26.79,127.58,40000,229,403,86D930,HND,SGN,JAL79,0,B788,JL79
1616956366,26.72,127.49,40000,229,405,86D930,HND,SGN,JAL79,-64,B788,JL79
1616956423,26.65,127.4,39975,229,406,86D930,HND,SGN,JAL79,64,B788,JL79
1616956490,26.57,127.29,40000,229,406,86D930,HND,SGN,JAL79,0,B788,JL79
1616956549,26.49,127.2,40000,229,406,86D930,HND,SGN,JAL79,0,B788,JL79
1616956613,26.41,127.09,39975,229,407,86D930,HND,SGN,JAL79,-64,B788,JL79
1616956673,26.34,127.0,39975,229,407,86D930,HND,SGN,JAL79,0,B788,JL79
1616956733,26.27,126.9,39975,229,410,86D930,HND,SGN,JAL79,-64,B788,JL79
1616956791,26.2,126.81,40000,229,412,86D930,HND,SGN,JAL79,0,B788,JL79
1616956850,26.12,126.72,40000,229,414,86D930,HND,SGN,JAL79,0,B788,JL79
1616956907,26.05,126.62,39975,229,414,86D930,HND,SGN,JAL79,-64,B788,JL79
1616956962,25.98,126.53,40000,229,415,86D930,HND,SGN,JAL79,0,B788,JL79
1616957018,25.91,126.45,40000,229,417,86D930,HND,SGN,JAL79,0,B788,JL79
1616957075,25.84,126.35,39975,229,418,86D930,HND,SGN,JAL79,0,B788,JL79
1616957139,25.76,126.25,40000,229,419,86D930,HND,SGN,JAL79,0,B788,JL79
1616957195,25.69,126.16,39975,229,421,86D930,HND,SGN,JAL79,0,B788,JL79
1616957251,25.61,126.07,39975,229,419,86D930,HND,SGN,JAL79,0,B788,JL79
1616957316,25.53,125.96,40000,228,421,86D930,HND,SGN,JAL79,0,B788,JL79
1616957378,25.45,125.86,40000,228,421,86D930,HND,SGN,JAL79,0,B788,JL79
1616957433,25.38,125.77,40000,228,423,86D930,HND,SGN,JAL79,0,B788,JL79
1616957490,25.31,125.68,39975,228,425,86D930,HND,SGN,JAL79,0,B788,JL79
1616957544,25.24,125.59,40000,228,425,86D930,HND,SGN,JAL79,0,B788,JL79
1616957610,25.15,125.48,39975,228,426,86D930,HND,SGN,JAL79,64,B788,JL79
1616957671,25.07,125.38,40000,228,428,86D930,HND,SGN,JAL79,0,B788,JL79
1616957735,24.99,125.28,40000,228,431,86D930,HND,SGN,JAL79,0,B788,JL79
1616957796,24.91,125.18,39975,228,432,86D930,HND,SGN,JAL79,0,B788,JL79
1616957859,24.82,125.07,39975,228,433,86D930,HND,SGN,JAL79,0,B788,JL79
1616957923,24.74,124.97,39975,228,434,86D930,HND,SGN,JAL79,0,B788,JL79
1616957979,24.66,124.87,40000,228,434,86D930,HND,SGN,JAL79,-64,B788,JL79
1616958035,24.59,124.78,40000,228,437,86D930,HND,SGN,JAL79,0,B788,JL79
1616958094,24.51,124.68,39975,228,438,86D930,HND,SGN,JAL79,0,B788,JL79
1616958155,24.43,124.58,39975,228,437,86D930,HND,SGN,JAL79,0,B788,JL79
1616958215,24.34,124.48,39975,228,437,86D930,HND,SGN,JAL79,0,B788,JL79
1616958269,24.27,124.39,40000,228,438,86D930,HND,SGN,JAL79,0,B788,JL79
1616958333,24.19,124.29,39975,228,439,86D930,HND,SGN,JAL79,0,B788,JL79
1616958396,24.1,124.18,40000,228,440,86D930,HND,SGN,JAL79,0,B788,JL79
1616958454,24.02,124.09,40000,228,441,86D930,HND,SGN,JAL79,0,B788,JL79
1616958509,23.95,123.99,39975,232,437,86D930,HND,SGN,JAL79,0,B788,JL79
1616958573,23.87,123.88,39975,235,434,86D930,HND,SGN,JAL79,-64,B788,JL79
1616958634,23.8,123.77,40000,235,436,86D930,HND,SGN,JAL79,0,B788,JL79
1616958695,23.74,123.66,39975,235,436,86D930,HND,SGN,JAL79,0,B788,JL79
1616958759,23.66,123.54,39975,235,436,86D930,HND,SGN,JAL79,-64,B788,JL79
1616958817,23.6,123.43,39975,235,434,86D930,HND,SGN,JAL79,-64,B788,JL79
1616958878,23.53,123.32,39975,235,434,86D930,HND,SGN,JAL79,-64,B788,JL79
1616958943,23.45,123.21,40000,235,435,86D930,HND,SGN,JAL79,-64,B788,JL79
1616959002,23.39,123.1,40000,235,435,86D930,HND,SGN,JAL79,64,B788,JL79
1616959059,23.32,123.0,39975,233,438,86D930,HND,SGN,JAL79,0,B788,JL79
1616959113,23.25,122.9,39975,231,441,86D930,HND,SGN,JAL79,0,B788,JL79
1616959174,23.18,122.8,40000,231,442,86D930,HND,SGN,JAL79,0,B788,JL79
1616959240,23.09,122.68,39975,231,442,86D930,HND,SGN,JAL79,0,B788,JL79
1616959300,23.02,122.58,40000,231,441,86D930,HND,SGN,JAL79,0,B788,JL79
1616959366,22.93,122.46,40000,231,441,86D930,HND,SGN,JAL79,0,B788,JL79
1616959421,22.86,122.37,40000,231,440,86D930,HND,SGN,JAL79,-64,B788,JL79
1616959483,22.79,122.26,40000,231,439,86D930,HND,SGN,JAL79,0,B788,JL79
1616959538,22.72,122.17,40000,231,441,86D930,HND,SGN,JAL79,0,B788,JL79
1616959603,22.63,122.05,40000,231,440,86D930,HND,SGN,JAL79,-64,B788,JL79
1616959667,22.55,121.94,39975,231,440,86D930,HND,SGN,JAL79,0,B788,JL79
1616959730,22.47,121.84,40000,231,439,86D930,HND,SGN,JAL79,-64,B788,JL79
1616959786,22.4,121.74,40000,231,440,86D930,HND,SGN,JAL79,0,B788,JL79
1616959845,22.33,121.64,40000,231,441,86D930,HND,SGN,JAL79,-64,B788,JL79
1616959903,22.25,121.54,40000,231,442,86D930,HND,SGN,JAL79,0,B788,JL79
1616959963,22.17,121.44,40000,231,443,86D930,HND,SGN,JAL79,-64,B788,JL79
1616960023,22.1,121.33,40000,231,443,86D930,HND,SGN,JAL79,-64,B788,JL79
1616960087,22.02,121.22,40000,231,445,86D930,HND,SGN,JAL79,0,B788,JL79
1616960143,21.94,121.12,40000,231,445,86D930,HND,SGN,JAL79,-64,B788,JL79
1616960203,21.87,121.02,40000,231,447,86D930,HND,SGN,JAL79,0,B788,JL79
1616960262,21.79,120.92,39975,231,449,86D930,HND,SGN,JAL79,-64,B788,JL79
1616960323,21.71,120.81,39975,231,450,86D930,HND,SGN,JAL79,64,B788,JL79
1616960387,21.62,120.7,39975,231,452,86D930,HND,SGN,JAL79,0,B788,JL79
1616960451,21.54,120.59,39975,231,453,86D930,HND,SGN,JAL79,0,B788,JL79
1616960506,21.47,120.49,39975,230,454,86D930,HND,SGN,JAL79,0,B788,JL79
1616960562,21.39,120.39,40000,230,452,86D930,HND,SGN,JAL79,0,B788,JL79
1616960623,21.31,120.29,40000,230,453,86D930,HND,SGN,JAL79,0,B788,JL79
1616960687,21.23,120.18,39975,230,454,86D930,HND,SGN,JAL79,0,B788,JL79
1616960743,21.15,120.08,40000,230,454,86D930,HND,SGN,JAL79,0,B788,JL79
1616960806,21.07,119.97,40000,230,454,86D930,HND,SGN,JAL79,0,B788,JL79
1616960861,20.99,119.87,39975,227,458,86D930,HND,SGN,JAL79,0,B788,JL79
1616960934,20.88,119.75,39975,225,461,86D930,HND,SGN,JAL79,0,B788,JL79
1616960993,20.8,119.66,40000,225,462,86D930,HND,SGN,JAL79,-64,B788,JL79
1616961054,20.7,119.56,40000,225,461,86D930,HND,SGN,JAL79,0,B788,JL79
1616961115,20.61,119.46,40000,225,462,86D930,HND,SGN,JAL79,0,B788,JL79
1616961166,20.53,119.38,39975,225,463,86D930,HND,SGN,JAL79,0,B788,JL79
1616961226,20.44,119.28,40000,225,463,86D930,HND,SGN,JAL79,-64,B788,JL79
1616961287,20.35,119.18,39975,225,464,86D930,HND,SGN,JAL79,0,B788,JL79
1616961347,20.26,119.09,39975,225,465,86D930,HND,SGN,JAL79,-64,B788,JL79
1616961402,20.18,119.0,39975,225,465,86D930,HND,SGN,JAL79,0,B788,JL79
1616961467,20.08,118.89,40000,225,466,86D930,HND,SGN,JAL79,0,B788,JL79
1616961523,19.99,118.8,40000,224,466,86D930,HND,SGN,JAL79,-64,B788,JL79
1616961582,19.9,118.71,39975,225,466,86D930,HND,SGN,JAL79,0,B788,JL79
1616961646,19.8,118.6,39975,224,466,86D930,HND,SGN,JAL79,0,B788,JL79
1616961705,19.71,118.51,40000,225,466,86D930,HND,SGN,JAL79,0,B788,JL79
1616961762,19.63,118.41,39975,224,468,86D930,HND,SGN,JAL79,-64,B788,JL79
