timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1617336455,11.53,104.83,1450,227,125,7e+29,PNH,SGN,KHV816,2304,AT75,K6816
1617336507,11.5,104.83,3000,227,125,7e+29,PNH,SGN,KHV816,2112,AT75,K6816
1617336586,11.45,104.86,5375,227,125,7e+29,PNH,SGN,KHV816,1216,AT75,K6816
1617336650,11.4,104.88,6625,227,125,7e+29,PNH,SGN,KHV816,1152,AT75,K6816
1617336710,11.37,104.93,7825,227,125,7e+29,PNH,SGN,KHV816,1280,AT75,K6816
1617336765,11.36,104.98,9025,227,125,7e+29,PNH,SGN,KHV816,1280,AT75,K6816
1617336827,11.34,105.03,10150,105,211,7e+29,PNH,SGN,KHV816,1152,AT75,K6816
1617336887,11.33,105.09,11250,227,125,7e+29,PNH,SGN,KHV816,960,AT75,K6816
1617336950,11.31,105.15,12350,227,125,7e+29,PNH,SGN,KHV816,960,AT75,K6816
1617337011,11.29,105.21,13325,227,125,7e+29,PNH,SGN,KHV816,896,AT75,K6816
1617337066,11.28,105.26,14175,227,125,7e+29,PNH,SGN,KHV816,1088,AT75,K6816
1617337128,11.26,105.32,15000,227,125,7e+29,PNH,SGN,KHV816,64,AT75,K6816
1617337188,11.25,105.38,15000,106,223,7e+29,PNH,SGN,KHV816,-64,AT75,K6816
1617337248,11.23,105.45,15000,106,263,7e+29,PNH,SGN,KHV816,-64,AT75,K6816
1617337307,11.21,105.52,15000,227,125,7e+29,PNH,SGN,KHV816,-128,AT75,K6816
1617337363,11.19,105.58,15000,107,152,7e+29,PNH,SGN,KHV816,0,AT75,K6816
1617337418,11.17,105.65,15000,110,316,7e+29,PNH,SGN,KHV816,0,AT75,K6816
1617337487,11.15,105.72,15000,106,226,7e+29,PNH,SGN,KHV816,0,AT75,K6816
1617337548,11.13,105.79,15000,227,125,7e+29,PNH,SGN,KHV816,-128,AT75,K6816
1617337612,11.11,105.86,15000,105,226,7e+29,PNH,SGN,KHV816,0,AT75,K6816
1617337667,11.09,105.93,15000,105,276,7e+29,PNH,SGN,KHV816,-64,AT75,K6816
1617337731,11.07,106.0,15000,102,167,7e+29,PNH,SGN,KHV816,-64,AT75,K6816
1617337782,11.06,106.05,15000,119,80,7e+29,PNH,SGN,KHV816,64,AT75,K6816
1617337846,11.04,106.12,15000,118,253,7e+29,PNH,SGN,KHV816,0,AT75,K6816
1617337910,10.99,106.18,14525,131,144,7e+29,PNH,SGN,KHV816,-576,AT75,K6816
1617337970,10.94,106.24,14050,133,247,7e+29,PNH,SGN,KHV816,-448,AT75,K6816
1617338028,10.89,106.29,13550,134,310,7e+29,PNH,SGN,KHV816,-512,AT75,K6816
1617338088,10.85,106.35,13050,227,125,7e+29,PNH,SGN,KHV816,-512,AT75,K6816
1617338147,10.8,106.4,12625,131,240,7e+29,PNH,SGN,KHV816,-384,AT75,K6816
1617338204,10.75,106.46,12225,227,125,7e+29,PNH,SGN,KHV816,-384,AT75,K6816
1617338264,10.71,106.51,12150,131,395,7e+29,PNH,SGN,KHV816,64,AT75,K6816
1617338328,10.66,106.57,11675,128,289,7e+29,PNH,SGN,KHV816,-768,AT75,K6816
1617338387,10.61,106.63,10700,227,125,7e+29,PNH,SGN,KHV816,-1216,AT75,K6816
1617338448,10.59,106.7,9375,73,191,7e+29,PNH,SGN,KHV816,-1344,AT75,K6816
1617338507,10.61,106.76,8125,66,137,7e+29,PNH,SGN,KHV816,-1536,AT75,K6816
1617338563,10.64,106.82,6725,66,210,7e+29,PNH,SGN,KHV816,-1536,AT75,K6816
1617338628,10.66,106.89,5325,89,35,7e+29,PNH,SGN,KHV816,-1152,AT75,K6816
1617338682,10.7,106.92,5150,15,179,7e+29,PNH,SGN,KHV816,64,AT75,K6816
1617338752,10.76,106.92,4500,341,249,7e+29,PNH,SGN,KHV816,-1024,AT75,K6816
1617338810,10.81,106.9,4150,339,170,7e+29,PNH,SGN,KHV816,-64,AT75,K6816
1617338867,10.86,106.87,4000,308,178,7e+29,PNH,SGN,KHV816,-1024,AT75,K6816
1617338922,10.87,106.83,2950,278,196,7e+29,PNH,SGN,KHV816,-896,AT75,K6816
1617338982,10.87,106.78,2225,251,166,7e+29,PNH,SGN,KHV816,-1024,AT75,K6816
1617339037,10.85,106.73,1600,249,147,7e+29,PNH,SGN,KHV816,-832,AT75,K6816
1617339104,10.84,106.7,925,250,119,7e+29,PNH,SGN,KHV816,-512,AT75,K6816
1617339166,10.83,106.67,350,250,119,7e+29,PNH,SGN,KHV816,-448,AT75,K6816
1617339227,10.82,106.65,0,250,32,7e+29,PNH,SGN,KHV816,0,AT75,K6816
1617339283,10.82,106.64,0,177,18,7e+29,PNH,SGN,KHV816,0,AT75,K6816
1617339324,10.81,106.64,0,143,14,7e+29,PNH,SGN,KHV816,0,AT75,K6816
1617339350,10.81,106.65,0,98,20,7e+29,PNH,SGN,KHV816,0,AT75,K6816
1617339436,10.82,106.65,0,73,21,7e+29,PNH,SGN,KHV816,0,AT75,K6816
