timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1617459040,17.31,91.1,37000,111,514,06A108,DOH,SGN,QTR970,0,A359,QR970
1617459100,17.26,91.24,37000,111,514,06A108,DOH,SGN,QTR970,0,A359,QR970
1617459160,17.21,91.38,37000,111,514,06A108,DOH,SGN,QTR970,0,A359,QR970
1617459220,17.16,91.52,37000,111,514,06A108,DOH,SGN,QTR970,0,A359,QR970
1617459280,17.11,91.66,37000,111,514,06A108,DOH,SGN,QTR970,0,A359,QR970
1617459340,17.06,91.8,37000,111,514,06A108,DOH,SGN,QTR970,0,A359,QR970
1617459400,17.01,91.94,37000,111,514,06A108,DOH,SGN,QTR970,0,A359,QR970
1617459460,16.95,92.08,37000,111,514,06A108,DOH,SGN,QTR970,0,A359,QR970
1617459520,16.9,92.22,37000,111,514,06A108,DOH,SGN,QTR970,0,A359,QR970
1617459580,16.85,92.36,37000,111,514,06A108,DOH,SGN,QTR970,0,A359,QR970
1617459652,16.79,92.52,37000,111,514,06A108,DOH,SGN,QTR970,0,A359,QR970
1617459712,16.74,92.66,37000,111,514,06A108,DOH,SGN,QTR970,0,A359,QR970
1617459772,16.69,92.8,37000,111,514,06A108,DOH,SGN,QTR970,0,A359,QR970
1617459832,16.64,92.94,37000,111,514,06A108,DOH,SGN,QTR970,0,A359,QR970
1617459892,16.59,93.08,37000,111,514,06A108,DOH,SGN,QTR970,0,A359,QR970
1617459952,16.54,93.22,37000,111,514,06A108,DOH,SGN,QTR970,0,A359,QR970
1617460012,16.48,93.36,37000,111,514,06A108,DOH,SGN,QTR970,0,A359,QR970
1617460072,16.43,93.5,37000,112,514,06A108,DOH,SGN,QTR970,0,A359,QR970
1617460132,16.38,93.63,37000,112,514,06A108,DOH,SGN,QTR970,0,A359,QR970
1617460180,16.33,93.74,37000,112,514,06A108,DOH,SGN,QTR970,0,A359,QR970
1617460236,16.24,93.86,37000,110,497,06A108,DOH,SGN,QTR970,0,A359,QR970
1617460308,16.18,94.01,37000,110,497,06A108,DOH,SGN,QTR970,0,A359,QR970
1617460375,16.13,94.17,37000,110,493,06A108,DOH,SGN,QTR970,0,A359,QR970
1617460420,16.09,94.27,37000,111,493,06A108,DOH,SGN,QTR970,0,A359,QR970
1617460484,16.04,94.39,37000,112,493,06A108,DOH,SGN,QTR970,0,A359,QR970
1617460556,15.99,94.52,37000,112,493,06A108,DOH,SGN,QTR970,0,A359,QR970
1617460602,15.94,94.67,37000,111,496,06A108,DOH,SGN,QTR970,0,A359,QR970
1617460672,15.88,94.83,37000,111,496,06A108,DOH,SGN,QTR970,0,A359,QR970
1617460729,15.83,94.95,37000,111,499,06A108,DOH,SGN,QTR970,0,A359,QR970
1617460786,15.78,95.08,37000,111,498,06A108,DOH,SGN,QTR970,0,A359,QR970
1617460842,15.73,95.2,37000,111,496,06A108,DOH,SGN,QTR970,0,A359,QR970
1617460904,15.68,95.33,37000,111,499,06A108,DOH,SGN,QTR970,0,A359,QR970
1617460961,15.63,95.47,37000,111,499,06A108,DOH,SGN,QTR970,0,A359,QR970
1617461029,15.57,95.62,37000,111,495,06A108,DOH,SGN,QTR970,0,A359,QR970
1617461091,15.52,95.75,37000,111,493,06A108,DOH,SGN,QTR970,0,A359,QR970
1617461155,15.47,95.89,37000,111,490,06A108,DOH,SGN,QTR970,0,A359,QR970
1617461218,15.41,96.03,37000,111,490,06A108,DOH,SGN,QTR970,0,A359,QR970
1617461273,15.37,96.15,37000,111,488,06A108,DOH,SGN,QTR970,0,A359,QR970
1617461334,15.32,96.28,37000,111,485,06A108,DOH,SGN,QTR970,0,A359,QR970
1617461396,15.26,96.42,37000,111,482,06A108,DOH,SGN,QTR970,0,A359,QR970
1617461451,15.22,96.53,37000,111,480,06A108,DOH,SGN,QTR970,0,A359,QR970
1617461510,15.17,96.66,37000,111,481,06A108,DOH,SGN,QTR970,0,A359,QR970
1617461571,15.12,96.79,37000,112,484,06A108,DOH,SGN,QTR970,0,A359,QR970
1617461629,15.07,96.91,37000,112,482,06A108,DOH,SGN,QTR970,0,A359,QR970
1617461695,15.01,97.05,37000,112,484,06A108,DOH,SGN,QTR970,0,A359,QR970
1617461751,14.97,97.17,37000,112,482,06A108,DOH,SGN,QTR970,0,A359,QR970
1617461806,14.92,97.29,37000,112,480,06A108,DOH,SGN,QTR970,0,A359,QR970
1617461871,14.87,97.43,37000,110,479,06A108,DOH,SGN,QTR970,0,A359,QR970
1617461929,14.83,97.56,37000,102,478,06A108,DOH,SGN,QTR970,0,A359,QR970
1617461981,14.81,97.68,37375,101,484,06A108,DOH,SGN,QTR970,768,A359,QR970
1617462050,14.78,97.83,38325,104,481,06A108,DOH,SGN,QTR970,512,A359,QR970
1617462109,14.72,97.95,38975,117,474,06A108,DOH,SGN,QTR970,128,A359,QR970
