timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1617798094,13.7,100.74,0,194,11,88596A,BKK,SGN,TVJ3970,0,A321,VZ3970
1617798128,13.7,100.74,0,194,16,88596A,BKK,SGN,TVJ3970,0,A321,VZ3970
1617798253,13.69,100.74,0,104,15,88596A,BKK,SGN,TVJ3970,0,A321,VZ3970
1617798381,13.68,100.76,0,104,15,88596A,BKK,SGN,TVJ3970,0,A321,VZ3970
1617798456,13.69,100.76,0,14,13,88596A,BKK,SGN,TVJ3970,0,A321,VZ3970
1617798517,13.69,100.76,0,14,4,88596A,BKK,SGN,TVJ3970,0,A321,VZ3970
1617798573,13.69,100.76,0,14,12,88596A,BKK,SGN,TVJ3970,0,A321,VZ3970
1617798635,13.69,100.76,0,104,4,88596A,BKK,SGN,TVJ3970,0,A321,VZ3970
1617798696,13.69,100.76,0,194,0,88596A,BKK,SGN,TVJ3970,0,A321,VZ3970
1617798752,13.68,100.76,175,194,156,88596A,BKK,SGN,TVJ3970,704,A321,VZ3970
1617798816,13.63,100.75,2950,167,165,88596A,BKK,SGN,TVJ3970,2112,A321,VZ3970
1617798873,13.61,100.79,4400,106,221,88596A,BKK,SGN,TVJ3970,1856,A321,VZ3970
1617798928,13.59,100.86,6500,107,282,88596A,BKK,SGN,TVJ3970,3264,A321,VZ3970
1617798985,13.56,100.93,9450,107,295,88596A,BKK,SGN,TVJ3970,2880,A321,VZ3970
1617799041,13.54,101.01,11325,107,339,88596A,BKK,SGN,TVJ3970,1856,A321,VZ3970
1617799107,13.52,101.12,14200,92,359,88596A,BKK,SGN,TVJ3970,2304,A321,VZ3970
1617799164,13.52,101.22,16450,93,376,88596A,BKK,SGN,TVJ3970,2560,A321,VZ3970
1617799220,13.49,101.31,19025,114,380,88596A,BKK,SGN,TVJ3970,2496,A321,VZ3970
1617799277,13.44,101.41,21300,114,385,88596A,BKK,SGN,TVJ3970,2112,A321,VZ3970
1617799334,13.4,101.5,23150,114,400,88596A,BKK,SGN,TVJ3970,3264,A321,VZ3970
1617799399,13.35,101.62,25575,114,403,88596A,BKK,SGN,TVJ3970,1856,A321,VZ3970
1617799457,13.31,101.72,27475,114,409,88596A,BKK,SGN,TVJ3970,1920,A321,VZ3970
1617799520,13.25,101.83,28500,114,441,88596A,BKK,SGN,TVJ3970,704,A321,VZ3970
1617799577,13.2,101.94,29700,128,457,88596A,BKK,SGN,TVJ3970,1920,A321,VZ3970
1617799631,13.12,102.03,31025,129,465,88596A,BKK,SGN,TVJ3970,1792,A321,VZ3970
1617799689,13.04,102.13,32875,129,461,88596A,BKK,SGN,TVJ3970,2496,A321,VZ3970
1617799753,12.96,102.24,35000,129,454,88596A,BKK,SGN,TVJ3970,1984,A321,VZ3970
1617799817,12.87,102.34,36725,127,451,88596A,BKK,SGN,TVJ3970,1536,A321,VZ3970
1617799872,12.82,102.44,37000,115,445,88596A,BKK,SGN,TVJ3970,0,A321,VZ3970
1617799933,12.76,102.56,37000,115,448,88596A,BKK,SGN,TVJ3970,64,A321,VZ3970
1617799995,12.71,102.68,37000,115,451,88596A,BKK,SGN,TVJ3970,0,A321,VZ3970
1617800053,12.65,102.79,37050,115,451,88596A,BKK,SGN,TVJ3970,128,A321,VZ3970
1617800107,12.6,102.89,37050,115,450,88596A,BKK,SGN,TVJ3970,-64,A321,VZ3970
1617800164,12.55,103.0,37025,115,448,88596A,BKK,SGN,TVJ3970,0,A321,VZ3970
1617800228,12.49,103.13,37025,115,444,88596A,BKK,SGN,TVJ3970,-64,A321,VZ3970
1617800284,12.44,103.23,36975,115,441,88596A,BKK,SGN,TVJ3970,-64,A321,VZ3970
1617800340,12.39,103.34,36950,115,442,88596A,BKK,SGN,TVJ3970,0,A321,VZ3970
1617800401,12.34,103.45,37025,115,446,88596A,BKK,SGN,TVJ3970,0,A321,VZ3970
1617800458,12.29,103.56,37050,115,449,88596A,BKK,SGN,TVJ3970,0,A321,VZ3970
1617800521,12.23,103.68,37025,115,450,88596A,BKK,SGN,TVJ3970,-256,A321,VZ3970
1617800579,12.18,103.79,36975,115,449,88596A,BKK,SGN,TVJ3970,-64,A321,VZ3970
1617800639,12.12,103.91,36950,115,448,88596A,BKK,SGN,TVJ3970,0,A321,VZ3970
1617800705,12.06,104.03,37000,115,448,88596A,BKK,SGN,TVJ3970,0,A321,VZ3970
1617800761,12.01,104.14,36975,115,446,88596A,BKK,SGN,TVJ3970,-64,A321,VZ3970
1617800822,11.96,104.25,36975,115,447,88596A,BKK,SGN,TVJ3970,64,A321,VZ3970
1617800885,11.9,104.37,37000,115,445,88596A,BKK,SGN,TVJ3970,-64,A321,VZ3970
1617800947,11.84,104.49,37000,115,445,88596A,BKK,SGN,TVJ3970,0,A321,VZ3970
1617801005,11.79,104.6,37000,116,441,88596A,BKK,SGN,TVJ3970,-64,A321,VZ3970
1617801056,11.74,104.69,37000,116,441,88596A,BKK,SGN,TVJ3970,0,A321,VZ3970
1617801117,11.69,104.81,37000,116,440,88596A,BKK,SGN,TVJ3970,64,A321,VZ3970
1617801179,11.63,104.92,37000,116,443,88596A,BKK,SGN,TVJ3970,0,A321,VZ3970
1617801241,11.58,105.04,35825,116,443,88596A,BKK,SGN,TVJ3970,-1408,A321,VZ3970
1617801296,11.53,105.14,34500,116,448,88596A,BKK,SGN,TVJ3970,-1472,A321,VZ3970
1617801355,11.47,105.25,33075,116,445,88596A,BKK,SGN,TVJ3970,-1472,A321,VZ3970
1617801415,11.42,105.37,31575,116,451,88596A,BKK,SGN,TVJ3970,-1536,A321,VZ3970
1617801476,11.36,105.48,30075,116,438,88596A,BKK,SGN,TVJ3970,-1472,A321,VZ3970
1617801528,11.32,105.58,28775,116,432,88596A,BKK,SGN,TVJ3970,-1536,A321,VZ3970
1617801591,11.26,105.69,27225,116,415,88596A,BKK,SGN,TVJ3970,-1408,A321,VZ3970
1617801647,11.21,105.79,25850,116,410,88596A,BKK,SGN,TVJ3970,-1536,A321,VZ3970
1617801711,11.16,105.9,24250,116,407,88596A,BKK,SGN,TVJ3970,-1472,A321,VZ3970
1617801770,11.11,106.0,22750,116,401,88596A,BKK,SGN,TVJ3970,-1472,A321,VZ3970
1617801833,11.06,106.1,21100,116,393,88596A,BKK,SGN,TVJ3970,-1984,A321,VZ3970
1617801895,11.0,106.2,19550,136,384,88596A,BKK,SGN,TVJ3970,-896,A321,VZ3970
