timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1618670678,28.41,124.05,37975,206,379,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618670738,28.32,124.01,37975,206,379,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618670810,28.23,123.95,37975,206,379,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618670860,28.09,123.89,38000,203,387,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618670923,27.98,123.84,38000,202,386,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618670983,27.89,123.8,38000,203,387,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618671038,27.79,123.75,38000,202,386,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618671102,27.7,123.71,38000,202,387,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618671144,27.62,123.67,38000,207,383,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618671206,27.54,123.6,38000,216,373,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618671269,27.44,123.53,38000,215,379,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618671338,27.36,123.46,38000,215,379,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618671401,27.25,123.37,38000,215,378,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618671460,27.17,123.31,38000,215,380,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618671518,27.09,123.24,38000,215,381,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618671580,27.0,123.17,38000,215,382,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618671633,26.92,123.11,38000,210,387,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618671702,26.8,123.05,38000,200,403,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618671767,26.69,123.0,38000,200,405,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618671828,26.58,122.96,38000,200,406,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618671886,26.48,122.91,38000,201,408,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618671949,26.37,122.87,38000,200,408,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618672017,26.25,122.82,38000,200,408,71C019,ICN,SGN,JJA9801,-64,B738,7C9801
1618672075,26.14,122.77,38000,200,407,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618672139,26.03,122.73,38000,200,406,71C019,ICN,SGN,JJA9801,0,B738,7C9801
1618672195,25.93,122.68,38000,200,406,71C019,ICN,SGN,JJA9801,0,B738,7C9801
