timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1618671039,2.79,101.66,2000,309,242,4BB150,KUL,SGN,THY6470,896,B77L,TK6470
1618671090,2.83,101.61,4025,311,257,4BB150,KUL,SGN,THY6470,2112,B77L,TK6470
1618671153,2.9,101.62,6325,43,276,4BB150,KUL,SGN,THY6470,2624,B77L,TK6470
1618671206,2.95,101.67,8325,44,286,4BB150,KUL,SGN,THY6470,1984,B77L,TK6470
1618671250,2.99,101.71,9775,43,299,4BB150,KUL,SGN,THY6470,2304,B77L,TK6470
1618671333,3.08,101.8,11550,43,374,4BB150,KUL,SGN,THY6470,1664,B77L,TK6470
1618671396,3.17,101.88,13950,43,404,4BB150,KUL,SGN,THY6470,2432,B77L,TK6470
1618671447,3.24,101.95,16175,43,417,4BB150,KUL,SGN,THY6470,2624,B77L,TK6470
1618671523,3.35,102.05,19400,38,431,4BB150,KUL,SGN,THY6470,2368,B77L,TK6470
1618671577,3.44,102.11,21300,28,447,4BB150,KUL,SGN,THY6470,1920,B77L,TK6470
1618671643,3.57,102.16,23700,23,460,4BB150,KUL,SGN,THY6470,2240,B77L,TK6470
1618671702,3.69,102.21,25500,22,474,4BB150,KUL,SGN,THY6470,1536,B77L,TK6470
1618671770,3.83,102.27,27350,22,490,4BB150,KUL,SGN,THY6470,1856,B77L,TK6470
1618671821,3.94,102.32,28725,22,499,4BB150,KUL,SGN,THY6470,1536,B77L,TK6470
1618671891,4.09,102.38,31125,22,494,4BB150,KUL,SGN,THY6470,1856,B77L,TK6470
1618671957,4.22,102.44,32450,22,494,4BB150,KUL,SGN,THY6470,1024,B77L,TK6470
1618672016,4.35,102.49,33000,22,494,4BB150,KUL,SGN,THY6470,-64,B77L,TK6470
1618672081,4.49,102.55,32975,22,491,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618672138,4.61,102.6,33000,22,489,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618672198,4.73,102.65,33000,22,489,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618672247,4.83,102.7,33000,22,490,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618672320,4.99,102.76,33000,22,491,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618672377,5.11,102.81,33000,22,491,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618672436,5.23,102.86,33000,22,492,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618672500,5.37,102.92,33000,22,491,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618672556,5.48,102.97,33000,22,490,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618672611,5.6,103.02,33000,22,492,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618672672,5.73,103.07,33000,22,492,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618672737,5.87,103.13,33000,22,493,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618672800,6.0,103.19,33000,22,493,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618672861,6.13,103.24,33000,22,492,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618672914,6.24,103.29,33000,22,492,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618672985,6.39,103.35,33000,22,492,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618673049,6.52,103.41,33000,22,492,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618673098,6.63,103.45,33000,22,491,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618673168,6.77,103.52,33000,22,491,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618673220,6.88,103.56,33000,23,489,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618673281,6.98,103.66,33000,58,476,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618673335,7.04,103.76,33000,59,476,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618673410,7.15,103.88,33000,37,483,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618673476,7.27,103.97,33000,36,485,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618673538,7.38,104.05,33000,36,485,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618673597,7.49,104.13,33000,36,484,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618673652,7.59,104.21,33000,37,483,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618673717,7.7,104.3,33000,37,484,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618673771,7.8,104.37,33000,37,484,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618673832,7.91,104.45,33000,36,486,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618673888,8.01,104.53,33000,36,487,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618673960,8.14,104.63,33000,37,487,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618674019,8.25,104.71,33000,37,489,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618674072,8.35,104.78,33000,37,489,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618674133,8.46,104.86,33000,37,487,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618674191,8.56,104.95,33000,37,487,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618674253,8.67,105.03,33000,37,489,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618674315,8.79,105.12,33000,37,489,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618674376,8.9,105.2,33000,37,487,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618674444,9.02,105.29,33000,37,489,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618674508,9.13,105.38,33000,37,490,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618674566,9.24,105.46,33000,37,489,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
1618674633,9.36,105.55,32875,37,484,4BB150,KUL,SGN,THY6470,-512,B77L,TK6470
1618674688,9.46,105.63,31975,37,466,4BB150,KUL,SGN,THY6470,-1472,B77L,TK6470
1618674749,9.56,105.71,30400,37,454,4BB150,KUL,SGN,THY6470,-1408,B77L,TK6470
1618674802,9.65,105.77,29250,37,442,4BB150,KUL,SGN,THY6470,-1152,B77L,TK6470
1618674862,9.75,105.85,27600,37,428,4BB150,KUL,SGN,THY6470,-1728,B77L,TK6470
1618674923,9.84,105.92,25850,37,418,4BB150,KUL,SGN,THY6470,-1728,B77L,TK6470
1618674976,9.92,105.98,24375,37,409,4BB150,KUL,SGN,THY6470,-1216,B77L,TK6470
1618675048,10.03,106.07,22450,37,396,4BB150,KUL,SGN,THY6470,-1600,B77L,TK6470
1618675104,10.11,106.13,20975,37,388,4BB150,KUL,SGN,THY6470,-1600,B77L,TK6470
1618675165,10.2,106.19,19375,37,382,4BB150,KUL,SGN,THY6470,-1536,B77L,TK6470
1618675221,10.27,106.26,17750,58,376,4BB150,KUL,SGN,THY6470,-1664,B77L,TK6470
1618675279,10.3,106.36,15525,70,364,4BB150,KUL,SGN,THY6470,-2624,B77L,TK6470
1618675344,10.34,106.46,12950,70,348,4BB150,KUL,SGN,THY6470,-1728,B77L,TK6470
1618675401,10.37,106.55,11025,70,336,4BB150,KUL,SGN,THY6470,-1856,B77L,TK6470
1618675465,10.4,106.63,10225,70,294,4BB150,KUL,SGN,THY6470,-512,B77L,TK6470
1618675529,10.42,106.72,9225,90,278,4BB150,KUL,SGN,THY6470,-1152,B77L,TK6470
1618675593,10.43,106.8,8025,52,271,4BB150,KUL,SGN,THY6470,-2176,B77L,TK6470
1618675648,10.46,106.86,7200,65,280,4BB150,KUL,SGN,THY6470,-640,B77L,TK6470
1618675705,10.49,106.93,7025,64,276,4BB150,KUL,SGN,THY6470,-64,B77L,TK6470
1618675769,10.52,107.0,7050,64,230,4BB150,KUL,SGN,THY6470,0,B77L,TK6470
