timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number
1619389950,14.51,121.02,0,135,1,75833C,MNL,SGN,PAL591,0,A333,PR591
1619390160,14.51,121.02,0,135,4,75833C,MNL,SGN,PAL591,0,A333,PR591
1619390219,14.51,121.02,0,213,4,75833C,MNL,SGN,PAL591,0,A333,PR591
1619390283,14.51,121.01,0,239,19,75833C,MNL,SGN,PAL591,0,A333,PR591
1619390341,14.5,121.01,0,239,21,75833C,MNL,SGN,PAL591,0,A333,PR591
1619390398,14.5,121.0,0,239,19,75833C,MNL,SGN,PAL591,0,A333,PR591
1619390435,14.5,121.0,0,239,16,75833C,MNL,SGN,PAL591,0,A333,PR591
1619390518,14.5,121.0,0,61,16,75833C,MNL,SGN,PAL591,0,A333,PR591
1619390579,14.52,121.03,1300,59,151,75833C,MNL,SGN,PAL591,2752,A333,PR591
1619390637,14.54,121.08,2800,58,232,75833C,MNL,SGN,PAL591,3136,A333,PR591
1619390698,14.6,121.1,6400,357,257,75833C,MNL,SGN,PAL591,3776,A333,PR591
1619390757,14.65,121.06,9600,277,279,75833C,MNL,SGN,PAL591,2176,A333,PR591
1619390823,14.6,120.97,11575,240,356,75833C,MNL,SGN,PAL591,2752,A333,PR591
1619390882,14.56,120.88,14425,241,366,75833C,MNL,SGN,PAL591,2240,A333,PR591
1619390944,14.5,120.79,16800,241,384,75833C,MNL,SGN,PAL591,2176,A333,PR591
1619391009,14.45,120.68,19225,241,400,75833C,MNL,SGN,PAL591,2304,A333,PR591
1619391065,14.4,120.58,21175,241,412,75833C,MNL,SGN,PAL591,1920,A333,PR591
1619391125,14.34,120.48,23175,241,425,75833C,MNL,SGN,PAL591,832,A333,PR591
1619391192,14.27,120.35,24800,241,446,75833C,MNL,SGN,PAL591,3456,A333,PR591
1619391252,14.21,120.24,26325,241,457,75833C,MNL,SGN,PAL591,1472,A333,PR591
1619391307,14.16,120.13,27475,248,469,75833C,MNL,SGN,PAL591,1216,A333,PR591
1619391366,14.11,120.01,29100,247,471,75833C,MNL,SGN,PAL591,1280,A333,PR591
1619391429,14.06,119.88,30225,247,488,75833C,MNL,SGN,PAL591,1408,A333,PR591
1619391486,14.01,119.75,31650,247,493,75833C,MNL,SGN,PAL591,1856,A333,PR591
1619391551,13.95,119.61,34025,247,481,75833C,MNL,SGN,PAL591,2112,A333,PR591
1619391613,13.9,119.48,36050,247,478,75833C,MNL,SGN,PAL591,1984,A333,PR591
1619391673,13.85,119.36,37900,247,475,75833C,MNL,SGN,PAL591,960,A333,PR591
1619391728,13.8,119.24,38000,247,483,75833C,MNL,SGN,PAL591,0,A333,PR591
1619391789,13.75,119.11,38000,247,480,75833C,MNL,SGN,PAL591,64,A333,PR591
1619391852,13.7,118.98,38000,247,482,75833C,MNL,SGN,PAL591,0,A333,PR591
1619391909,13.65,118.86,38000,247,481,75833C,MNL,SGN,PAL591,0,A333,PR591
1619391973,13.6,118.72,38000,247,480,75833C,MNL,SGN,PAL591,0,A333,PR591
1619392029,13.55,118.61,38000,247,477,75833C,MNL,SGN,PAL591,0,A333,PR591
1619392091,13.5,118.48,38000,247,475,75833C,MNL,SGN,PAL591,0,A333,PR591
1619392156,13.44,118.34,38000,247,476,75833C,MNL,SGN,PAL591,0,A333,PR591
1619392209,13.4,118.23,38000,247,475,75833C,MNL,SGN,PAL591,0,A333,PR591
1619392272,13.34,118.1,38000,247,476,75833C,MNL,SGN,PAL591,0,A333,PR591
1619392331,13.29,117.98,38000,247,477,75833C,MNL,SGN,PAL591,-64,A333,PR591
1619392396,13.24,117.84,38000,247,476,75833C,MNL,SGN,PAL591,0,A333,PR591
1619392450,13.2,117.74,38000,247,477,75833C,MNL,SGN,PAL591,0,A333,PR591
1619392514,13.14,117.59,38000,247,480,75833C,MNL,SGN,PAL591,0,A333,PR591
1619392568,13.09,117.48,38000,247,480,75833C,MNL,SGN,PAL591,0,A333,PR591
1619392630,13.05,117.37,38000,247,480,75833C,MNL,SGN,PAL591,0,A333,PR591
1619392679,13.0,117.25,38000,247,479,75833C,MNL,SGN,PAL591,0,A333,PR591
1619392754,12.94,117.12,38000,247,479,75833C,MNL,SGN,PAL591,0,A333,PR591
1619392814,12.9,117.01,38000,247,479,75833C,MNL,SGN,PAL591,0,A333,PR591
1619392874,12.85,116.9,38000,247,479,75833C,MNL,SGN,PAL591,0,A333,PR591
1619392934,12.81,116.79,38000,247,479,75833C,MNL,SGN,PAL591,0,A333,PR591
1619392994,12.76,116.68,38000,247,479,75833C,MNL,SGN,PAL591,0,A333,PR591
1619393054,12.71,116.56,38000,247,479,75833C,MNL,SGN,PAL591,0,A333,PR591
1619393114,12.66,116.43,38000,247,479,75833C,MNL,SGN,PAL591,0,A333,PR591
1619393174,12.61,116.3,38000,247,479,75833C,MNL,SGN,PAL591,0,A333,PR591
1619393234,12.55,116.18,38000,247,479,75833C,MNL,SGN,PAL591,0,A333,PR591
1619393270,12.52,116.1,38000,247,479,75833C,MNL,SGN,PAL591,0,A333,PR591
1619394250,11.63,113.95,37996,251,482,75833C,MNL,SGN,PAL591,0,A333,PR591
1619394310,11.62,113.83,37996,265,482,75833C,MNL,SGN,PAL591,0,A333,PR591
1619394370,11.61,113.72,37996,265,482,75833C,MNL,SGN,PAL591,0,A333,PR591
1619394442,11.59,113.58,37996,265,482,75833C,MNL,SGN,PAL591,0,A333,PR591
1619394490,11.59,113.49,37996,265,482,75833C,MNL,SGN,PAL591,0,A333,PR591
1619394562,11.57,113.33,37996,265,482,75833C,MNL,SGN,PAL591,0,A333,PR591
1619394622,11.53,113.11,38000,265,486,75833C,MNL,SGN,PAL591,0,A333,PR591
1619394682,11.52,112.99,38000,265,486,75833C,MNL,SGN,PAL591,0,A333,PR591
1619394742,11.51,112.88,38000,265,486,75833C,MNL,SGN,PAL591,0,A333,PR591
1619394802,11.5,112.76,38000,265,486,75833C,MNL,SGN,PAL591,0,A333,PR591
1619394862,11.49,112.64,38000,265,486,75833C,MNL,SGN,PAL591,0,A333,PR591
1619394922,11.48,112.51,38000,264,486,75833C,MNL,SGN,PAL591,0,A333,PR591
1619394970,11.47,112.4,38000,264,486,75833C,MNL,SGN,PAL591,0,A333,PR591
1619395030,11.46,112.26,38000,264,486,75833C,MNL,SGN,PAL591,0,A333,PR591
1619395090,11.44,112.12,38000,264,486,75833C,MNL,SGN,PAL591,0,A333,PR591
1619395150,11.43,111.99,38000,264,486,75833C,MNL,SGN,PAL591,0,A333,PR591
1619395220,11.41,111.83,38000,264,486,75833C,MNL,SGN,PAL591,0,A333,PR591
1619395233,11.41,111.8,38000,264,486,75833C,MNL,SGN,PAL591,0,A333,PR591
1619395332,11.35,111.48,38000,263,486,75833C,MNL,SGN,PAL591,0,A333,PR591
1619395388,11.33,111.35,38000,263,487,75833C,MNL,SGN,PAL591,0,A333,PR591
1619395442,11.32,111.23,38000,263,490,75833C,MNL,SGN,PAL591,0,A333,PR591
1619395503,11.31,111.11,38000,265,490,75833C,MNL,SGN,PAL591,0,A333,PR591
1619395563,11.3,110.99,38000,265,490,75833C,MNL,SGN,PAL591,0,A333,PR591
1619395613,11.27,110.84,38000,262,490,75833C,MNL,SGN,PAL591,0,A333,PR591
1619395687,11.26,110.69,38000,265,490,75833C,MNL,SGN,PAL591,0,A333,PR591
1619395751,11.23,110.53,38000,265,491,75833C,MNL,SGN,PAL591,0,A333,PR591
1619395806,11.22,110.39,38000,262,491,75833C,MNL,SGN,PAL591,0,A333,PR591
1619395867,11.2,110.26,38000,262,492,75833C,MNL,SGN,PAL591,0,A333,PR591
1619395939,11.19,110.12,38000,265,492,75833C,MNL,SGN,PAL591,0,A333,PR591
1619395999,11.18,110.0,38000,265,492,75833C,MNL,SGN,PAL591,0,A333,PR591
1619396049,11.15,109.84,38000,262,489,75833C,MNL,SGN,PAL591,0,A333,PR591
1619396085,11.14,109.76,38000,262,490,75833C,MNL,SGN,PAL591,0,A333,PR591
1619396163,11.11,109.58,38000,262,489,75833C,MNL,SGN,PAL591,0,A333,PR591
1619396227,11.09,109.44,38000,262,487,75833C,MNL,SGN,PAL591,0,A333,PR591
1619396287,11.08,109.31,38000,263,487,75833C,MNL,SGN,PAL591,0,A333,PR591
1619396334,11.07,109.19,37900,263,487,75833C,MNL,SGN,PAL591,-960,A333,PR591
1619396397,11.05,109.05,36875,262,488,75833C,MNL,SGN,PAL591,-1024,A333,PR591
1619396459,11.03,108.9,35850,262,492,75833C,MNL,SGN,PAL591,-1024,A333,PR591
1619396522,11.01,108.76,33625,262,487,75833C,MNL,SGN,PAL591,-2624,A333,PR591
1619396574,11.0,108.64,31475,262,477,75833C,MNL,SGN,PAL591,-2176,A333,PR591
1619396645,10.98,108.49,28850,262,460,75833C,MNL,SGN,PAL591,-2176,A333,PR591
1619396710,10.96,108.35,26525,262,447,75833C,MNL,SGN,PAL591,-2048,A333,PR591
1619396761,10.95,108.24,24750,262,435,75833C,MNL,SGN,PAL591,-2176,A333,PR591
1619396825,10.93,108.12,22500,262,425,75833C,MNL,SGN,PAL591,-1984,A333,PR591
1619396889,10.94,107.99,19350,276,437,75833C,MNL,SGN,PAL591,-3200,A333,PR591
1619396948,10.93,107.87,16725,266,405,75833C,MNL,SGN,PAL591,-4352,A333,PR591
1619397003,10.93,107.77,13900,266,379,75833C,MNL,SGN,PAL591,-2816,A333,PR591
1619397068,10.92,107.66,10850,266,365,75833C,MNL,SGN,PAL591,-1664,A333,PR591
1619397127,10.91,107.57,10050,266,309,75833C,MNL,SGN,PAL591,-1088,A333,PR591
1619397183,10.91,107.48,8550,267,312,75833C,MNL,SGN,PAL591,-2816,A333,PR591
1619397241,10.91,107.4,6975,267,319,75833C,MNL,SGN,PAL591,-576,A333,PR591
1619397306,10.9,107.3,6425,267,313,75833C,MNL,SGN,PAL591,-512,A333,PR591
1619397366,10.9,107.21,5925,267,294,75833C,MNL,SGN,PAL591,-448,A333,PR591
1619397433,10.9,107.13,5375,267,255,75833C,MNL,SGN,PAL591,-512,A333,PR591
1619397489,10.89,107.06,4925,267,233,75833C,MNL,SGN,PAL591,-832,A333,PR591
1619397550,10.89,107.0,4350,267,204,75833C,MNL,SGN,PAL591,-640,A333,PR591
1619397606,10.89,106.95,3575,268,204,75833C,MNL,SGN,PAL591,-384,A333,PR591
1619397661,10.89,106.9,2950,269,191,75833C,MNL,SGN,PAL591,-960,A333,PR591
1619397724,10.89,106.84,2100,269,186,75833C,MNL,SGN,PAL591,-256,A333,PR591
1619397790,10.87,106.79,2100,249,148,75833C,MNL,SGN,PAL591,-128,A333,PR591
1619397845,10.86,106.76,1975,249,141,75833C,MNL,SGN,PAL591,-704,A333,PR591
1619397896,10.85,106.73,1350,250,138,75833C,MNL,SGN,PAL591,-640,A333,PR591
1619397966,10.83,106.69,575,249,134,75833C,MNL,SGN,PAL591,-640,A333,PR591
1619398018,10.82,106.65,100,248,124,75833C,MNL,SGN,PAL591,-128,A333,PR591
1619398086,10.81,106.64,0,202,10,75833C,MNL,SGN,PAL591,0,A333,PR591
1619398144,10.81,106.64,0,163,12,75833C,MNL,SGN,PAL591,0,A333,PR591
1619398210,10.81,106.64,0,67,14,75833C,MNL,SGN,PAL591,0,A333,PR591
1619398256,10.81,106.64,0,70,17,75833C,MNL,SGN,PAL591,0,A333,PR591
1619398388,10.81,106.65,0,70,15,75833C,MNL,SGN,PAL591,0,A333,PR591
1619398440,10.82,106.66,0,70,15,75833C,MNL,SGN,PAL591,0,A333,PR591
1619398505,10.82,106.66,0,70,3,75833C,MNL,SGN,PAL591,0,A333,PR591
1619398570,10.82,106.66,0,67,8,75833C,MNL,SGN,PAL591,0,A333,PR591
1619398634,10.82,106.66,0,185,9,75833C,MNL,SGN,PAL591,0,A333,PR591
1619398689,10.81,106.66,0,267,6,75833C,MNL,SGN,PAL591,0,A333,PR591
1619398717,10.81,106.66,0,272,0,75833C,MNL,SGN,PAL591,0,A333,PR591
1619399026,10.81,106.66,0,180,0,75833C,MNL,SGN,PAL591,0,A333,PR591
1619399163,10.81,106.66,0,180,0,75833C,MNL,SGN,PAL591,0,A333,PR591
