,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
16,1589711606,15.61,111.24,39000,215,472,780873,PVG,SGN,CCA609,0,A332,CA609,2020-05-17,17:33:26
39,1589711679,15.5,111.16,39000,215,472,780873,PVG,SGN,CCA609,0,A332,CA609,2020-05-17,17:34:39
64,1589711743,15.4,111.08,39000,216,474,780873,PVG,SGN,CCA609,0,A332,CA609,2020-05-17,17:35:43
5,1589711799,15.27,110.99,39000,216,474,780873,PVG,SGN,CCA609,0,A332,CA609,2020-05-17,17:36:39
51,1589711866,15.15,110.89,39000,216,474,780873,PVG,SGN,CCA609,0,A332,CA609,2020-05-17,17:37:46
33,1589711932,15.03,110.8,39000,216,474,780873,PVG,SGN,CCA609,0,A332,CA609,2020-05-17,17:38:52
56,1589711992,14.93,110.72,39000,216,476,780873,PVG,SGN,CCA609,0,A332,CA609,2020-05-17,17:39:52
21,1589712051,14.82,110.64,39000,216,477,780873,PVG,SGN,CCA609,0,A332,CA609,2020-05-17,17:40:51
31,1589712116,14.7,110.56,39000,216,478,780873,PVG,SGN,CCA609,0,A332,CA609,2020-05-17,17:41:56
59,1589712166,14.61,110.49,39000,216,478,780873,PVG,SGN,CCA609,64,A332,CA609,2020-05-17,17:42:46
6,1589712227,14.52,110.42,39000,216,478,780873,PVG,SGN,CCA609,64,A332,CA609,2020-05-17,17:43:47
25,1589712287,14.43,110.35,39000,216,478,780873,PVG,SGN,CCA609,64,A332,CA609,2020-05-17,17:44:47
50,1589712343,14.31,110.25,39000,216,477,780873,PVG,SGN,CCA609,0,A332,CA609,2020-05-17,17:45:43
34,1589712408,14.18,110.16,39000,216,475,780873,PVG,SGN,CCA609,0,A332,CA609,2020-05-17,17:46:48
35,1589712467,14.08,110.08,39000,216,478,780873,PVG,SGN,CCA609,64,A332,CA609,2020-05-17,17:47:47
24,1589712512,14.0,110.02,39000,216,475,780873,PVG,SGN,CCA609,64,A332,CA609,2020-05-17,17:48:32
27,1589712580,13.87,109.94,39000,212,476,780873,PVG,SGN,CCA609,0,A332,CA609,2020-05-17,17:49:40
13,1589712635,13.78,109.88,39000,212,476,780873,PVG,SGN,CCA609,0,A332,CA609,2020-05-17,17:50:35
19,1589712702,13.64,109.79,39000,212,478,780873,PVG,SGN,CCA609,64,A332,CA609,2020-05-17,17:51:42
66,1589712754,13.54,109.73,39000,212,478,780873,PVG,SGN,CCA609,128,A332,CA609,2020-05-17,17:52:34
7,1589712825,13.41,109.64,39000,212,473,780873,PVG,SGN,CCA609,-64,A332,CA609,2020-05-17,17:53:45
53,1589712887,13.31,109.58,39000,212,473,780873,PVG,SGN,CCA609,-64,A332,CA609,2020-05-17,17:54:47
54,1589712937,13.2,109.51,39000,212,475,780873,PVG,SGN,CCA609,0,A332,CA609,2020-05-17,17:55:37
