,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
181,1591199748,26.66,127.44,38000,229,461,86DA38,NRT,SGN,ANA833,0,B789,NH833,2020-06-03,22:55:48
97,1591199810,26.57,127.33,37975,229,463,86DA38,NRT,SGN,ANA833,0,B789,NH833,2020-06-03,22:56:50
171,1591199868,26.49,127.22,37975,229,464,86DA38,NRT,SGN,ANA833,0,B789,NH833,2020-06-03,22:57:48
124,1591199910,26.43,127.15,38000,229,465,86DA38,NRT,SGN,ANA833,0,B789,NH833,2020-06-03,22:58:30
162,1591199985,26.34,127.01,38000,235,466,86DA38,NRT,SGN,ANA833,0,B789,NH833,2020-06-03,22:59:45
191,1591200035,26.26,126.92,38000,229,468,86DA38,NRT,SGN,ANA833,-64,B789,NH833,2020-06-03,23:00:35
61,1591200106,26.16,126.79,38000,229,468,86DA38,NRT,SGN,ANA833,0,B789,NH833,2020-06-03,23:01:46
12,1591200167,26.07,126.67,38000,229,469,86DA38,NRT,SGN,ANA833,0,B789,NH833,2020-06-03,23:02:47
185,1591200222,25.99,126.57,37975,229,470,86DA38,NRT,SGN,ANA833,0,B789,NH833,2020-06-03,23:03:42
121,1591200288,25.9,126.45,38000,229,471,86DA38,NRT,SGN,ANA833,0,B789,NH833,2020-06-03,23:04:48
98,1591200346,25.82,126.35,37975,229,471,86DA38,NRT,SGN,ANA833,-64,B789,NH833,2020-06-03,23:05:46
5,1591200402,25.74,126.24,37975,229,470,86DA38,NRT,SGN,ANA833,-64,B789,NH833,2020-06-03,23:06:42
69,1591200462,25.65,126.13,38000,229,470,86DA38,NRT,SGN,ANA833,-64,B789,NH833,2020-06-03,23:07:42
14,1591200526,25.56,126.02,38000,229,470,86DA38,NRT,SGN,ANA833,0,B789,NH833,2020-06-03,23:08:46
183,1591200588,25.47,125.9,37975,229,471,86DA38,NRT,SGN,ANA833,0,B789,NH833,2020-06-03,23:09:48
138,1591200643,25.39,125.8,37975,229,472,86DA38,NRT,SGN,ANA833,0,B789,NH833,2020-06-03,23:10:43
7,1591200702,25.31,125.7,38000,229,471,86DA38,NRT,SGN,ANA833,0,B789,NH833,2020-06-03,23:11:42
197,1591200758,25.23,125.59,37975,229,469,86DA38,NRT,SGN,ANA833,-64,B789,NH833,2020-06-03,23:12:38
6,1591200816,25.15,125.49,38000,228,470,86DA38,NRT,SGN,ANA833,-64,B789,NH833,2020-06-03,23:13:36
161,1591200872,25.07,125.39,38000,228,470,86DA38,NRT,SGN,ANA833,0,B789,NH833,2020-06-03,23:14:32
143,1591200936,24.98,125.27,38000,228,471,86DA38,NRT,SGN,ANA833,-64,B789,NH833,2020-06-03,23:15:36
42,1591200997,24.89,125.16,38000,228,471,86DA38,NRT,SGN,ANA833,-64,B789,NH833,2020-06-03,23:16:37
56,1591201058,24.8,125.05,38000,228,472,86DA38,NRT,SGN,ANA833,0,B789,NH833,2020-06-03,23:17:38
32,1591201115,24.72,124.95,38000,228,473,86DA38,NRT,SGN,ANA833,-64,B789,NH833,2020-06-03,23:18:35
70,1591201174,24.63,124.84,38000,228,474,86DA38,NRT,SGN,ANA833,0,B789,NH833,2020-06-03,23:19:34
16,1591201232,24.55,124.74,38000,228,474,86DA38,NRT,SGN,ANA833,0,B789,NH833,2020-06-03,23:20:32
108,1591201286,24.47,124.64,38000,228,474,86DA38,NRT,SGN,ANA833,0,B789,NH833,2020-06-03,23:21:26
95,1591201348,24.38,124.53,37975,228,473,86DA38,NRT,SGN,ANA833,-64,B789,NH833,2020-06-03,23:22:28
30,1591201404,24.3,124.43,38000,228,471,86DA38,NRT,SGN,ANA833,-64,B789,NH833,2020-06-03,23:23:24
85,1591201466,24.21,124.32,38000,228,470,86DA38,NRT,SGN,ANA833,-64,B789,NH833,2020-06-03,23:24:26
57,1591201524,24.13,124.22,38000,228,468,86DA38,NRT,SGN,ANA833,64,B789,NH833,2020-06-03,23:25:24
19,1591201584,24.04,124.11,37975,228,468,86DA38,NRT,SGN,ANA833,0,B789,NH833,2020-06-03,23:26:24
137,1591201640,23.96,124.01,37975,231,472,86DA38,NRT,SGN,ANA833,-64,B789,NH833,2020-06-03,23:27:20
93,1591201698,23.88,123.9,37975,235,470,86DA38,NRT,SGN,ANA833,-64,B789,NH833,2020-06-03,23:28:18
176,1591201762,23.81,123.77,37975,235,472,86DA38,NRT,SGN,ANA833,-64,B789,NH833,2020-06-03,23:29:22
117,1591201826,23.73,123.65,38000,235,469,86DA38,NRT,SGN,ANA833,0,B789,NH833,2020-06-03,23:30:26
