timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1591804292,2.74,101.73,2025,145,178,780A1E,KUL,SGN,HKC328,832,A332,RH328,2020-06-10,22:51:32
1591804348,2.71,101.77,4250,113,217,780A1E,KUL,SGN,HKC328,3264,A332,RH328,2020-06-10,22:52:28
1591804412,2.68,101.83,7475,84,234,780A1E,KUL,SGN,HKC328,2880,A332,RH328,2020-06-10,22:53:32
1591804464,2.73,101.87,9200,15,289,780A1E,KUL,SGN,HKC328,2112,A332,RH328,2020-06-10,22:54:24
1591804526,2.81,101.89,12425,18,309,780A1E,KUL,SGN,HKC328,2880,A332,RH328,2020-06-10,22:55:26
1591804586,2.9,101.92,15475,18,324,780A1E,KUL,SGN,HKC328,3520,A332,RH328,2020-06-10,22:56:26
1591804644,2.98,101.95,18200,18,339,780A1E,KUL,SGN,HKC328,2880,A332,RH328,2020-06-10,22:57:24
1591804706,3.08,101.98,20950,18,348,780A1E,KUL,SGN,HKC328,2304,A332,RH328,2020-06-10,22:58:26
1591804770,3.18,102.01,23600,18,351,780A1E,KUL,SGN,HKC328,3328,A332,RH328,2020-06-10,22:59:30
1591804832,3.27,102.05,26025,18,347,780A1E,KUL,SGN,HKC328,3008,A332,RH328,2020-06-10,23:00:32
1591804884,3.35,102.07,27650,18,350,780A1E,KUL,SGN,HKC328,1920,A332,RH328,2020-06-10,23:01:24
1591804951,3.45,102.11,29650,25,360,780A1E,KUL,SGN,HKC328,1728,A332,RH328,2020-06-10,23:02:31
1591805015,3.55,102.16,31625,27,366,780A1E,KUL,SGN,HKC328,2048,A332,RH328,2020-06-10,23:03:35
1591805072,3.64,102.21,33800,27,357,780A1E,KUL,SGN,HKC328,2496,A332,RH328,2020-06-10,23:04:32
1591805124,3.71,102.25,35200,27,363,780A1E,KUL,SGN,HKC328,1536,A332,RH328,2020-06-10,23:05:24
1591805182,3.8,102.29,36650,27,371,780A1E,KUL,SGN,HKC328,1600,A332,RH328,2020-06-10,23:06:22
1591805239,3.89,102.34,37950,27,382,780A1E,KUL,SGN,HKC328,1344,A332,RH328,2020-06-10,23:07:19
1591805296,3.98,102.38,39250,27,387,780A1E,KUL,SGN,HKC328,1344,A332,RH328,2020-06-10,23:08:16
1591805356,4.08,102.43,40500,27,391,780A1E,KUL,SGN,HKC328,1088,A332,RH328,2020-06-10,23:09:16
1591805416,4.17,102.48,41000,27,404,780A1E,KUL,SGN,HKC328,64,A332,RH328,2020-06-10,23:10:16
1591805474,4.27,102.53,41025,27,402,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:11:14
1591805530,4.37,102.58,41000,27,403,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:12:10
1591805594,4.47,102.63,41000,27,402,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:13:14
1591805658,4.58,102.69,41000,27,401,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:14:18
1591805714,4.67,102.74,41000,27,405,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:15:14
1591805772,4.77,102.79,41000,27,406,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:16:12
1591805839,4.88,102.84,41000,26,406,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:17:19
1591805892,4.97,102.89,41000,26,403,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:18:12
1591805953,5.07,102.94,41000,26,404,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:19:13
1591806006,5.16,102.98,41000,26,405,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:20:06
1591806066,5.26,103.03,41000,26,406,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:21:06
1591806124,5.36,103.08,41000,23,407,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:22:04
1591806190,5.48,103.12,41000,19,411,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:23:10
1591806248,5.58,103.16,41000,19,410,780A1E,KUL,SGN,HKC328,-64,A332,RH328,2020-06-10,23:24:08
1591806308,5.69,103.2,41000,19,410,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:25:08
1591806361,5.79,103.23,41000,16,412,780A1E,KUL,SGN,HKC328,64,A332,RH328,2020-06-10,23:26:01
1591806421,5.9,103.27,41000,17,412,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:27:01
1591806472,5.99,103.3,41000,17,410,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:27:52
1591806532,6.1,103.33,41000,16,411,780A1E,KUL,SGN,HKC328,64,A332,RH328,2020-06-10,23:28:52
1591806590,6.21,103.36,41000,16,409,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:29:50
1591806650,6.31,103.39,41000,17,409,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:30:50
1591806716,6.43,103.43,41000,17,415,780A1E,KUL,SGN,HKC328,-128,A332,RH328,2020-06-10,23:31:56
1591806770,6.54,103.46,41000,16,419,780A1E,KUL,SGN,HKC328,-64,A332,RH328,2020-06-10,23:32:50
1591806826,6.64,103.49,41000,16,417,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:33:46
1591806885,6.75,103.53,41000,16,415,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:34:45
1591806944,6.86,103.56,41000,19,414,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:35:44
1591807008,6.96,103.63,41000,47,399,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:36:48
1591807074,7.02,103.73,41000,58,394,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:37:54
1591807132,7.08,103.82,41000,59,395,780A1E,KUL,SGN,HKC328,0,A332,RH328,2020-06-10,23:38:52
