timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1591864069,28.45,106.93,30600,177,464,7816A0,CKG,SGN,CQN2395,1088,A20N,OQ2395,2020-06-11,15:27:49
1591864143,28.32,106.94,30600,177,464,7816A0,CKG,SGN,CQN2395,1088,A20N,OQ2395,2020-06-11,15:29:03
1591864209,28.16,106.95,34750,177,441,7816A0,CKG,SGN,CQN2395,2368,A20N,OQ2395,2020-06-11,15:30:09
1591864275,28.03,106.96,36125,177,442,7816A0,CKG,SGN,CQN2395,512,A20N,OQ2395,2020-06-11,15:31:15
1591864331,27.91,106.97,36900,177,451,7816A0,CKG,SGN,CQN2395,1216,A20N,OQ2395,2020-06-11,15:32:11
1591864389,27.79,106.97,37100,177,448,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,15:33:09
1591864446,27.67,106.98,37100,177,454,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,15:34:06
1591864503,27.57,106.98,37100,177,453,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,15:35:03
1591864575,27.42,106.99,37075,177,452,7816A0,CKG,SGN,CQN2395,-64,A20N,OQ2395,2020-06-11,15:36:15
1591864623,27.34,107.0,37075,177,452,7816A0,CKG,SGN,CQN2395,-64,A20N,OQ2395,2020-06-11,15:37:03
1591864683,27.24,107.0,37075,177,452,7816A0,CKG,SGN,CQN2395,-64,A20N,OQ2395,2020-06-11,15:38:03
1591864747,27.08,107.01,37100,177,455,7816A0,CKG,SGN,CQN2395,64,A20N,OQ2395,2020-06-11,15:39:07
1591864815,26.93,107.02,37100,177,455,7816A0,CKG,SGN,CQN2395,64,A20N,OQ2395,2020-06-11,15:40:15
1591864875,26.79,107.02,37150,177,461,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,15:41:15
1591864923,26.71,107.03,37150,177,461,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,15:42:03
1591864988,26.53,107.04,37075,177,456,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,15:43:08
1591865044,26.41,107.04,37075,177,456,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,15:44:04
1591865106,26.28,107.08,37100,153,459,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,15:45:06
1591865167,26.19,107.14,37100,153,459,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,15:46:07
1591865235,26.1,107.25,37100,136,461,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,15:47:15
1591865291,26.02,107.35,37100,135,459,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,15:48:11
1591865351,25.95,107.43,37100,135,459,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,15:49:11
1591865415,25.86,107.53,37075,135,458,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,15:50:15
1591865479,25.78,107.61,37075,135,459,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,15:51:19
1591865527,25.66,107.74,37100,135,462,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,15:52:07
1591865595,25.55,107.86,37125,135,461,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,15:53:15
1591865667,25.46,107.96,37125,135,460,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,15:54:27
1591865713,25.3,107.98,37100,173,458,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,15:55:13
1591865785,25.15,108.0,37100,173,459,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,15:56:25
1591865828,25.06,108.01,37075,173,460,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,15:57:08
1591865903,24.92,108.03,37075,173,460,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,15:58:23
1591865955,24.83,108.04,37100,173,461,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,15:59:15
1591866015,24.83,108.04,37125,173,458,7816A0,CKG,SGN,CQN2395,64,A20N,OQ2395,2020-06-11,16:00:15
1591866075,24.72,108.06,37125,173,458,7816A0,CKG,SGN,CQN2395,64,A20N,OQ2395,2020-06-11,16:01:15
1591866135,24.62,108.07,37125,173,458,7816A0,CKG,SGN,CQN2395,64,A20N,OQ2395,2020-06-11,16:02:15
1591866195,24.35,108.12,37075,170,450,7816A0,CKG,SGN,CQN2395,-64,A20N,OQ2395,2020-06-11,16:03:15
1591866255,24.22,108.13,37100,170,450,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:04:15
1591866315,24.09,108.09,37075,180,450,7816A0,CKG,SGN,CQN2395,64,A20N,OQ2395,2020-06-11,16:05:15
1591866375,23.97,108.03,37125,190,450,7816A0,CKG,SGN,CQN2395,64,A20N,OQ2395,2020-06-11,16:06:15
1591866435,23.87,108.01,37125,190,450,7816A0,CKG,SGN,CQN2395,64,A20N,OQ2395,2020-06-11,16:07:15
1591866500,23.73,107.76,37075,212,447,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:08:20
1591866546,23.65,107.7,37075,212,447,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:09:06
1591866619,23.54,107.63,37075,212,447,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:10:19
1591866679,23.45,107.57,37075,212,447,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:11:19
1591866739,23.36,107.51,37075,212,447,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:12:19
1591866799,23.21,107.4,37075,212,446,7816A0,CKG,SGN,CQN2395,-64,A20N,OQ2395,2020-06-11,16:13:19
1591866851,23.13,107.31,37100,238,451,7816A0,CKG,SGN,CQN2395,64,A20N,OQ2395,2020-06-11,16:14:11
1591866920,23.04,107.19,37125,221,453,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:15:20
1591866975,22.95,107.13,37125,213,454,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:16:15
1591867035,22.86,107.06,37125,213,454,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:17:15
1591867095,22.77,107.0,37125,213,454,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:18:15
1591867167,22.66,106.93,37125,213,454,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:19:27
1591867228,22.48,106.84,35975,209,457,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:20:28
1591867284,22.38,106.76,36000,220,458,7816A0,CKG,SGN,CQN2395,64,A20N,OQ2395,2020-06-11,16:21:24
1591867347,22.29,106.68,36025,223,459,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:22:27
1591867386,22.22,106.6,36025,225,458,7816A0,CKG,SGN,CQN2395,-64,A20N,OQ2395,2020-06-11,16:23:06
1591867463,22.12,106.46,36000,232,457,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:24:23
1591867526,22.04,106.35,35975,233,458,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:25:26
1591867581,21.97,106.25,36000,233,460,7816A0,CKG,SGN,CQN2395,64,A20N,OQ2395,2020-06-11,16:26:21
1591867635,21.9,106.15,36000,233,461,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:27:15
1591867695,21.83,106.04,36000,232,461,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:28:15
1591867756,21.75,105.93,36000,233,460,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:29:16
1591867816,21.67,105.81,36000,232,461,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:30:16
1591867872,21.6,105.72,36000,222,463,7816A0,CKG,SGN,CQN2395,64,A20N,OQ2395,2020-06-11,16:31:12
1591867936,21.48,105.64,36000,208,460,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:32:16
1591867995,21.37,105.58,36000,208,458,7816A0,CKG,SGN,CQN2395,-64,A20N,OQ2395,2020-06-11,16:33:15
1591868059,21.25,105.51,35975,208,458,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:34:19
1591868120,21.13,105.44,35975,208,458,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:35:20
1591868180,21.02,105.38,35975,203,459,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:36:20
1591868244,20.89,105.37,36025,160,459,7816A0,CKG,SGN,CQN2395,64,A20N,OQ2395,2020-06-11,16:37:24
1591868307,20.79,105.47,36050,123,453,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:38:27
1591868365,20.72,105.57,36000,123,450,7816A0,CKG,SGN,CQN2395,-64,A20N,OQ2395,2020-06-11,16:39:25
1591868424,20.66,105.68,35950,123,450,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:40:24
1591868484,20.59,105.79,35975,123,452,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:41:24
1591868541,20.52,105.9,36000,123,454,7816A0,CKG,SGN,CQN2395,64,A20N,OQ2395,2020-06-11,16:42:21
1591868606,20.45,106.02,36025,123,454,7816A0,CKG,SGN,CQN2395,64,A20N,OQ2395,2020-06-11,16:43:26
1591868660,20.37,106.11,36025,140,455,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:44:20
1591868724,20.25,106.18,36000,154,457,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:45:24
1591868780,20.15,106.25,36000,134,454,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:46:20
1591868841,20.07,106.35,36025,137,453,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:47:21
1591868900,19.96,106.43,36000,151,455,7816A0,CKG,SGN,CQN2395,-64,A20N,OQ2395,2020-06-11,16:48:20
1591868957,19.86,106.48,35975,154,453,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:49:17
1591869022,19.73,106.54,36000,154,450,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:50:22
1591869085,19.61,106.6,35975,154,448,7816A0,CKG,SGN,CQN2395,0,A20N,OQ2395,2020-06-11,16:51:25
