timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1591895400,28.49,104.67,37100,195,445,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:10:00
1591895472,28.35,104.63,37075,196,445,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:11:12
1591895535,28.24,104.59,37075,196,445,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:12:15
1591895598,28.1,104.54,37125,194,449,781407,CTU,SGN,CSC8447,-64,A321,3U8447,2020-06-12,00:13:18
1591895654,27.98,104.56,37125,166,456,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:14:14
1591895711,27.86,104.59,37125,167,457,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:15:11
1591895771,27.76,104.62,37125,167,457,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:16:11
1591895822,27.64,104.66,37125,153,455,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:17:02
1591895895,27.5,104.74,37050,152,455,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:18:15
1591895949,27.4,104.79,37075,152,458,781407,CTU,SGN,CSC8447,64,A321,3U8447,2020-06-12,00:19:09
1591896011,27.3,104.85,37075,152,458,781407,CTU,SGN,CSC8447,64,A321,3U8447,2020-06-12,00:20:11
1591896071,27.2,104.91,37075,152,458,781407,CTU,SGN,CSC8447,64,A321,3U8447,2020-06-12,00:21:11
1591896141,27.03,105.01,37125,153,471,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:22:21
1591896192,26.93,105.06,37125,152,474,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:23:12
1591896263,26.79,105.14,37100,152,475,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:24:23
1591896317,26.69,105.21,37150,152,473,781407,CTU,SGN,CSC8447,64,A321,3U8447,2020-06-12,00:25:17
1591896375,26.58,105.27,37150,152,471,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:26:15
1591896439,26.47,105.34,37100,152,470,781407,CTU,SGN,CSC8447,-64,A321,3U8447,2020-06-12,00:27:19
1591896487,26.39,105.38,37100,152,470,781407,CTU,SGN,CSC8447,-64,A321,3U8447,2020-06-12,00:28:07
1591896559,26.27,105.5,37075,141,471,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:29:19
1591896619,26.29,105.69,37125,107,468,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:30:19
1591896679,26.25,105.82,37100,107,469,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:31:19
1591896738,26.2,105.98,37100,107,452,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:32:18
1591896787,26.18,106.08,37100,107,452,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:33:07
1591896847,26.14,106.19,37100,107,452,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:34:07
1591896907,26.11,106.31,37100,107,455,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:35:07
1591896967,26.07,106.46,37125,107,457,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:36:07
1591897015,26.04,106.55,37125,107,457,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:36:55
1591897087,25.99,106.73,37100,107,455,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:38:07
1591897147,25.96,106.84,37100,107,455,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:39:07
1591897207,25.93,106.96,37100,107,455,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:40:07
1591897279,25.87,107.16,37075,107,458,781407,CTU,SGN,CSC8447,64,A321,3U8447,2020-06-12,00:41:19
1591897331,25.84,107.27,37125,107,459,781407,CTU,SGN,CSC8447,64,A321,3U8447,2020-06-12,00:42:11
1591897399,25.79,107.42,37150,107,459,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:43:19
1591897459,25.75,107.57,37125,107,457,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:44:19
1591897531,25.71,107.72,37075,107,455,781407,CTU,SGN,CSC8447,-64,A321,3U8447,2020-06-12,00:45:31
1591897591,25.63,107.84,37050,115,457,781407,CTU,SGN,CSC8447,64,A321,3U8447,2020-06-12,00:46:31
1591897651,25.59,107.95,37050,115,457,781407,CTU,SGN,CSC8447,64,A321,3U8447,2020-06-12,00:47:31
1591897711,25.42,108.0,37075,135,465,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:48:31
1591897771,25.26,108.03,37150,156,467,781407,CTU,SGN,CSC8447,128,A321,3U8447,2020-06-12,00:49:31
1591897832,25.09,108.01,37075,173,459,781407,CTU,SGN,CSC8447,-64,A321,3U8447,2020-06-12,00:50:32
1591897895,24.97,108.02,37075,173,458,781407,CTU,SGN,CSC8447,0,A321,3U8447,2020-06-12,00:51:35
