,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
63,1592300473,13.7,100.74,0,2,61,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-16,16:41:13
60,1592300538,13.66,100.73,2850,194,159,AD2B61,BKK,SGN,FDX6002,2944,B752,FX6002,2020-06-16,16:42:18
162,1592300596,13.62,100.75,4850,105,241,AD2B61,BKK,SGN,FDX6002,2112,B752,FX6002,2020-06-16,16:43:16
137,1592300647,13.6,100.81,7225,109,285,AD2B61,BKK,SGN,FDX6002,3520,B752,FX6002,2020-06-16,16:44:07
59,1592300706,13.58,100.89,10300,107,305,AD2B61,BKK,SGN,FDX6002,2752,B752,FX6002,2020-06-16,16:45:06
150,1592300769,13.55,100.99,12225,107,367,AD2B61,BKK,SGN,FDX6002,3008,B752,FX6002,2020-06-16,16:46:09
100,1592300833,13.52,101.1,15075,93,386,AD2B61,BKK,SGN,FDX6002,2688,B752,FX6002,2020-06-16,16:47:13
39,1592300893,13.52,101.21,17525,91,401,AD2B61,BKK,SGN,FDX6002,2176,B752,FX6002,2020-06-16,16:48:13
167,1592300960,13.51,101.34,19925,99,417,AD2B61,BKK,SGN,FDX6002,1664,B752,FX6002,2020-06-16,16:49:20
166,1592301017,13.47,101.45,22175,117,434,AD2B61,BKK,SGN,FDX6002,2688,B752,FX6002,2020-06-16,16:50:17
108,1592301070,13.42,101.55,24300,117,443,AD2B61,BKK,SGN,FDX6002,2432,B752,FX6002,2020-06-16,16:51:10
157,1592301130,13.37,101.66,27300,115,431,AD2B61,BKK,SGN,FDX6002,2944,B752,FX6002,2020-06-16,16:52:10
18,1592301192,13.31,101.77,30175,116,422,AD2B61,BKK,SGN,FDX6002,2624,B752,FX6002,2020-06-16,16:53:12
23,1592301250,13.26,101.87,32650,116,410,AD2B61,BKK,SGN,FDX6002,1664,B752,FX6002,2020-06-16,16:54:10
56,1592301305,13.22,101.97,33000,116,411,AD2B61,BKK,SGN,FDX6002,-64,B752,FX6002,2020-06-16,16:55:05
78,1592301368,13.16,102.09,33000,116,458,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-16,16:56:08
41,1592301429,13.1,102.21,33000,116,475,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-16,16:57:09
145,1592301491,13.04,102.33,33000,117,473,AD2B61,BKK,SGN,FDX6002,64,B752,FX6002,2020-06-16,16:58:11
103,1592301553,12.98,102.45,33000,117,427,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-16,16:59:13
114,1592301610,12.93,102.55,33000,117,409,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-16,17:00:10
119,1592301672,12.87,102.66,33000,117,411,AD2B61,BKK,SGN,FDX6002,64,B752,FX6002,2020-06-16,17:01:12
73,1592301727,12.82,102.75,33000,117,412,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-16,17:02:07
146,1592301788,12.77,102.86,33000,117,413,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-16,17:03:08
126,1592301846,12.72,102.96,33000,117,414,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-16,17:04:06
86,1592301912,12.66,103.07,33000,117,413,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-16,17:05:12
22,1592301968,12.59,103.15,33000,140,421,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-16,17:06:08
98,1592302032,12.48,103.21,33000,154,423,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-16,17:07:12
82,1592302095,12.36,103.27,33000,154,423,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-16,17:08:15
0,1592302152,12.26,103.32,33000,142,420,AD2B61,BKK,SGN,FDX6002,64,B752,FX6002,2020-06-16,17:09:12
97,1592302214,12.17,103.4,33000,139,423,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-16,17:10:14
77,1592302278,12.1,103.5,33000,119,420,AD2B61,BKK,SGN,FDX6002,-64,B752,FX6002,2020-06-16,17:11:18
176,1592302338,12.04,103.6,33000,115,420,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-16,17:12:18
76,1592302397,11.99,103.71,33000,111,416,AD2B61,BKK,SGN,FDX6002,64,B752,FX6002,2020-06-16,17:13:17
13,1592302458,11.95,103.82,33000,111,413,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-16,17:14:18
87,1592302514,11.91,103.92,33000,111,412,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-16,17:15:14
123,1592302576,11.87,104.04,33000,111,411,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-16,17:16:16
106,1592302634,11.83,104.14,33000,111,407,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-16,17:17:14
80,1592302700,11.78,104.26,33000,111,405,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-16,17:18:20
161,1592302762,11.76,104.37,33000,91,400,AD2B61,BKK,SGN,FDX6002,0,B752,FX6002,2020-06-16,17:19:22
102,1592302819,11.76,104.48,33000,91,402,AD2B61,BKK,SGN,FDX6002,-64,B752,FX6002,2020-06-16,17:20:19
141,1592302874,11.76,104.58,33025,90,403,AD2B61,BKK,SGN,FDX6002,64,B752,FX6002,2020-06-16,17:21:14
179,1592302937,11.74,104.7,33000,112,408,AD2B61,BKK,SGN,FDX6002,-64,B752,FX6002,2020-06-16,17:22:17
7,1592302998,11.66,104.78,33000,150,424,AD2B61,BKK,SGN,FDX6002,64,B752,FX6002,2020-06-16,17:23:18
189,1592303067,11.54,104.85,32850,149,423,AD2B61,BKK,SGN,FDX6002,-1152,B752,FX6002,2020-06-16,17:24:27
170,1592303123,11.45,104.91,31700,149,425,AD2B61,BKK,SGN,FDX6002,-1408,B752,FX6002,2020-06-16,17:25:23
47,1592303186,11.34,104.98,30650,140,420,AD2B61,BKK,SGN,FDX6002,-768,B752,FX6002,2020-06-16,17:26:26
48,1592303246,11.29,105.07,29725,110,407,AD2B61,BKK,SGN,FDX6002,-960,B752,FX6002,2020-06-16,17:27:26
75,1592303307,11.25,105.18,28525,109,407,AD2B61,BKK,SGN,FDX6002,-704,B752,FX6002,2020-06-16,17:28:27
180,1592303361,11.22,105.28,27400,109,401,AD2B61,BKK,SGN,FDX6002,-960,B752,FX6002,2020-06-16,17:29:21
105,1592303427,11.18,105.4,26125,109,380,AD2B61,BKK,SGN,FDX6002,-1344,B752,FX6002,2020-06-16,17:30:27
185,1592303489,11.14,105.5,25150,109,375,AD2B61,BKK,SGN,FDX6002,-768,B752,FX6002,2020-06-16,17:31:29
117,1592303554,11.1,105.61,23875,104,368,AD2B61,BKK,SGN,FDX6002,-1088,B752,FX6002,2020-06-16,17:32:34
28,1592303614,11.09,105.71,23000,98,342,AD2B61,BKK,SGN,FDX6002,-832,B752,FX6002,2020-06-16,17:33:34
127,1592303671,11.07,105.79,22225,98,316,AD2B61,BKK,SGN,FDX6002,-640,B752,FX6002,2020-06-16,17:34:31
164,1592303732,11.06,105.88,21150,98,306,AD2B61,BKK,SGN,FDX6002,-1280,B752,FX6002,2020-06-16,17:35:32
