,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
38,1593685551,11.55,104.85,0,19,15,7e+42,PNH,SGN,KHV816,0,AT75,K6816,2020-07-02,17:25:51
21,1593685609,11.55,104.85,0,140,23,7e+42,PNH,SGN,KHV816,0,AT75,K6816,2020-07-02,17:26:49
27,1593685676,11.53,104.83,1525,225,120,7e+42,PNH,SGN,KHV816,1920,AT75,K6816,2020-07-02,17:27:56
58,1593685728,11.5,104.85,2825,225,120,7e+42,PNH,SGN,KHV816,2432,AT75,K6816,2020-07-02,17:28:48
5,1593685791,11.45,104.87,4700,225,120,7e+42,PNH,SGN,KHV816,1664,AT75,K6816,2020-07-02,17:29:51
11,1593685849,11.41,104.9,6200,225,120,7e+42,PNH,SGN,KHV816,1600,AT75,K6816,2020-07-02,17:30:49
40,1593685910,11.39,104.96,7650,225,120,7e+42,PNH,SGN,KHV816,1088,AT75,K6816,2020-07-02,17:31:50
33,1593685968,11.37,105.01,8900,225,120,7e+42,PNH,SGN,KHV816,1344,AT75,K6816,2020-07-02,17:32:48
15,1593686019,11.36,105.07,9950,106,129,7e+42,PNH,SGN,KHV816,1280,AT75,K6816,2020-07-02,17:33:39
46,1593686086,11.34,105.13,11475,108,228,7e+42,PNH,SGN,KHV816,1216,AT75,K6816,2020-07-02,17:34:46
43,1593686143,11.32,105.19,12575,113,100,7e+42,PNH,SGN,KHV816,1216,AT75,K6816,2020-07-02,17:35:43
2,1593686207,11.29,105.25,13850,225,120,7e+42,PNH,SGN,KHV816,1088,AT75,K6816,2020-07-02,17:36:47
52,1593686265,11.27,105.3,14925,225,120,7e+42,PNH,SGN,KHV816,1024,AT75,K6816,2020-07-02,17:37:45
24,1593686322,11.25,105.37,15025,108,245,7e+42,PNH,SGN,KHV816,0,AT75,K6816,2020-07-02,17:38:42
7,1593686382,11.23,105.44,15025,119,163,7e+42,PNH,SGN,KHV816,0,AT75,K6816,2020-07-02,17:39:42
28,1593686440,11.21,105.51,15025,89,71,7e+42,PNH,SGN,KHV816,-128,AT75,K6816,2020-07-02,17:40:40
8,1593686511,11.2,105.6,15025,100,295,7e+42,PNH,SGN,KHV816,64,AT75,K6816,2020-07-02,17:41:51
50,1593686568,11.18,105.67,15025,107,247,7e+42,PNH,SGN,KHV816,0,AT75,K6816,2020-07-02,17:42:48
18,1593686628,11.15,105.75,15025,225,120,7e+42,PNH,SGN,KHV816,-64,AT75,K6816,2020-07-02,17:43:48
22,1593686685,11.13,105.82,15000,225,120,7e+42,PNH,SGN,KHV816,128,AT75,K6816,2020-07-02,17:44:45
45,1593686746,11.11,105.89,15025,225,120,7e+42,PNH,SGN,KHV816,0,AT75,K6816,2020-07-02,17:45:46
