timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1594192506,18.44,91.01,37000,114,450,3965B0,CDG,SGN,AFR258,0,B77W,AF258,2020-07-08,14:15:06
1594192564,19.04,91.39,37000,101,454,3965B0,CDG,SGN,AFR258,0,B77W,AF258,2020-07-08,14:16:04
1594192622,19.0,91.5,37000,117,453,3965B0,CDG,SGN,AFR258,0,B77W,AF258,2020-07-08,14:17:02
1594192682,18.95,91.6,37000,117,453,3965B0,CDG,SGN,AFR258,0,B77W,AF258,2020-07-08,14:18:02
1594192742,18.9,91.7,37000,117,453,3965B0,CDG,SGN,AFR258,0,B77W,AF258,2020-07-08,14:19:02
1594192802,18.85,91.8,37000,117,453,3965B0,CDG,SGN,AFR258,0,B77W,AF258,2020-07-08,14:20:02
1594192850,18.81,91.88,37000,117,453,3965B0,CDG,SGN,AFR258,0,B77W,AF258,2020-07-08,14:20:50
1594192910,18.76,91.99,37000,117,453,3965B0,CDG,SGN,AFR258,0,B77W,AF258,2020-07-08,14:21:50
1594192982,18.69,92.14,37000,117,453,3965B0,CDG,SGN,AFR258,0,B77W,AF258,2020-07-08,14:23:02
1594193042,18.63,92.25,37000,117,453,3965B0,CDG,SGN,AFR258,0,B77W,AF258,2020-07-08,14:24:02
1594193102,18.58,92.37,37000,117,453,3965B0,CDG,SGN,AFR258,0,B77W,AF258,2020-07-08,14:25:02
1594193162,18.52,92.49,37000,117,453,3965B0,CDG,SGN,AFR258,0,B77W,AF258,2020-07-08,14:26:02
1594193222,18.46,92.61,37000,117,453,3965B0,CDG,SGN,AFR258,0,B77W,AF258,2020-07-08,14:27:02
1594193282,18.41,92.73,37000,117,453,3965B0,CDG,SGN,AFR258,0,B77W,AF258,2020-07-08,14:28:02
1594193342,18.35,92.84,37000,117,453,3965B0,CDG,SGN,AFR258,0,B77W,AF258,2020-07-08,14:29:02
1594193402,18.29,92.96,37000,117,453,3965B0,CDG,SGN,AFR258,0,B77W,AF258,2020-07-08,14:30:02
1594193462,18.23,93.08,37000,117,453,3965B0,CDG,SGN,AFR258,0,B77W,AF258,2020-07-08,14:31:02
1594193522,18.18,93.2,37000,117,453,3965B0,CDG,SGN,AFR258,0,B77W,AF258,2020-07-08,14:32:02
1594193582,18.12,93.32,37000,117,453,3965B0,CDG,SGN,AFR258,0,B77W,AF258,2020-07-08,14:33:02
1594193654,18.05,93.46,37000,117,453,3965B0,CDG,SGN,AFR258,0,B77W,AF258,2020-07-08,14:34:14
