,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
97,1594209923,25.03,121.19,2375,227,183,8990D0,TPE,SGN,EVA381,1536,A333,BR381,2020-07-08,19:05:23
168,1594209980,25.01,121.14,4025,240,251,8990D0,TPE,SGN,EVA381,1088,A333,BR381,2020-07-08,19:06:20
137,1594210039,24.97,121.06,6275,244,303,8990D0,TPE,SGN,EVA381,3072,A333,BR381,2020-07-08,19:07:19
93,1594210101,24.93,120.97,8775,244,336,8990D0,TPE,SGN,EVA381,1088,A333,BR381,2020-07-08,19:08:21
155,1594210168,24.89,120.87,9300,244,339,8990D0,TPE,SGN,EVA381,960,A333,BR381,2020-07-08,19:09:28
35,1594210231,24.84,120.76,12025,244,355,8990D0,TPE,SGN,EVA381,2368,A333,BR381,2020-07-08,19:10:31
159,1594210293,24.8,120.66,14475,244,375,8990D0,TPE,SGN,EVA381,2368,A333,BR381,2020-07-08,19:11:33
50,1594210351,24.75,120.56,16775,244,388,8990D0,TPE,SGN,EVA381,2432,A333,BR381,2020-07-08,19:12:31
19,1594210414,24.68,120.47,19275,213,403,8990D0,TPE,SGN,EVA381,1984,A333,BR381,2020-07-08,19:13:34
103,1594210478,24.58,120.39,21325,214,418,8990D0,TPE,SGN,EVA381,1728,A333,BR381,2020-07-08,19:14:38
106,1594210538,24.48,120.32,22550,214,447,8990D0,TPE,SGN,EVA381,960,A333,BR381,2020-07-08,19:15:38
100,1594210594,24.38,120.24,23950,215,460,8990D0,TPE,SGN,EVA381,1216,A333,BR381,2020-07-08,19:16:34
71,1594210650,24.28,120.17,25225,215,471,8990D0,TPE,SGN,EVA381,1472,A333,BR381,2020-07-08,19:17:30
132,1594210710,24.17,120.08,27300,215,461,8990D0,TPE,SGN,EVA381,3456,A333,BR381,2020-07-08,19:18:30
68,1594210768,24.07,120.0,28575,215,468,8990D0,TPE,SGN,EVA381,1280,A333,BR381,2020-07-08,19:19:28
146,1594210824,23.97,119.93,29775,215,471,8990D0,TPE,SGN,EVA381,1216,A333,BR381,2020-07-08,19:20:24
14,1594210884,23.87,119.84,30975,215,476,8990D0,TPE,SGN,EVA381,1152,A333,BR381,2020-07-08,19:21:24
82,1594210948,23.75,119.76,31925,215,483,8990D0,TPE,SGN,EVA381,832,A333,BR381,2020-07-08,19:22:28
49,1594211007,23.64,119.67,32725,221,491,8990D0,TPE,SGN,EVA381,640,A333,BR381,2020-07-08,19:23:27
52,1594211068,23.55,119.55,33550,233,497,8990D0,TPE,SGN,EVA381,1216,A333,BR381,2020-07-08,19:24:28
72,1594211132,23.47,119.43,35125,225,484,8990D0,TPE,SGN,EVA381,2176,A333,BR381,2020-07-08,19:25:32
118,1594211193,23.37,119.32,36425,225,475,8990D0,TPE,SGN,EVA381,960,A333,BR381,2020-07-08,19:26:33
117,1594211253,23.28,119.22,37325,225,475,8990D0,TPE,SGN,EVA381,1024,A333,BR381,2020-07-08,19:27:33
133,1594211313,23.18,119.12,38250,225,473,8990D0,TPE,SGN,EVA381,704,A333,BR381,2020-07-08,19:28:33
63,1594211370,23.09,119.02,38675,225,481,8990D0,TPE,SGN,EVA381,576,A333,BR381,2020-07-08,19:29:30
140,1594211431,23.0,118.92,39300,224,482,8990D0,TPE,SGN,EVA381,576,A333,BR381,2020-07-08,19:30:31
147,1594211493,22.9,118.81,39925,224,482,8990D0,TPE,SGN,EVA381,512,A333,BR381,2020-07-08,19:31:33
73,1594211550,22.81,118.71,40000,224,493,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:32:30
27,1594211612,22.71,118.61,40000,224,499,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:33:32
76,1594211674,22.6,118.5,40000,224,499,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:34:34
115,1594211737,22.5,118.39,40000,224,497,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:35:37
21,1594211798,22.4,118.28,40000,224,493,8990D0,TPE,SGN,EVA381,64,A333,BR381,2020-07-08,19:36:38
31,1594211856,22.31,118.18,40000,222,489,8990D0,TPE,SGN,EVA381,64,A333,BR381,2020-07-08,19:37:36
135,1594211916,22.2,118.1,40000,210,490,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:38:36
37,1594211981,22.07,118.02,40000,208,491,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:39:41
122,1594212036,21.95,117.95,40000,208,494,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:40:36
13,1594212095,21.84,117.89,40000,208,493,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:41:35
3,1594212153,21.72,117.82,40000,208,493,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:42:33
17,1594212209,21.61,117.75,40000,208,494,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:43:29
74,1594212271,21.48,117.68,40000,208,491,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:44:31
124,1594212327,21.37,117.62,40000,208,492,8990D0,TPE,SGN,EVA381,64,A333,BR381,2020-07-08,19:45:27
44,1594212385,21.26,117.54,40000,218,491,8990D0,TPE,SGN,EVA381,64,A333,BR381,2020-07-08,19:46:25
4,1594212441,21.17,117.45,40000,228,488,8990D0,TPE,SGN,EVA381,-64,A333,BR381,2020-07-08,19:47:21
32,1594212513,21.08,117.3,40000,241,487,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:48:33
29,1594212573,21.02,117.17,40000,243,486,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:49:33
99,1594212613,20.98,117.09,40000,244,484,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:50:13
62,1594212684,20.91,116.93,40000,243,485,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:51:24
164,1594212727,20.86,116.84,40000,243,487,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:52:07
26,1594212812,20.79,116.68,40000,243,487,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:53:32
70,1594212872,20.74,116.58,40000,243,487,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:54:32
130,1594212938,20.65,116.38,40000,243,499,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:55:38
0,1594212998,20.59,116.25,40000,243,500,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:56:38
112,1594213059,20.53,116.11,40000,243,502,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:57:39
61,1594213124,20.46,115.97,40000,243,503,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:58:44
40,1594213180,20.4,115.85,40000,243,502,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,19:59:40
16,1594213250,20.33,115.69,40000,243,499,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,20:00:50
157,1594213299,20.28,115.58,40000,243,497,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,20:01:39
80,1594213359,20.22,115.45,40000,243,496,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,20:02:39
89,1594213424,20.16,115.33,40000,243,496,8990D0,TPE,SGN,EVA381,0,A333,BR381,2020-07-08,20:03:44
