timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1594359390,2.64,101.77,2625,145,265,4BB154,KUL,SGN,THY6470,960,B77L,TK6470,2020-07-10,12:36:30
1594359457,2.58,101.82,4725,109,271,4BB154,KUL,SGN,THY6470,2368,B77L,TK6470,2020-07-10,12:37:37
1594359519,2.55,101.9,7125,109,290,4BB154,KUL,SGN,THY6470,2240,B77L,TK6470,2020-07-10,12:38:39
1594359577,2.53,101.98,9225,108,312,4BB154,KUL,SGN,THY6470,2304,B77L,TK6470,2020-07-10,12:39:37
1594359632,2.5,102.05,11550,108,321,4BB154,KUL,SGN,THY6470,3008,B77L,TK6470,2020-07-10,12:40:32
1594359690,2.49,102.14,14700,63,334,4BB154,KUL,SGN,THY6470,3136,B77L,TK6470,2020-07-10,12:41:30
1594359752,2.58,102.18,16675,351,375,4BB154,KUL,SGN,THY6470,1472,B77L,TK6470,2020-07-10,12:42:32
1594359812,2.69,102.16,18050,350,429,4BB154,KUL,SGN,THY6470,1920,B77L,TK6470,2020-07-10,12:43:32
1594359877,2.82,102.14,20775,351,446,4BB154,KUL,SGN,THY6470,2304,B77L,TK6470,2020-07-10,12:44:37
1594359938,2.95,102.12,22800,351,468,4BB154,KUL,SGN,THY6470,2112,B77L,TK6470,2020-07-10,12:45:38
1594359991,3.06,102.11,24725,9,477,4BB154,KUL,SGN,THY6470,2176,B77L,TK6470,2020-07-10,12:46:31
1594360047,3.18,102.16,26550,23,488,4BB154,KUL,SGN,THY6470,1856,B77L,TK6470,2020-07-10,12:47:27
1594360105,3.3,102.21,28325,23,498,4BB154,KUL,SGN,THY6470,1856,B77L,TK6470,2020-07-10,12:48:25
1594360167,3.44,102.26,30050,20,509,4BB154,KUL,SGN,THY6470,2240,B77L,TK6470,2020-07-10,12:49:27
1594360227,3.57,102.31,32700,20,493,4BB154,KUL,SGN,THY6470,2048,B77L,TK6470,2020-07-10,12:50:27
1594360286,3.7,102.36,34200,20,491,4BB154,KUL,SGN,THY6470,1088,B77L,TK6470,2020-07-10,12:51:26
1594360341,3.81,102.4,35025,20,481,4BB154,KUL,SGN,THY6470,192,B77L,TK6470,2020-07-10,12:52:21
1594360402,3.94,102.45,35000,20,479,4BB154,KUL,SGN,THY6470,0,B77L,TK6470,2020-07-10,12:53:22
1594360460,4.06,102.49,35000,20,479,4BB154,KUL,SGN,THY6470,0,B77L,TK6470,2020-07-10,12:54:20
1594360519,4.18,102.54,35000,20,480,4BB154,KUL,SGN,THY6470,0,B77L,TK6470,2020-07-10,12:55:19
1594360575,4.3,102.58,35000,20,481,4BB154,KUL,SGN,THY6470,0,B77L,TK6470,2020-07-10,12:56:15
1594360635,4.43,102.63,35000,20,481,4BB154,KUL,SGN,THY6470,0,B77L,TK6470,2020-07-10,12:57:15
1594360697,4.56,102.68,35000,20,480,4BB154,KUL,SGN,THY6470,0,B77L,TK6470,2020-07-10,12:58:17
1594360755,4.68,102.73,35000,20,479,4BB154,KUL,SGN,THY6470,0,B77L,TK6470,2020-07-10,12:59:15
1594360812,4.8,102.77,35000,20,478,4BB154,KUL,SGN,THY6470,0,B77L,TK6470,2020-07-10,13:00:12
1594360873,4.92,102.82,35000,20,478,4BB154,KUL,SGN,THY6470,0,B77L,TK6470,2020-07-10,13:01:13
1594360931,5.04,102.87,35000,20,479,4BB154,KUL,SGN,THY6470,0,B77L,TK6470,2020-07-10,13:02:11
1594360992,5.17,102.91,35000,20,482,4BB154,KUL,SGN,THY6470,0,B77L,TK6470,2020-07-10,13:03:12
1594361061,5.31,102.97,35000,20,482,4BB154,KUL,SGN,THY6470,0,B77L,TK6470,2020-07-10,13:04:21
1594361119,5.43,103.01,35000,20,483,4BB154,KUL,SGN,THY6470,0,B77L,TK6470,2020-07-10,13:05:19
1594361176,5.55,103.06,35000,20,483,4BB154,KUL,SGN,THY6470,0,B77L,TK6470,2020-07-10,13:06:16
1594361238,5.69,103.11,35000,20,483,4BB154,KUL,SGN,THY6470,0,B77L,TK6470,2020-07-10,13:07:18
1594361298,5.81,103.16,35000,20,482,4BB154,KUL,SGN,THY6470,0,B77L,TK6470,2020-07-10,13:08:18
1594361353,5.93,103.2,35000,20,481,4BB154,KUL,SGN,THY6470,0,B77L,TK6470,2020-07-10,13:09:13
1594361418,6.06,103.25,35000,20,478,4BB154,KUL,SGN,THY6470,0,B77L,TK6470,2020-07-10,13:10:18
1594361477,6.18,103.3,35000,20,475,4BB154,KUL,SGN,THY6470,0,B77L,TK6470,2020-07-10,13:11:17
