timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1594523182,10.17,104.0,0,112,9,888149,PQC,SGN,PIC302,0,A320,BL302,2020-07-12,10:06:22
1594523225,10.17,104.0,0,180,0,888149,PQC,SGN,PIC302,0,A320,BL302,2020-07-12,10:07:05
1594523306,10.17,104.0,0,89,0,888149,PQC,SGN,PIC302,0,A320,BL302,2020-07-12,10:08:26
1594523367,10.17,104.0,0,95,17,888149,PQC,SGN,PIC302,0,A320,BL302,2020-07-12,10:09:27
1594523434,10.16,104.0,0,95,29,888149,PQC,SGN,PIC302,0,A320,BL302,2020-07-12,10:10:34
1594523498,10.17,104.0,0,73,22,888149,PQC,SGN,PIC302,0,A320,BL302,2020-07-12,10:11:38
1594523555,10.17,104.01,0,95,33,888149,PQC,SGN,PIC302,0,A320,BL302,2020-07-12,10:12:35
1594523609,10.17,104.01,0,16,0,888149,PQC,SGN,PIC302,0,A320,BL302,2020-07-12,10:13:29
1594523657,10.17,104.01,0,180,0,888149,PQC,SGN,PIC302,0,A320,BL302,2020-07-12,10:14:17
1594523727,10.17,104.01,0,180,0,888149,PQC,SGN,PIC302,0,A320,BL302,2020-07-12,10:15:27
1594523792,10.17,104.01,0,271,0,888149,PQC,SGN,PIC302,0,A320,BL302,2020-07-12,10:16:32
1594523846,10.17,104.01,0,331,22,888149,PQC,SGN,PIC302,0,A320,BL302,2020-07-12,10:17:26
1594523962,10.17,103.97,1500,275,157,888149,PQC,SGN,PIC302,704,A320,BL302,2020-07-12,10:19:22
1594524023,10.18,103.91,3275,274,228,888149,PQC,SGN,PIC302,3584,A320,BL302,2020-07-12,10:20:23
1594524080,10.13,103.87,6250,183,244,888149,PQC,SGN,PIC302,3264,A320,BL302,2020-07-12,10:21:20
1594524140,10.07,103.89,9125,126,258,888149,PQC,SGN,PIC302,1472,A320,BL302,2020-07-12,10:22:20
1594524200,10.03,103.96,10800,124,320,888149,PQC,SGN,PIC302,1024,A320,BL302,2020-07-12,10:23:20
1594524261,9.97,104.04,12225,123,373,888149,PQC,SGN,PIC302,2176,A320,BL302,2020-07-12,10:24:21
1594524321,9.91,104.13,14525,123,386,888149,PQC,SGN,PIC302,1920,A320,BL302,2020-07-12,10:25:21
1594524378,9.85,104.22,16400,124,401,888149,PQC,SGN,PIC302,1984,A320,BL302,2020-07-12,10:26:18
1594524442,9.78,104.32,18300,124,415,888149,PQC,SGN,PIC302,1600,A320,BL302,2020-07-12,10:27:22
1594524504,9.74,104.43,20075,87,427,888149,PQC,SGN,PIC302,1536,A320,BL302,2020-07-12,10:28:24
1594524571,9.78,104.56,21875,74,436,888149,PQC,SGN,PIC302,1216,A320,BL302,2020-07-12,10:29:31
1594524626,9.81,104.67,23150,74,442,888149,PQC,SGN,PIC302,1216,A320,BL302,2020-07-12,10:30:26
1594524688,9.84,104.8,24650,73,441,888149,PQC,SGN,PIC302,1472,A320,BL302,2020-07-12,10:31:28
1594524753,9.88,104.92,25000,73,438,888149,PQC,SGN,PIC302,0,A320,BL302,2020-07-12,10:32:33
1594524818,9.92,105.05,25000,73,431,888149,PQC,SGN,PIC302,0,A320,BL302,2020-07-12,10:33:38
1594524876,9.95,105.16,25000,73,432,888149,PQC,SGN,PIC302,0,A320,BL302,2020-07-12,10:34:36
1594524936,9.99,105.28,25000,73,432,888149,PQC,SGN,PIC302,0,A320,BL302,2020-07-12,10:35:36
1594524999,10.02,105.4,25000,73,432,888149,PQC,SGN,PIC302,0,A320,BL302,2020-07-12,10:36:39
1594525057,10.05,105.52,25000,73,432,888149,PQC,SGN,PIC302,0,A320,BL302,2020-07-12,10:37:37
1594525119,10.09,105.64,25000,73,433,888149,PQC,SGN,PIC302,0,A320,BL302,2020-07-12,10:38:39
1594525180,10.12,105.75,24725,73,429,888149,PQC,SGN,PIC302,-896,A320,BL302,2020-07-12,10:39:40
1594525240,10.16,105.87,23800,73,429,888149,PQC,SGN,PIC302,-960,A320,BL302,2020-07-12,10:40:40
1594525299,10.19,105.98,22850,73,427,888149,PQC,SGN,PIC302,-1024,A320,BL302,2020-07-12,10:41:39
1594525358,10.22,106.1,21900,73,422,888149,PQC,SGN,PIC302,-1024,A320,BL302,2020-07-12,10:42:38
1594525422,10.26,106.22,20825,73,419,888149,PQC,SGN,PIC302,-1024,A320,BL302,2020-07-12,10:43:42
1594525483,10.3,106.33,17925,71,430,888149,PQC,SGN,PIC302,-2944,A320,BL302,2020-07-12,10:44:43
1594525539,10.34,106.44,15050,70,420,888149,PQC,SGN,PIC302,-1920,A320,BL302,2020-07-12,10:45:39
1594525597,10.39,106.54,12900,56,387,888149,PQC,SGN,PIC302,-1856,A320,BL302,2020-07-12,10:46:37
1594525655,10.44,106.62,11300,56,359,888149,PQC,SGN,PIC302,-960,A320,BL302,2020-07-12,10:47:35
1594525720,10.5,106.71,10575,56,304,888149,PQC,SGN,PIC302,-704,A320,BL302,2020-07-12,10:48:40
1594525777,10.54,106.77,9625,56,294,888149,PQC,SGN,PIC302,-1024,A320,BL302,2020-07-12,10:49:37
1594525836,10.58,106.84,8425,56,286,888149,PQC,SGN,PIC302,-1280,A320,BL302,2020-07-12,10:50:36
1594525896,10.63,106.9,7325,18,277,888149,PQC,SGN,PIC302,-640,A320,BL302,2020-07-12,10:51:36
1594525948,10.7,106.9,6350,359,269,888149,PQC,SGN,PIC302,-512,A320,BL302,2020-07-12,10:52:28
1594526022,10.78,106.9,5600,1,233,888149,PQC,SGN,PIC302,-1024,A320,BL302,2020-07-12,10:53:42
1594526082,10.85,106.9,4450,355,224,888149,PQC,SGN,PIC302,-1344,A320,BL302,2020-07-12,10:54:42
1594526145,10.87,106.85,3550,268,205,888149,PQC,SGN,PIC302,-576,A320,BL302,2020-07-12,10:55:45
1594526201,10.87,106.8,2775,257,187,888149,PQC,SGN,PIC302,-1024,A320,BL302,2020-07-12,10:56:41
1594526257,10.86,106.76,1975,248,162,888149,PQC,SGN,PIC302,-512,A320,BL302,2020-07-12,10:57:37
