timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1594596399,25.02,121.17,3075,244,234,8990.0,TPE,SGN,EVA395,3328,B77W,BR395,2020-07-13,06:26:39
1594596460,24.99,121.1,6325,244,271,8990.0,TPE,SGN,EVA395,2560,B77W,BR395,2020-07-13,06:27:40
1594596522,24.95,121.01,9150,243,318,8990.0,TPE,SGN,EVA395,1472,B77W,BR395,2020-07-13,06:28:42
1594596578,24.92,120.92,10900,244,380,8990.0,TPE,SGN,EVA395,2944,B77W,BR395,2020-07-13,06:29:38
1594596638,24.87,120.82,13925,244,399,8990.0,TPE,SGN,EVA395,2944,B77W,BR395,2020-07-13,06:30:38
1594596695,24.82,120.71,16650,244,415,8990.0,TPE,SGN,EVA395,2560,B77W,BR395,2020-07-13,06:31:35
1594596761,24.76,120.58,19275,243,439,8990.0,TPE,SGN,EVA395,2368,B77W,BR395,2020-07-13,06:32:41
1594596822,24.69,120.47,21725,215,450,8990.0,TPE,SGN,EVA395,2176,B77W,BR395,2020-07-13,06:33:42
1594596880,24.58,120.4,23600,214,471,8990.0,TPE,SGN,EVA395,2112,B77W,BR395,2020-07-13,06:34:40
1594596943,24.47,120.31,25625,214,489,8990.0,TPE,SGN,EVA395,1984,B77W,BR395,2020-07-13,06:35:43
1594597005,24.35,120.22,27425,215,506,8990.0,TPE,SGN,EVA395,1728,B77W,BR395,2020-07-13,06:36:45
1594597064,24.24,120.13,29050,215,519,8990.0,TPE,SGN,EVA395,1600,B77W,BR395,2020-07-13,06:37:44
1594597124,24.12,120.04,30525,215,533,8990.0,TPE,SGN,EVA395,1344,B77W,BR395,2020-07-13,06:38:44
1594597184,24.0,119.94,32600,215,529,8990.0,TPE,SGN,EVA395,2304,B77W,BR395,2020-07-13,06:39:44
1594597244,23.88,119.85,34725,215,520,8990.0,TPE,SGN,EVA395,1920,B77W,BR395,2020-07-13,06:40:44
1594597307,23.76,119.76,36700,215,512,8990.0,TPE,SGN,EVA395,1984,B77W,BR395,2020-07-13,06:41:47
1594597364,23.65,119.68,38025,215,506,8990.0,TPE,SGN,EVA395,128,B77W,BR395,2020-07-13,06:42:44
1594597431,23.53,119.56,38000,226,512,8990.0,TPE,SGN,EVA395,64,B77W,BR395,2020-07-13,06:43:51
1594597492,23.43,119.45,38000,226,512,8990.0,TPE,SGN,EVA395,0,B77W,BR395,2020-07-13,06:44:52
1594597546,23.34,119.34,38000,226,512,8990.0,TPE,SGN,EVA395,0,B77W,BR395,2020-07-13,06:45:46
1594597611,23.23,119.22,38000,226,512,8990.0,TPE,SGN,EVA395,0,B77W,BR395,2020-07-13,06:46:51
1594597671,23.13,119.11,38000,226,512,8990.0,TPE,SGN,EVA395,0,B77W,BR395,2020-07-13,06:47:51
1594597730,23.04,119.0,38000,226,509,8990.0,TPE,SGN,EVA395,0,B77W,BR395,2020-07-13,06:48:50
1594597788,22.94,118.9,38000,226,508,8990.0,TPE,SGN,EVA395,0,B77W,BR395,2020-07-13,06:49:48
1594597845,22.85,118.79,38000,226,509,8990.0,TPE,SGN,EVA395,0,B77W,BR395,2020-07-13,06:50:45
1594597907,22.75,118.68,38000,226,509,8990.0,TPE,SGN,EVA395,0,B77W,BR395,2020-07-13,06:51:47
1594597971,22.64,118.56,38000,226,510,8990.0,TPE,SGN,EVA395,0,B77W,BR395,2020-07-13,06:52:51
