timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1594682776,25.08,121.23,0,56,2,899013,TPE,SGN,CAL781,0,A359,CI781,2020-07-14,06:26:16
1594682804,25.08,121.23,0,180,0,899013,TPE,SGN,CAL781,0,A359,CI781,2020-07-14,06:26:44
1594682865,25.08,121.23,0,180,0,899013,TPE,SGN,CAL781,0,A359,CI781,2020-07-14,06:27:45
1594683065,25.08,121.23,0,345,21,899013,TPE,SGN,CAL781,0,A359,CI781,2020-07-14,06:31:05
1594683129,25.08,121.23,0,227,24,899013,TPE,SGN,CAL781,0,A359,CI781,2020-07-14,06:32:09
1594683186,25.08,121.23,0,227,20,899013,TPE,SGN,CAL781,0,A359,CI781,2020-07-14,06:33:06
1594683250,25.08,121.23,0,230,20,899013,TPE,SGN,CAL781,0,A359,CI781,2020-07-14,06:34:10
1594683258,25.08,121.23,0,230,25,899013,TPE,SGN,CAL781,0,A359,CI781,2020-07-14,06:34:18
1594683470,25.07,121.22,0,137,29,899013,TPE,SGN,CAL781,0,A359,CI781,2020-07-14,06:37:50
1594683553,25.07,121.23,0,132,23,899013,TPE,SGN,CAL781,0,A359,CI781,2020-07-14,06:39:13
1594683625,25.07,121.23,0,50,18,899013,TPE,SGN,CAL781,0,A359,CI781,2020-07-14,06:40:25
1594683679,25.07,121.23,0,47,18,899013,TPE,SGN,CAL781,0,A359,CI781,2020-07-14,06:41:19
1594683700,25.07,121.24,0,47,17,899013,TPE,SGN,CAL781,0,A359,CI781,2020-07-14,06:41:40
1594683791,25.08,121.24,0,47,16,899013,TPE,SGN,CAL781,0,A359,CI781,2020-07-14,06:43:11
1594683840,25.08,121.25,0,47,22,899013,TPE,SGN,CAL781,0,A359,CI781,2020-07-14,06:44:00
1594683968,25.08,121.25,0,227,82,899013,TPE,SGN,CAL781,0,A359,CI781,2020-07-14,06:46:08
1594684038,25.05,121.21,1650,229,179,899013,TPE,SGN,CAL781,576,A359,CI781,2020-07-14,06:47:18
1594684099,25.01,121.15,3175,244,250,899013,TPE,SGN,CAL781,832,A359,CI781,2020-07-14,06:48:19
1594684158,24.98,121.08,5450,244,282,899013,TPE,SGN,CAL781,2240,A359,CI781,2020-07-14,06:49:18
1594684220,24.95,121.0,7875,244,298,899013,TPE,SGN,CAL781,2368,A359,CI781,2020-07-14,06:50:20
1594684282,24.91,120.91,10400,244,309,899013,TPE,SGN,CAL781,1664,A359,CI781,2020-07-14,06:51:22
1594684345,24.86,120.81,11350,244,369,899013,TPE,SGN,CAL781,768,A359,CI781,2020-07-14,06:52:25
1594684396,24.82,120.72,12950,244,380,899013,TPE,SGN,CAL781,2240,A359,CI781,2020-07-14,06:53:16
1594684457,24.78,120.61,14775,244,393,899013,TPE,SGN,CAL781,1536,A359,CI781,2020-07-14,06:54:17
1594684517,24.73,120.51,16375,228,403,899013,TPE,SGN,CAL781,1536,A359,CI781,2020-07-14,06:55:17
1594684570,24.64,120.44,17800,215,409,899013,TPE,SGN,CAL781,1728,A359,CI781,2020-07-14,06:56:10
1594684636,24.54,120.36,19650,214,413,899013,TPE,SGN,CAL781,1280,A359,CI781,2020-07-14,06:57:16
1594684691,24.45,120.3,20800,214,421,899013,TPE,SGN,CAL781,1664,A359,CI781,2020-07-14,06:58:11
