timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1595293755,21.22,105.8,0,295,13,888170,HAN,SGN,HVN243,0,A21N,VN243,2020-07-21,08:09:15
1595293810,21.22,105.8,0,357,32,888170,HAN,SGN,HVN243,0,A21N,VN243,2020-07-21,08:10:10
1595293865,21.22,105.8,0,286,20,888170,HAN,SGN,HVN243,0,A21N,VN243,2020-07-21,08:11:05
1595293930,21.22,105.79,0,286,2,888170,HAN,SGN,HVN243,0,A21N,VN243,2020-07-21,08:12:10
1595293991,21.22,105.79,0,8,13,888170,HAN,SGN,HVN243,0,A21N,VN243,2020-07-21,08:13:11
1595294049,21.22,105.79,0,16,0,888170,HAN,SGN,HVN243,0,A21N,VN243,2020-07-21,08:14:09
1595294108,21.22,105.79,0,11,0,888170,HAN,SGN,HVN243,0,A21N,VN243,2020-07-21,08:15:08
1595294161,21.22,105.79,0,39,10,888170,HAN,SGN,HVN243,0,A21N,VN243,2020-07-21,08:16:01
1595294213,21.22,105.79,0,104,0,888170,HAN,SGN,HVN243,0,A21N,VN243,2020-07-21,08:16:53
1595294240,21.22,105.79,0,180,0,888170,HAN,SGN,HVN243,0,A21N,VN243,2020-07-21,08:17:20
1595294331,21.22,105.81,175,106,151,888170,HAN,SGN,HVN243,128,A21N,VN243,2020-07-21,08:18:51
1595294392,21.23,105.86,1875,54,210,888170,HAN,SGN,HVN243,832,A21N,VN243,2020-07-21,08:19:52
1595294454,21.27,105.92,4250,53,256,888170,HAN,SGN,HVN243,2752,A21N,VN243,2020-07-21,08:20:54
1595294522,21.27,106.0,6650,136,260,888170,HAN,SGN,HVN243,2048,A21N,VN243,2020-07-21,08:22:02
1595294574,21.22,106.03,8525,150,280,888170,HAN,SGN,HVN243,2368,A21N,VN243,2020-07-21,08:22:54
1595294632,21.15,106.07,10950,145,284,888170,HAN,SGN,HVN243,2368,A21N,VN243,2020-07-21,08:23:52
1595294697,21.08,106.12,13050,150,301,888170,HAN,SGN,HVN243,1024,A21N,VN243,2020-07-21,08:24:57
1595294739,21.02,106.15,13700,152,337,888170,HAN,SGN,HVN243,1024,A21N,VN243,2020-07-21,08:25:39
1595294811,20.91,106.2,14700,164,394,888170,HAN,SGN,HVN243,1216,A21N,VN243,2020-07-21,08:26:51
1595294869,20.8,106.23,16325,163,406,888170,HAN,SGN,HVN243,1728,A21N,VN243,2020-07-21,08:27:49
1595294930,20.69,106.26,17800,164,419,888170,HAN,SGN,HVN243,1216,A21N,VN243,2020-07-21,08:28:50
1595294991,20.57,106.3,19300,164,425,888170,HAN,SGN,HVN243,1216,A21N,VN243,2020-07-21,08:29:51
1595295051,20.46,106.33,20400,164,440,888170,HAN,SGN,HVN243,1152,A21N,VN243,2020-07-21,08:30:51
1595295116,20.33,106.37,21675,164,446,888170,HAN,SGN,HVN243,832,A21N,VN243,2020-07-21,08:31:56
1595295182,20.19,106.41,22750,164,456,888170,HAN,SGN,HVN243,448,A21N,VN243,2020-07-21,08:33:02
1595295242,20.08,106.42,22875,178,459,888170,HAN,SGN,HVN243,0,A21N,VN243,2020-07-21,08:34:02
