timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1595504456,10.08,105.7,1400,237,87,888076,VCA,SGN,VFC8084,1408,AT75,0V8084,2020-07-23,18:40:56
1595504516,10.06,105.66,2275,250,18,888076,VCA,SGN,VFC8084,1152,AT75,0V8084,2020-07-23,18:41:56
1595504571,10.03,105.62,3275,250,18,888076,VCA,SGN,VFC8084,640,AT75,0V8084,2020-07-23,18:42:51
1595504608,10.01,105.64,3775,250,18,888076,VCA,SGN,VFC8084,832,AT75,0V8084,2020-07-23,18:43:28
1595504679,10.05,105.69,5100,250,18,888076,VCA,SGN,VFC8084,1088,AT75,0V8084,2020-07-23,18:44:39
1595504743,10.08,105.74,6400,250,18,888076,VCA,SGN,VFC8084,1152,AT75,0V8084,2020-07-23,18:45:43
1595504795,10.12,105.75,7050,250,18,888076,VCA,SGN,VFC8084,704,AT75,0V8084,2020-07-23,18:46:35
1595504854,10.17,105.77,7950,250,18,888076,VCA,SGN,VFC8084,704,AT75,0V8084,2020-07-23,18:47:34
1595504899,10.21,105.79,8675,250,18,888076,VCA,SGN,VFC8084,960,AT75,0V8084,2020-07-23,18:48:19
1595504963,10.27,105.81,9550,250,18,888076,VCA,SGN,VFC8084,640,AT75,0V8084,2020-07-23,18:49:23
1595505034,10.33,105.84,10325,250,18,888076,VCA,SGN,VFC8084,512,AT75,0V8084,2020-07-23,18:50:34
1595505089,10.37,105.86,10850,250,18,888076,VCA,SGN,VFC8084,512,AT75,0V8084,2020-07-23,18:51:29
1595505153,10.43,105.89,11150,250,18,888076,VCA,SGN,VFC8084,64,AT75,0V8084,2020-07-23,18:52:33
1595505212,10.44,105.95,11150,89,107,888076,VCA,SGN,VFC8084,-128,AT75,0V8084,2020-07-23,18:53:32
1595505284,10.42,106.02,11150,250,18,888076,VCA,SGN,VFC8084,-64,AT75,0V8084,2020-07-23,18:54:44
1595505338,10.41,106.07,10875,103,213,888076,VCA,SGN,VFC8084,-1472,AT75,0V8084,2020-07-23,18:55:38
1595505395,10.4,106.13,9425,89,69,888076,VCA,SGN,VFC8084,-1536,AT75,0V8084,2020-07-23,18:56:35
1595505457,10.39,106.19,7900,250,18,888076,VCA,SGN,VFC8084,-1600,AT75,0V8084,2020-07-23,18:57:37
1595505518,10.42,106.24,7150,55,199,888076,VCA,SGN,VFC8084,0,AT75,0V8084,2020-07-23,18:58:38
1595505576,10.44,106.29,6125,69,216,888076,VCA,SGN,VFC8084,-1536,AT75,0V8084,2020-07-23,18:59:36
1595505633,10.47,106.35,5125,66,274,888076,VCA,SGN,VFC8084,-128,AT75,0V8084,2020-07-23,19:00:33
1595505691,10.49,106.4,5150,89,81,888076,VCA,SGN,VFC8084,64,AT75,0V8084,2020-07-23,19:01:31
1595505751,10.49,106.46,5125,89,73,888076,VCA,SGN,VFC8084,-64,AT75,0V8084,2020-07-23,19:02:31
1595505811,10.48,106.52,5150,89,185,888076,VCA,SGN,VFC8084,0,AT75,0V8084,2020-07-23,19:03:31
1595505877,10.49,106.58,5125,63,174,888076,VCA,SGN,VFC8084,-192,AT75,0V8084,2020-07-23,19:04:37
1595505932,10.51,106.63,5150,64,247,888076,VCA,SGN,VFC8084,128,AT75,0V8084,2020-07-23,19:05:32
1595505997,10.54,106.69,5150,55,131,888076,VCA,SGN,VFC8084,192,AT75,0V8084,2020-07-23,19:06:37
1595506051,10.58,106.72,5125,41,272,888076,VCA,SGN,VFC8084,-192,AT75,0V8084,2020-07-23,19:07:31
1595506109,10.62,106.76,5125,42,200,888076,VCA,SGN,VFC8084,0,AT75,0V8084,2020-07-23,19:08:29
1595506173,10.66,106.81,5150,45,155,888076,VCA,SGN,VFC8084,448,AT75,0V8084,2020-07-23,19:09:33
