timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1595652916,16.72,107.43,22725,140,433,8880DC,VDH,SGN,VJC263,1984,A320,VJ263,2020-07-25,11:55:16
1595652982,16.62,107.52,24100,140,440,8880DC,VDH,SGN,VJC263,1152,A320,VJ263,2020-07-25,11:56:22
1595653023,16.54,107.56,24700,157,450,8880DC,VDH,SGN,VJC263,832,A320,VJ263,2020-07-25,11:57:03
1595653101,16.39,107.63,25950,157,458,8880DC,VDH,SGN,VJC263,1024,A320,VJ263,2020-07-25,11:58:21
1595653164,16.27,107.68,27025,157,461,8880DC,VDH,SGN,VJC263,960,A320,VJ263,2020-07-25,11:59:24
1595653225,16.15,107.73,27875,157,465,8880DC,VDH,SGN,VJC263,704,A320,VJ263,2020-07-25,12:00:25
1595653282,16.03,107.78,28000,157,469,8880DC,VDH,SGN,VJC263,0,A320,VJ263,2020-07-25,12:01:22
1595653346,15.9,107.83,28175,157,470,8880DC,VDH,SGN,VJC263,1024,A320,VJ263,2020-07-25,12:02:26
1595653403,15.79,107.88,29075,157,470,8880DC,VDH,SGN,VJC263,1024,A320,VJ263,2020-07-25,12:03:23
1595653462,15.67,107.93,30200,157,466,8880DC,VDH,SGN,VJC263,704,A320,VJ263,2020-07-25,12:04:22
1595653524,15.54,107.98,31300,157,463,8880DC,VDH,SGN,VJC263,1024,A320,VJ263,2020-07-25,12:05:24
1595653588,15.42,108.04,32000,158,463,8880DC,VDH,SGN,VJC263,64,A320,VJ263,2020-07-25,12:06:28
1595653645,15.3,108.09,32000,158,463,8880DC,VDH,SGN,VJC263,0,A320,VJ263,2020-07-25,12:07:25
1595653709,15.17,108.14,32000,159,464,8880DC,VDH,SGN,VJC263,-64,A320,VJ263,2020-07-25,12:08:29
1595653768,15.05,108.17,32000,170,467,8880DC,VDH,SGN,VJC263,0,A320,VJ263,2020-07-25,12:09:28
1595653834,14.91,108.17,32000,181,468,8880DC,VDH,SGN,VJC263,0,A320,VJ263,2020-07-25,12:10:34
