,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
0,1596354488,21.04,91.03,37000,124,449,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,14:48:08
53,1596354545,20.97,91.13,37000,124,451,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,14:49:05
113,1596354606,20.9,91.25,37000,124,452,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,14:50:06
41,1596354663,20.83,91.35,37000,124,454,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,14:51:03
155,1596354719,20.77,91.45,37000,124,454,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,14:51:59
162,1596354785,20.69,91.58,37000,124,451,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,14:53:05
38,1596354843,20.62,91.68,37000,124,451,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,14:54:03
111,1596354905,20.55,91.8,37000,124,451,394A02,CDG,SGN,AFR258,-64,B77W,AF258,2020-08-02,14:55:05
23,1596354953,20.49,91.89,37000,124,456,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,14:55:53
142,1596355014,20.43,91.99,37000,122,456,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,14:56:54
108,1596355074,20.37,92.08,37000,122,456,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,14:57:54
16,1596355145,20.25,92.25,37000,125,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,14:59:05
94,1596355206,20.19,92.35,37000,122,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:00:06
103,1596355266,20.13,92.45,37000,122,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:01:06
121,1596355314,20.09,92.53,37000,122,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:01:54
37,1596355374,20.03,92.63,37000,122,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:02:54
133,1596355434,19.97,92.73,37000,122,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:03:54
131,1596355494,19.9,92.85,37000,122,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:04:54
40,1596355554,19.83,92.97,37000,122,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:05:54
81,1596355614,19.76,93.09,37000,122,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:06:54
114,1596355674,19.69,93.2,37000,122,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:07:54
137,1596355734,19.62,93.32,37000,122,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:08:54
134,1596355782,19.56,93.42,37000,122,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:09:42
168,1596355842,19.5,93.54,37000,122,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:10:42
91,1596355914,19.41,93.68,37000,122,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:11:54
140,1596355962,19.36,93.77,37000,122,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:12:42
3,1596356034,19.27,93.91,37000,122,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:13:54
159,1596356094,19.2,94.03,37000,122,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:14:54
169,1596356154,19.13,94.15,37000,122,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:15:54
164,1596356214,19.06,94.27,37000,122,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:16:54
152,1596356274,18.99,94.38,37000,122,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:17:54
26,1596356334,18.92,94.5,37000,122,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:18:54
21,1596356394,18.86,94.62,37000,122,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:19:54
146,1596356454,18.78,94.74,37000,123,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:20:54
79,1596356514,18.71,94.85,37000,123,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:21:54
125,1596356574,18.64,94.97,37000,123,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:22:54
157,1596356634,18.57,95.09,37000,123,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:23:54
150,1596356694,18.5,95.2,37000,123,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:24:54
96,1596356768,18.18,95.32,37000,126,468,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:26:08
54,1596356833,18.1,95.43,37000,126,469,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:27:13
5,1596356894,18.02,95.55,37000,126,471,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:28:14
7,1596356946,17.95,95.64,37000,126,472,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:29:06
36,1596357009,17.87,95.76,37000,126,472,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:30:09
149,1596357070,17.79,95.87,37000,126,470,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:31:10
110,1596357133,17.7,95.98,37000,126,472,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:32:13
11,1596357189,17.63,96.09,37000,126,472,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:33:09
104,1596357251,17.55,96.2,37000,126,472,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:34:11
106,1596357313,17.47,96.31,37000,126,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:35:13
80,1596357376,17.39,96.44,37000,109,475,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:36:16
20,1596357438,17.36,96.57,37000,103,472,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:37:18
25,1596357499,17.33,96.71,37000,103,471,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:38:19
167,1596357560,17.3,96.84,37000,103,468,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:39:20
127,1596357626,17.27,96.99,37000,103,462,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:40:26
4,1596357685,17.24,97.12,37000,103,463,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:41:25
156,1596357748,17.2,97.25,37000,113,461,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:42:28
70,1596357809,17.14,97.37,37000,122,463,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:43:29
29,1596357866,17.06,97.47,37000,128,469,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:44:26
160,1596357930,16.97,97.58,37000,135,475,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:45:30
138,1596357990,16.87,97.67,37000,138,475,394A02,CDG,SGN,AFR258,64,B77W,AF258,2020-08-02,15:46:30
2,1596358048,16.78,97.76,37000,138,474,394A02,CDG,SGN,AFR258,64,B77W,AF258,2020-08-02,15:47:28
48,1596358106,16.68,97.85,37000,142,479,394A02,CDG,SGN,AFR258,64,B77W,AF258,2020-08-02,15:48:26
69,1596358165,16.57,97.93,37000,143,481,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:49:25
31,1596358221,16.46,98.0,37000,150,484,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:50:21
12,1596358286,16.34,98.07,37000,150,483,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:51:26
93,1596358349,16.22,98.14,37000,149,482,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:52:29
46,1596358410,16.1,98.22,37000,149,486,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:53:30
39,1596358470,15.98,98.29,37000,149,488,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:54:30
154,1596358530,15.86,98.36,37000,149,488,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:55:30
14,1596358590,15.75,98.43,37000,149,486,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:56:30
44,1596358656,15.62,98.51,37000,149,485,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:57:36
78,1596358714,15.51,98.58,37000,149,486,394A02,CDG,SGN,AFR258,64,B77W,AF258,2020-08-02,15:58:34
33,1596358775,15.41,98.67,37000,129,482,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,15:59:35
126,1596358837,15.32,98.78,37000,129,483,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:00:37
83,1596358902,15.23,98.9,37000,123,481,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:01:42
66,1596358966,15.14,99.02,37000,128,484,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:02:46
107,1596359027,15.06,99.13,37000,128,484,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:03:47
77,1596359089,14.97,99.24,37000,129,486,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:04:49
151,1596359147,14.89,99.35,37000,129,488,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:05:47
90,1596359210,14.8,99.46,37000,129,489,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:06:50
72,1596359273,14.71,99.58,37000,129,491,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:07:53
50,1596359332,14.62,99.68,37000,129,492,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:08:52
58,1596359397,14.53,99.8,37000,129,491,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:09:57
60,1596359454,14.45,99.9,37000,129,491,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:10:54
67,1596359514,14.36,100.01,37000,129,487,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:11:54
105,1596359575,14.27,100.12,37000,129,486,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:12:55
24,1596359636,14.18,100.23,37000,129,488,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:13:56
76,1596359697,14.1,100.34,37000,129,488,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:14:57
49,1596359751,14.02,100.44,37000,129,487,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:15:51
144,1596359818,13.92,100.56,37000,129,488,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:16:58
73,1596359875,13.86,100.67,37000,116,483,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:17:55
165,1596359936,13.8,100.8,37000,116,484,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:18:56
17,1596359995,13.73,100.92,37000,116,484,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:19:55
88,1596360052,13.68,101.03,37000,116,485,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:20:52
59,1596360112,13.62,101.16,37000,116,486,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:21:52
19,1596360173,13.55,101.28,37000,116,486,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:22:53
45,1596360235,13.49,101.41,37000,116,485,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:23:55
139,1596360300,13.42,101.54,37000,116,487,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:25:00
117,1596360356,13.37,101.66,37000,116,487,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:25:56
102,1596360418,13.3,101.79,37000,116,487,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:26:58
18,1596360479,13.24,101.91,37000,116,487,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:27:59
86,1596360539,13.18,102.04,37000,116,487,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:28:59
28,1596360604,13.12,102.17,37000,116,487,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:30:04
6,1596360664,13.06,102.3,37000,116,487,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:31:04
65,1596360718,13.0,102.41,37000,116,487,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:31:58
124,1596360780,12.94,102.53,37000,117,488,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:33:00
161,1596360834,12.88,102.65,37000,117,488,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:33:54
141,1596360892,12.82,102.76,37000,117,488,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:34:52
13,1596360959,12.75,102.9,37000,117,485,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:35:59
71,1596361019,12.69,103.02,37000,117,485,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:36:59
47,1596361080,12.62,103.15,37000,117,484,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:38:00
97,1596361139,12.56,103.26,37000,117,482,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:38:59
74,1596361200,12.52,103.39,37000,103,476,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:40:00
43,1596361265,12.48,103.54,37000,103,474,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:41:05
63,1596361320,12.45,103.65,37000,104,473,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:42:00
118,1596361377,12.42,103.78,37000,106,472,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:42:57
15,1596361440,12.37,103.91,37000,112,478,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:44:00
87,1596361504,12.32,104.04,37000,112,479,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:45:04
42,1596361564,12.27,104.17,37000,113,480,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:46:04
123,1596361626,12.2,104.29,37000,119,482,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:47:06
34,1596361682,12.14,104.4,37000,118,482,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:48:02
1,1596361746,12.07,104.53,37000,119,480,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:49:06
89,1596361801,12.01,104.64,37000,119,480,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:50:01
132,1596361856,11.95,104.75,37000,122,479,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:50:56
136,1596361922,11.85,104.87,37000,129,478,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:52:02
22,1596361982,11.77,104.97,37000,125,479,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:53:02
129,1596362041,11.7,105.08,37000,122,476,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:54:01
153,1596362104,11.63,105.2,37000,122,475,394A02,CDG,SGN,AFR258,0,B77W,AF258,2020-08-02,16:55:04
143,1596362168,11.55,105.32,37000,122,475,394A02,CDG,SGN,AFR258,-192,B77W,AF258,2020-08-02,16:56:08
