timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1596378410,28.43,117.9,38100,227,486,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:26:50
1596378478,28.34,117.73,38100,235,486,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:27:58
1596378534,28.27,117.62,38100,236,486,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:28:54
1596378597,28.17,117.49,38100,226,483,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:29:57
1596378655,28.08,117.39,38100,226,483,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:30:55
1596378718,27.98,117.27,38100,226,487,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:31:58
1596378780,27.88,117.16,38100,225,492,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:33:00
1596378841,27.79,117.04,38100,225,493,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:34:01
1596378900,27.69,116.93,38100,225,495,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:35:00
1596378966,27.59,116.81,38100,225,496,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:36:06
1596379020,27.5,116.71,38100,226,497,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:37:00
1596379071,27.42,116.62,38100,226,498,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:37:51
1596379131,27.33,116.51,38100,226,498,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:38:51
1596379191,27.23,116.39,38100,227,500,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:39:51
1596379252,27.14,116.28,38100,227,501,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:40:52
1596379314,27.04,116.16,38100,227,500,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:41:54
1596379378,26.94,116.04,38100,227,500,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:42:58
1596379441,26.84,115.92,38100,227,498,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:44:01
1596379491,26.76,115.82,38100,227,498,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:44:51
1596379561,26.65,115.69,38100,227,495,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:46:01
1596379618,26.57,115.59,38100,227,496,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:46:58
1596379670,26.48,115.49,38100,227,494,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:47:50
1596379728,26.39,115.38,38100,227,492,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:48:48
1596379810,26.26,115.23,38100,227,484,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:50:10
1596379874,26.17,115.12,38100,227,489,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:51:14
1596379930,26.09,115.02,38100,227,486,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:52:10
1596379990,26.01,114.93,38100,227,486,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:53:10
1596380050,25.89,114.8,38100,219,478,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:54:10
1596380110,25.8,114.73,38100,214,478,780B45,PVG,SGN,CCA609,64,A332,CA609,2020-08-02,21:55:10
1596380174,25.66,114.67,38100,201,478,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:56:14
1596380234,25.56,114.63,38100,201,478,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:57:14
1596380296,25.4,114.55,38100,202,479,780B45,PVG,SGN,CCA609,64,A332,CA609,2020-08-02,21:58:16
1596380362,25.26,114.49,38100,202,477,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,21:59:22
1596380420,25.14,114.44,38100,198,476,780B45,PVG,SGN,CCA609,-64,A332,CA609,2020-08-02,22:00:20
1596380481,25.02,114.4,38100,197,471,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:01:21
1596380538,24.9,114.35,38100,198,468,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:02:18
1596380597,24.78,114.31,38100,198,469,780B45,PVG,SGN,CCA609,-64,A332,CA609,2020-08-02,22:03:17
1596380666,24.63,114.26,38100,198,474,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:04:26
1596380727,24.51,114.21,38100,198,476,780B45,PVG,SGN,CCA609,64,A332,CA609,2020-08-02,22:05:27
1596380787,24.38,114.17,38100,198,475,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:06:27
1596380843,24.26,114.12,38100,198,472,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:07:23
1596380904,24.14,114.08,38100,198,471,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:08:24
1596380965,24.01,114.03,38100,198,470,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:09:25
1596381029,23.88,113.99,38100,198,470,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:10:29
1596381095,23.74,113.94,38100,198,471,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:11:35
1596381150,23.62,113.9,38100,198,472,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:12:30
1596381216,23.49,113.85,38100,197,472,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:13:36
1596381270,23.37,113.82,38100,194,473,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:14:30
1596381332,23.24,113.78,38100,195,475,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:15:32
1596381388,23.12,113.74,38100,195,475,780B45,PVG,SGN,CCA609,64,A332,CA609,2020-08-02,22:16:28
1596381452,22.99,113.7,38100,195,474,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:17:32
1596381512,22.86,113.66,38125,195,461,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:18:32
1596381574,22.73,113.62,38100,195,459,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:19:34
1596381636,22.6,113.61,38100,171,463,780B45,PVG,SGN,CCA609,-64,A332,CA609,2020-08-02,22:20:36
1596381696,22.49,113.67,38100,141,465,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:21:36
1596381757,22.4,113.78,38100,133,469,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:22:37
1596381817,22.29,113.85,38100,163,462,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:23:37
1596381882,22.16,113.85,38200,183,454,780B45,PVG,SGN,CCA609,1024,A332,CA609,2020-08-02,22:24:42
1596381944,22.03,113.85,39225,183,450,780B45,PVG,SGN,CCA609,1024,A332,CA609,2020-08-02,22:25:44
1596381999,21.91,113.84,40000,183,450,780B45,PVG,SGN,CCA609,128,A332,CA609,2020-08-02,22:26:39
1596382063,21.78,113.83,40000,183,456,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:27:43
1596382116,21.67,113.82,40000,183,451,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:28:36
1596382180,21.53,113.81,40000,183,450,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:29:40
1596382242,21.4,113.81,39975,178,450,780B45,PVG,SGN,CCA609,128,A332,CA609,2020-08-02,22:30:42
1596382305,21.28,113.87,40000,145,455,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:31:45
1596382362,21.18,113.94,40000,146,455,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:32:42
1596382426,21.07,114.02,40000,146,454,780B45,PVG,SGN,CCA609,64,A332,CA609,2020-08-02,22:33:46
1596382483,20.97,114.09,40000,146,454,780B45,PVG,SGN,CCA609,128,A332,CA609,2020-08-02,22:34:43
1596382546,20.86,114.16,40000,151,452,780B45,PVG,SGN,CCA609,64,A332,CA609,2020-08-02,22:35:46
1596382609,20.74,114.23,40000,151,456,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:36:49
1596382663,20.64,114.29,40000,151,456,780B45,PVG,SGN,CCA609,-64,A332,CA609,2020-08-02,22:37:43
1596382720,20.53,114.35,40000,154,457,780B45,PVG,SGN,CCA609,0,A332,CA609,2020-08-02,22:38:40
1596382775,20.43,114.4,40000,154,458,780B45,PVG,SGN,CCA609,-64,A332,CA609,2020-08-02,22:39:35
1596382837,20.31,114.46,40000,154,457,780B45,PVG,SGN,CCA609,-128,A332,CA609,2020-08-02,22:40:37
1596382890,20.22,114.51,39975,154,457,780B45,PVG,SGN,CCA609,64,A332,CA609,2020-08-02,22:41:30
1596382950,20.12,114.56,39975,154,457,780B45,PVG,SGN,CCA609,64,A332,CA609,2020-08-02,22:42:30
