,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
91,1596962176,19.52,105.67,15850,149,385,8880EC,THD,SGN,PIC571,2176,A320,BL571,2020-08-09,15:36:16
49,1596962240,19.42,105.73,17700,149,396,8880EC,THD,SGN,PIC571,1920,A320,BL571,2020-08-09,15:37:20
11,1596962286,19.34,105.78,18875,149,405,8880EC,THD,SGN,PIC571,2048,A320,BL571,2020-08-09,15:38:06
5,1596962361,19.22,105.85,20700,149,418,8880EC,THD,SGN,PIC571,1344,A320,BL571,2020-08-09,15:39:21
81,1596962417,19.12,105.91,21950,149,427,8880EC,THD,SGN,PIC571,1344,A320,BL571,2020-08-09,15:40:17
61,1596962458,19.05,105.96,22700,149,434,8880EC,THD,SGN,PIC571,1344,A320,BL571,2020-08-09,15:40:58
8,1596962531,18.95,106.02,22700,149,434,8880EC,THD,SGN,PIC571,1344,A320,BL571,2020-08-09,15:42:11
36,1596962599,18.82,106.1,24575,150,442,8880EC,THD,SGN,PIC571,1856,A320,BL571,2020-08-09,15:43:19
93,1596962654,18.7,106.17,26250,150,453,8880EC,THD,SGN,PIC571,1088,A320,BL571,2020-08-09,15:44:14
90,1596962707,18.62,106.22,26700,149,453,8880EC,THD,SGN,PIC571,1088,A320,BL571,2020-08-09,15:45:07
43,1596962776,18.48,106.3,28325,149,453,8880EC,THD,SGN,PIC571,704,A320,BL571,2020-08-09,15:46:16
22,1596962834,18.38,106.37,28950,150,461,8880EC,THD,SGN,PIC571,704,A320,BL571,2020-08-09,15:47:14
85,1596962893,18.27,106.43,30275,150,451,8880EC,THD,SGN,PIC571,768,A320,BL571,2020-08-09,15:48:13
9,1596962955,18.17,106.49,30275,150,451,8880EC,THD,SGN,PIC571,768,A320,BL571,2020-08-09,15:49:15
46,1596963015,18.05,106.56,32425,150,447,8880EC,THD,SGN,PIC571,960,A320,BL571,2020-08-09,15:50:15
40,1596963078,17.94,106.63,34975,150,403,8880EC,THD,SGN,PIC571,1856,A320,BL571,2020-08-09,15:51:18
78,1596963136,17.84,106.69,35775,150,400,8880EC,THD,SGN,PIC571,960,A320,BL571,2020-08-09,15:52:16
47,1596963196,17.75,106.74,36000,150,413,8880EC,THD,SGN,PIC571,0,A320,BL571,2020-08-09,15:53:16
10,1596963250,17.65,106.8,36000,150,432,8880EC,THD,SGN,PIC571,64,A320,BL571,2020-08-09,15:54:10
