,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
66,1597639710,22.6,108.17,0,47,69,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,11:48:30
50,1597639766,22.63,108.2,2250,43,171,7BD008,NNG,SGN,CSS7156,3264,B752,O37156,2020-08-17,11:49:26
77,1597639828,22.67,108.24,4425,36,229,7BD008,NNG,SGN,CSS7156,1088,B752,O37156,2020-08-17,11:50:28
92,1597639893,22.73,108.2,6825,285,289,7BD008,NNG,SGN,CSS7156,2816,B752,O37156,2020-08-17,11:51:33
100,1597639945,22.71,108.13,9475,250,284,7BD008,NNG,SGN,CSS7156,3392,B752,O37156,2020-08-17,11:52:25
39,1597640013,22.68,108.03,11650,250,340,7BD008,NNG,SGN,CSS7156,1536,B752,O37156,2020-08-17,11:53:33
63,1597640064,22.66,107.95,11800,250,344,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,11:54:24
98,1597640125,22.63,107.86,11800,250,344,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,11:55:25
49,1597640197,22.59,107.76,11800,250,344,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,11:56:37
40,1597640249,22.56,107.67,14225,251,344,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,11:57:29
74,1597640317,22.51,107.52,19475,250,386,7BD008,NNG,SGN,CSS7156,1920,B752,O37156,2020-08-17,11:58:37
122,1597640389,22.48,107.41,19475,250,386,7BD008,NNG,SGN,CSS7156,1920,B752,O37156,2020-08-17,11:59:49
12,1597640445,22.43,107.28,21250,250,400,7BD008,NNG,SGN,CSS7156,1984,B752,O37156,2020-08-17,12:00:45
118,1597640505,22.4,107.18,21250,250,400,7BD008,NNG,SGN,CSS7156,1984,B752,O37156,2020-08-17,12:01:45
64,1597640573,22.39,107.09,22300,255,408,7BD008,NNG,SGN,CSS7156,1856,B752,O37156,2020-08-17,12:02:53
79,1597640633,22.37,106.93,23975,260,423,7BD008,NNG,SGN,CSS7156,1920,B752,O37156,2020-08-17,12:03:53
9,1597640681,22.36,106.85,23975,260,423,7BD008,NNG,SGN,CSS7156,1920,B752,O37156,2020-08-17,12:04:41
101,1597640741,22.29,106.68,27675,252,452,7BD008,NNG,SGN,CSS7156,2048,B752,O37156,2020-08-17,12:05:41
106,1597640801,22.19,106.69,28050,225,455,7BD008,NNG,SGN,CSS7156,-64,B752,O37156,2020-08-17,12:06:41
114,1597640861,22.06,106.56,28000,223,455,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:07:41
4,1597640923,21.9,106.43,28000,219,459,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:08:43
96,1597640983,21.8,106.35,28000,219,460,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:09:43
29,1597641045,21.68,106.27,28000,195,464,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:10:45
86,1597641104,21.56,106.26,28000,185,467,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:11:44
108,1597641160,21.44,106.24,28000,185,468,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:12:40
81,1597641221,21.31,106.23,28025,185,470,7BD008,NNG,SGN,CSS7156,-64,B752,O37156,2020-08-17,12:13:41
30,1597641285,21.17,106.21,28000,185,471,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:14:45
82,1597641341,21.05,106.2,28000,186,473,7BD008,NNG,SGN,CSS7156,-64,B752,O37156,2020-08-17,12:15:41
61,1597641407,20.9,106.18,28000,189,474,7BD008,NNG,SGN,CSS7156,-64,B752,O37156,2020-08-17,12:16:47
18,1597641468,20.77,106.15,28000,193,472,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:17:48
24,1597641524,20.65,106.12,28000,191,470,7BD008,NNG,SGN,CSS7156,-64,B752,O37156,2020-08-17,12:18:44
27,1597641585,20.52,106.11,28025,175,468,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:19:45
20,1597641644,20.39,106.12,28000,167,469,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:20:44
42,1597641705,20.27,106.18,28025,154,469,7BD008,NNG,SGN,CSS7156,-64,B752,O37156,2020-08-17,12:21:45
55,1597641770,20.14,106.24,28000,154,467,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:22:50
51,1597641832,20.02,106.3,28025,154,463,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:23:52
34,1597641884,19.92,106.35,28025,162,456,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:24:44
5,1597641945,19.79,106.39,28000,162,453,7BD008,NNG,SGN,CSS7156,64,B752,O37156,2020-08-17,12:25:45
53,1597642004,19.68,106.43,28000,162,455,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:26:44
35,1597642057,19.58,106.46,28000,162,457,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:27:37
83,1597642117,19.47,106.5,28000,162,457,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:28:37
47,1597642181,19.36,106.52,28000,165,457,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:29:41
120,1597642241,19.27,106.55,28000,164,457,7BD008,NNG,SGN,CSS7156,64,B752,O37156,2020-08-17,12:30:41
0,1597642297,19.27,106.55,28000,164,457,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:31:37
60,1597642357,19.17,106.58,28000,164,457,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:32:37
95,1597642421,18.89,106.75,28000,153,457,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:33:41
104,1597642481,18.85,106.78,28000,153,458,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:34:41
2,1597642541,18.75,106.83,28000,153,458,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:35:41
89,1597642577,18.7,106.86,28000,153,458,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:36:17
44,1597642661,18.48,107.0,28000,150,450,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:37:41
73,1597642685,18.45,107.02,28000,150,450,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:38:05
87,1597643079,17.61,107.43,28000,153,453,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:44:39
7,1597643133,17.52,107.48,28000,153,453,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:45:33
3,1597643193,17.43,107.53,28000,153,453,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:46:33
41,1597643253,17.28,107.6,28025,153,447,7BD008,NNG,SGN,CSS7156,64,B752,O37156,2020-08-17,12:47:33
90,1597643318,17.16,107.66,28000,153,449,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:48:38
16,1597643373,17.06,107.71,28000,155,448,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:49:33
26,1597643439,16.93,107.77,28000,155,450,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:50:39
48,1597643505,16.81,107.83,28000,154,451,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:51:45
80,1597643560,16.7,107.89,28000,155,450,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:52:40
84,1597643618,16.59,107.94,28000,155,450,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:53:38
33,1597643672,16.49,107.99,28000,155,450,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:54:32
62,1597643727,16.38,108.04,28000,155,450,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:55:27
103,1597643790,16.26,108.1,28000,155,450,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:56:30
46,1597643854,16.14,108.15,28000,155,449,7BD008,NNG,SGN,CSS7156,-64,B752,O37156,2020-08-17,12:57:34
54,1597643914,16.02,108.19,28000,177,446,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:58:34
23,1597643972,15.91,108.19,28025,184,445,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,12:59:32
115,1597644032,15.78,108.18,28000,184,445,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,13:00:32
107,1597644090,15.66,108.16,28000,184,446,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,13:01:30
28,1597644154,15.53,108.15,28000,185,446,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,13:02:34
105,1597644217,15.4,108.13,28000,189,448,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,13:03:37
116,1597644275,15.28,108.11,28000,189,449,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,13:04:35
45,1597644336,15.16,108.09,28000,190,452,7BD008,NNG,SGN,CSS7156,64,B752,O37156,2020-08-17,13:05:36
67,1597644394,15.04,108.07,28000,190,452,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,13:06:34
57,1597644455,14.91,108.05,28000,180,452,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,13:07:35
113,1597644513,14.79,108.05,28000,179,451,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,13:08:33
13,1597644575,14.66,108.06,28000,179,450,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,13:09:35
119,1597644638,14.52,108.06,28000,179,451,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,13:10:38
102,1597644694,14.41,108.06,28000,179,451,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,13:11:34
37,1597644756,14.28,108.06,28000,179,452,7BD008,NNG,SGN,CSS7156,64,B752,O37156,2020-08-17,13:12:36
91,1597644814,14.15,108.06,28000,179,453,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,13:13:34
6,1597644870,14.04,108.06,28000,179,455,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,13:14:30
93,1597644927,13.92,108.07,28000,179,455,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,13:15:27
110,1597644991,13.78,108.07,28000,179,456,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,13:16:31
109,1597645049,13.66,108.07,28000,179,455,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,13:17:29
72,1597645108,13.53,108.07,28000,179,455,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,13:18:28
88,1597645175,13.39,108.07,28000,179,453,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,13:19:35
36,1597645236,13.27,108.08,28000,176,453,7BD008,NNG,SGN,CSS7156,0,B752,O37156,2020-08-17,13:20:36
