,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
62,1598133739,13.7,100.74,0,194,19,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:02:19
38,1598133785,13.69,100.74,0,194,22,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:03:05
64,1598133992,13.69,100.75,0,104,20,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:06:32
60,1598134043,13.68,100.76,0,104,34,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:07:23
9,1598134106,13.69,100.76,0,14,28,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:08:26
17,1598134167,13.69,100.76,0,14,18,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:09:27
39,1598134205,13.69,100.76,0,78,15,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:10:05
7,1598134407,13.69,100.76,0,104,18,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:13:27
49,1598134450,13.69,100.76,0,194,15,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:14:10
32,1598134524,13.66,100.75,825,195,159,4D010A,BKK,SGN,CLX7405,2304,B744,CV7405,2020-08-23,05:15:24
27,1598134592,13.6,100.74,2550,194,206,4D010A,BKK,SGN,CLX7405,1088,B744,CV7405,2020-08-23,05:16:32
1,1598134656,13.54,100.76,4975,117,282,4D010A,BKK,SGN,CLX7405,4416,B744,CV7405,2020-08-23,05:17:36
58,1598134712,13.53,100.84,8250,99,298,4D010A,BKK,SGN,CLX7405,3264,B744,CV7405,2020-08-23,05:18:32
66,1598134771,13.51,100.93,10975,99,326,4D010A,BKK,SGN,CLX7405,1728,B744,CV7405,2020-08-23,05:19:31
20,1598134833,13.5,101.03,12675,99,389,4D010A,BKK,SGN,CLX7405,1728,B744,CV7405,2020-08-23,05:20:33
67,1598134898,13.48,101.15,15400,99,413,4D010A,BKK,SGN,CLX7405,2368,B744,CV7405,2020-08-23,05:21:38
44,1598134963,13.45,101.28,18050,99,428,4D010A,BKK,SGN,CLX7405,2304,B744,CV7405,2020-08-23,05:22:43
52,1598135021,13.43,101.4,21175,100,418,4D010A,BKK,SGN,CLX7405,4544,B744,CV7405,2020-08-23,05:23:41
31,1598135081,13.41,101.52,23550,99,435,4D010A,BKK,SGN,CLX7405,2752,B744,CV7405,2020-08-23,05:24:41
23,1598135136,13.38,101.63,25625,114,445,4D010A,BKK,SGN,CLX7405,2816,B744,CV7405,2020-08-23,05:25:36
35,1598135201,13.32,101.75,27800,116,457,4D010A,BKK,SGN,CLX7405,2304,B744,CV7405,2020-08-23,05:26:41
16,1598135264,13.26,101.88,29650,116,470,4D010A,BKK,SGN,CLX7405,1600,B744,CV7405,2020-08-23,05:27:44
4,1598135327,13.2,102.0,31575,116,474,4D010A,BKK,SGN,CLX7405,2240,B744,CV7405,2020-08-23,05:28:47
80,1598135390,13.14,102.13,33050,116,478,4D010A,BKK,SGN,CLX7405,-128,B744,CV7405,2020-08-23,05:29:50
34,1598135447,13.08,102.25,33000,116,483,4D010A,BKK,SGN,CLX7405,64,B744,CV7405,2020-08-23,05:30:47
8,1598135505,13.02,102.37,33000,116,480,4D010A,BKK,SGN,CLX7405,-64,B744,CV7405,2020-08-23,05:31:45
28,1598135571,12.96,102.5,33000,118,478,4D010A,BKK,SGN,CLX7405,64,B744,CV7405,2020-08-23,05:32:51
72,1598135625,12.9,102.61,33000,121,477,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:33:45
18,1598135683,12.83,102.72,33000,121,476,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:34:43
22,1598135739,12.76,102.82,33000,121,477,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:35:39
79,1598135801,12.69,102.95,33000,118,477,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:36:41
46,1598135865,12.63,103.07,33000,117,477,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:37:45
53,1598135926,12.57,103.2,33000,117,477,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:38:46
19,1598135983,12.51,103.31,33000,117,477,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:39:43
12,1598136047,12.44,103.44,33000,117,479,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:40:47
5,1598136106,12.38,103.56,33000,117,479,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:41:46
21,1598136165,12.32,103.68,33000,117,479,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:42:45
76,1598136219,12.27,103.78,33000,117,478,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:43:39
77,1598136286,12.2,103.92,33000,117,477,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:44:46
36,1598136344,12.14,104.03,33000,117,477,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:45:44
55,1598136400,12.08,104.14,33000,117,476,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:46:40
61,1598136458,12.02,104.26,33000,117,475,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:47:38
78,1598136523,11.96,104.39,33000,117,474,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:48:43
50,1598136587,11.89,104.52,33000,117,472,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:49:47
14,1598136650,11.83,104.64,33000,117,471,4D010A,BKK,SGN,CLX7405,64,B744,CV7405,2020-08-23,05:50:50
68,1598136707,11.77,104.75,33000,117,470,4D010A,BKK,SGN,CLX7405,64,B744,CV7405,2020-08-23,05:51:47
0,1598136770,11.7,104.87,33000,117,468,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,05:52:50
47,1598136826,11.65,104.98,33000,117,468,4D010A,BKK,SGN,CLX7405,64,B744,CV7405,2020-08-23,05:53:46
54,1598136885,11.59,105.1,33000,117,467,4D010A,BKK,SGN,CLX7405,-128,B744,CV7405,2020-08-23,05:54:45
33,1598136939,11.53,105.21,31975,117,461,4D010A,BKK,SGN,CLX7405,-1088,B744,CV7405,2020-08-23,05:55:39
6,1598136999,11.47,105.32,30825,117,450,4D010A,BKK,SGN,CLX7405,-1088,B744,CV7405,2020-08-23,05:56:39
82,1598137058,11.42,105.43,29675,117,440,4D010A,BKK,SGN,CLX7405,-1088,B744,CV7405,2020-08-23,05:57:38
45,1598137119,11.36,105.54,28475,117,430,4D010A,BKK,SGN,CLX7405,-1088,B744,CV7405,2020-08-23,05:58:39
13,1598137174,11.31,105.63,27450,117,420,4D010A,BKK,SGN,CLX7405,-1280,B744,CV7405,2020-08-23,05:59:34
51,1598137234,11.25,105.74,26200,117,412,4D010A,BKK,SGN,CLX7405,-1280,B744,CV7405,2020-08-23,06:00:34
41,1598137291,11.2,105.84,24275,117,409,4D010A,BKK,SGN,CLX7405,-1792,B744,CV7405,2020-08-23,06:01:31
29,1598137349,11.15,105.93,22725,117,403,4D010A,BKK,SGN,CLX7405,-1408,B744,CV7405,2020-08-23,06:02:29
59,1598137413,11.1,106.04,21250,118,391,4D010A,BKK,SGN,CLX7405,-1600,B744,CV7405,2020-08-23,06:03:33
71,1598137471,11.05,106.13,19925,118,382,4D010A,BKK,SGN,CLX7405,-960,B744,CV7405,2020-08-23,06:04:31
11,1598137530,10.99,106.21,18600,137,371,4D010A,BKK,SGN,CLX7405,-1472,B744,CV7405,2020-08-23,06:05:30
42,1598137592,10.91,106.29,17075,138,366,4D010A,BKK,SGN,CLX7405,-1536,B744,CV7405,2020-08-23,06:06:32
10,1598137656,10.83,106.36,16175,137,362,4D010A,BKK,SGN,CLX7405,-832,B744,CV7405,2020-08-23,06:07:36
56,1598137718,10.75,106.43,15350,136,364,4D010A,BKK,SGN,CLX7405,-1088,B744,CV7405,2020-08-23,06:08:38
70,1598137783,10.7,106.53,12050,108,384,4D010A,BKK,SGN,CLX7405,-5248,B744,CV7405,2020-08-23,06:09:43
43,1598137843,10.67,106.63,10225,108,331,4D010A,BKK,SGN,CLX7405,-704,B744,CV7405,2020-08-23,06:10:43
2,1598137901,10.66,106.71,8825,72,293,4D010A,BKK,SGN,CLX7405,-2176,B744,CV7405,2020-08-23,06:11:41
65,1598137963,10.71,106.78,6750,37,285,4D010A,BKK,SGN,CLX7405,-512,B744,CV7405,2020-08-23,06:12:43
75,1598138022,10.76,106.82,5900,36,242,4D010A,BKK,SGN,CLX7405,-1024,B744,CV7405,2020-08-23,06:13:42
74,1598138075,10.81,106.86,4800,36,205,4D010A,BKK,SGN,CLX7405,-1344,B744,CV7405,2020-08-23,06:14:35
24,1598138135,10.85,106.88,3400,346,185,4D010A,BKK,SGN,CLX7405,-1088,B744,CV7405,2020-08-23,06:15:35
63,1598138196,10.88,106.84,2825,276,169,4D010A,BKK,SGN,CLX7405,-256,B744,CV7405,2020-08-23,06:16:36
40,1598138255,10.87,106.79,2450,249,161,4D010A,BKK,SGN,CLX7405,-704,B744,CV7405,2020-08-23,06:17:35
57,1598138312,10.86,106.75,1825,249,159,4D010A,BKK,SGN,CLX7405,-832,B744,CV7405,2020-08-23,06:18:32
26,1598138378,10.84,106.71,975,249,150,4D010A,BKK,SGN,CLX7405,-832,B744,CV7405,2020-08-23,06:19:38
30,1598138437,10.82,106.67,200,249,154,4D010A,BKK,SGN,CLX7405,-768,B744,CV7405,2020-08-23,06:20:37
25,1598138500,10.82,106.65,0,210,17,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,06:21:40
37,1598138553,10.81,106.65,0,70,30,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,06:22:33
73,1598138613,10.82,106.66,0,67,19,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,06:23:33
81,1598138673,10.82,106.66,0,106,20,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,06:24:33
15,1598138724,10.82,106.66,0,271,0,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,06:25:24
3,1598138729,10.82,106.66,0,89,0,4D010A,BKK,SGN,CLX7405,0,B744,CV7405,2020-08-23,06:25:29
