timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1598195519,15.27,96.02,37000,118,489,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:11:59
1598195555,15.23,96.09,37000,118,490,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,22:12:35
1598195631,15.16,96.23,37000,118,490,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,22:13:51
1598195691,15.11,96.33,37000,118,490,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,22:14:51
1598195735,15.04,96.46,37000,118,494,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:15:35
1598195811,14.97,96.6,37000,118,494,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:16:51
1598195871,14.91,96.7,37000,118,494,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:17:51
1598195931,14.86,96.81,37000,118,494,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:18:51
1598196003,14.74,97.01,36975,118,486,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:20:03
1598196063,14.68,97.13,36975,118,484,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:21:03
1598196122,14.61,97.25,36975,118,480,8964FA,AUH,SGN,ETD975,64,B789,EY975,2020-08-23,22:22:02
1598196187,14.54,97.38,37000,118,480,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:23:07
1598196249,14.48,97.51,37000,118,479,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:24:09
1598196302,14.42,97.61,37000,118,479,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,22:25:02
1598196365,14.35,97.74,37000,118,484,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:26:05
1598196425,14.29,97.86,37000,118,484,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:27:05
1598196485,14.22,97.98,36975,118,483,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:28:05
1598196542,14.16,98.1,36975,119,481,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,22:29:02
1598196602,14.1,98.22,37000,103,474,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,22:30:02
1598196658,14.09,98.34,37000,93,471,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,22:30:58
1598196712,14.08,98.46,36975,93,471,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,22:31:52
1598196772,14.08,98.6,36975,93,473,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,22:32:52
1598196835,14.07,98.74,36975,93,473,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:33:55
1598196900,14.06,98.89,37000,93,473,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:35:00
1598196960,14.05,99.02,37000,95,472,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:36:00
1598197024,14.03,99.16,37000,95,472,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:37:04
1598197085,14.02,99.3,36975,95,473,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,22:38:05
1598197140,14.01,99.42,37000,95,474,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:39:00
1598197200,14.0,99.56,37000,95,475,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,22:40:00
1598197263,13.98,99.7,36975,95,473,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:41:03
1598197326,13.97,99.84,36975,95,476,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,22:42:06
1598197391,13.95,99.99,36975,95,475,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,22:43:11
1598197451,13.94,100.12,37000,95,474,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:44:11
1598197509,13.93,100.25,36975,95,471,8964FA,AUH,SGN,ETD975,64,B789,EY975,2020-08-23,22:45:09
1598197570,13.91,100.39,37000,95,473,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,22:46:10
1598197632,13.9,100.53,37000,95,472,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:47:12
1598197684,13.87,100.64,37000,115,476,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,22:48:04
1598197743,13.81,100.76,37000,116,476,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:49:03
1598197799,13.76,100.87,37000,116,474,8964FA,AUH,SGN,ETD975,64,B789,EY975,2020-08-23,22:49:59
1598197864,13.69,101.0,37000,116,472,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,22:51:04
1598197922,13.64,101.12,37000,116,470,8964FA,AUH,SGN,ETD975,64,B789,EY975,2020-08-23,22:52:02
1598197985,13.57,101.24,37000,116,473,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,22:53:05
1598198037,13.52,101.35,36975,117,474,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:53:57
1598198097,13.46,101.47,37000,116,474,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:54:57
1598198158,13.4,101.59,37000,116,472,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,22:55:58
1598198224,13.34,101.72,36975,116,469,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,22:57:04
1598198279,13.28,101.83,37000,116,468,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,22:57:59
1598198338,13.23,101.95,36975,116,468,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,22:58:58
1598198397,13.17,102.07,37000,116,469,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,22:59:57
1598198458,13.11,102.19,37000,116,470,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,23:00:58
1598198523,13.05,102.32,37000,116,469,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,23:02:03
1598198579,12.99,102.43,37000,116,468,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,23:02:59
1598198645,12.92,102.56,37000,121,472,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,23:04:05
1598198700,12.86,102.66,36975,121,470,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,23:05:00
1598198759,12.8,102.77,37000,118,469,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,23:05:59
1598198820,12.74,102.89,37000,117,467,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,23:07:00
1598198877,12.68,103.01,36975,117,468,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,23:07:57
1598198941,12.61,103.13,37000,117,467,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,23:09:01
1598199000,12.55,103.25,36975,117,467,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,23:10:00
1598199058,12.49,103.36,36975,117,466,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,23:10:58
1598199120,12.43,103.48,37000,117,465,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,23:12:00
1598199179,12.37,103.6,36975,117,465,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,23:12:59
1598199234,12.32,103.7,37000,117,465,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,23:13:54
1598199288,12.26,103.81,36975,117,465,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,23:14:48
1598199358,12.19,103.94,36975,117,465,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,23:15:58
1598199409,12.14,104.04,37000,117,465,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,23:16:49
1598199470,12.08,104.16,37000,117,463,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,23:17:50
1598199529,12.02,104.28,36975,117,462,8964FA,AUH,SGN,ETD975,64,B789,EY975,2020-08-23,23:18:49
1598199594,11.96,104.4,37000,117,462,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,23:19:54
1598199651,11.9,104.51,36975,117,464,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,23:20:51
1598199711,11.84,104.63,36975,117,467,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,23:21:51
1598199767,11.78,104.74,36975,117,471,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,23:22:47
1598199825,11.72,104.85,36900,117,468,8964FA,AUH,SGN,ETD975,-832,B789,EY975,2020-08-23,23:23:45
1598199894,11.65,104.98,35350,117,471,8964FA,AUH,SGN,ETD975,-1536,B789,EY975,2020-08-23,23:24:54
1598199949,11.59,105.09,34025,117,474,8964FA,AUH,SGN,ETD975,-1664,B789,EY975,2020-08-23,23:25:49
1598200004,11.54,105.2,32600,118,478,8964FA,AUH,SGN,ETD975,-1984,B789,EY975,2020-08-23,23:26:44
1598200061,11.48,105.31,31475,117,474,8964FA,AUH,SGN,ETD975,-1152,B789,EY975,2020-08-23,23:27:41
1598200122,11.42,105.43,30375,117,467,8964FA,AUH,SGN,ETD975,-1152,B789,EY975,2020-08-23,23:28:42
1598200179,11.36,105.54,29300,117,462,8964FA,AUH,SGN,ETD975,-1216,B789,EY975,2020-08-23,23:29:39
1598200241,11.3,105.66,28150,118,456,8964FA,AUH,SGN,ETD975,-1088,B789,EY975,2020-08-23,23:30:41
1598200306,11.23,105.78,26975,118,450,8964FA,AUH,SGN,ETD975,-1792,B789,EY975,2020-08-23,23:31:46
1598200361,11.18,105.88,25100,117,426,8964FA,AUH,SGN,ETD975,-3904,B789,EY975,2020-08-23,23:32:41
1598200421,11.12,105.99,21300,118,412,8964FA,AUH,SGN,ETD975,-4032,B789,EY975,2020-08-23,23:33:41
1598200477,11.07,106.08,17800,117,387,8964FA,AUH,SGN,ETD975,-3968,B789,EY975,2020-08-23,23:34:37
1598200533,11.03,106.17,15100,123,344,8964FA,AUH,SGN,ETD975,-896,B789,EY975,2020-08-23,23:35:33
1598200588,10.97,106.23,13500,137,347,8964FA,AUH,SGN,ETD975,-1792,B789,EY975,2020-08-23,23:36:28
1598200641,10.91,106.29,12425,137,335,8964FA,AUH,SGN,ETD975,-768,B789,EY975,2020-08-23,23:37:21
1598200707,10.83,106.36,11850,137,338,8964FA,AUH,SGN,ETD975,-576,B789,EY975,2020-08-23,23:38:27
1598200763,10.76,106.42,11375,137,339,8964FA,AUH,SGN,ETD975,-640,B789,EY975,2020-08-23,23:39:23
1598200826,10.69,106.49,10875,137,333,8964FA,AUH,SGN,ETD975,-640,B789,EY975,2020-08-23,23:40:26
1598200881,10.63,106.55,10075,114,336,8964FA,AUH,SGN,ETD975,-1472,B789,EY975,2020-08-23,23:41:21
1598200947,10.64,106.65,7650,79,323,8964FA,AUH,SGN,ETD975,-3392,B789,EY975,2020-08-23,23:42:27
1598201006,10.67,106.73,5125,43,298,8964FA,AUH,SGN,ETD975,256,B789,EY975,2020-08-23,23:43:26
1598201065,10.73,106.78,4025,41,253,8964FA,AUH,SGN,ETD975,-1408,B789,EY975,2020-08-23,23:44:25
1598201122,10.77,106.82,3400,41,221,8964FA,AUH,SGN,ETD975,-576,B789,EY975,2020-08-23,23:45:22
1598201190,10.82,106.86,2875,27,191,8964FA,AUH,SGN,ETD975,-576,B789,EY975,2020-08-23,23:46:30
1598201252,10.86,106.83,2425,311,172,8964FA,AUH,SGN,ETD975,-512,B789,EY975,2020-08-23,23:47:32
1598201316,10.87,106.79,2050,248,164,8964FA,AUH,SGN,ETD975,-64,B789,EY975,2020-08-23,23:48:36
1598201371,10.85,106.75,1700,248,161,8964FA,AUH,SGN,ETD975,-1024,B789,EY975,2020-08-23,23:49:31
1598201427,10.84,106.71,950,248,150,8964FA,AUH,SGN,ETD975,-832,B789,EY975,2020-08-23,23:50:27
1598201487,10.82,106.67,175,249,157,8964FA,AUH,SGN,ETD975,-832,B789,EY975,2020-08-23,23:51:27
1598201548,10.82,106.65,0,219,29,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,23:52:28
1598201592,10.81,106.65,0,95,30,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,23:53:12
1598201667,10.82,106.66,0,70,17,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,23:54:27
1598201731,10.81,106.66,0,151,18,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,23:55:31
1598201757,10.81,106.66,0,95,14,8964FA,AUH,SGN,ETD975,0,B789,EY975,2020-08-23,23:55:57
