timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1599075650,13.7,100.74,0,14,27,8007CE,BKK,SGN,IGO8504,0,A320,6E8504,2020-09-03,02:40:50
1599075659,13.7,100.74,0,14,21,8007CE,BKK,SGN,IGO8504,0,A320,6E8504,2020-09-03,02:40:59
1599075767,13.69,100.74,175,193,129,8007CE,BKK,SGN,IGO8504,64,A320,6E8504,2020-09-03,02:42:47
1599075840,13.64,100.73,3325,194,170,8007CE,BKK,SGN,IGO8504,1792,A320,6E8504,2020-09-03,02:44:00
1599075900,13.58,100.73,5200,141,270,8007CE,BKK,SGN,IGO8504,2880,A320,6E8504,2020-09-03,02:45:00
1599075964,13.54,100.8,9300,99,290,8007CE,BKK,SGN,IGO8504,3840,A320,6E8504,2020-09-03,02:46:04
1599076027,13.52,100.89,11800,99,348,8007CE,BKK,SGN,IGO8504,2432,A320,6E8504,2020-09-03,02:47:07
1599076085,13.5,100.99,14475,99,354,8007CE,BKK,SGN,IGO8504,1856,A320,6E8504,2020-09-03,02:48:05
1599076146,13.49,101.09,16350,99,366,8007CE,BKK,SGN,IGO8504,2944,A320,6E8504,2020-09-03,02:49:06
1599076198,13.47,101.18,18625,99,375,8007CE,BKK,SGN,IGO8504,2816,A320,6E8504,2020-09-03,02:49:58
1599076265,13.45,101.3,21200,99,387,8007CE,BKK,SGN,IGO8504,2944,A320,6E8504,2020-09-03,02:51:05
1599076328,13.43,101.42,23175,99,401,8007CE,BKK,SGN,IGO8504,2496,A320,6E8504,2020-09-03,02:52:08
1599076387,13.41,101.53,24850,99,414,8007CE,BKK,SGN,IGO8504,1536,A320,6E8504,2020-09-03,02:53:07
1599076452,13.37,101.65,26500,116,428,8007CE,BKK,SGN,IGO8504,1472,A320,6E8504,2020-09-03,02:54:12
1599076514,13.31,101.77,28050,116,438,8007CE,BKK,SGN,IGO8504,1856,A320,6E8504,2020-09-03,02:55:14
1599076577,13.26,101.89,29575,116,442,8007CE,BKK,SGN,IGO8504,1408,A320,6E8504,2020-09-03,02:56:17
1599076637,13.2,102.0,30925,116,449,8007CE,BKK,SGN,IGO8504,1280,A320,6E8504,2020-09-03,02:57:17
1599076694,13.15,102.11,32300,116,447,8007CE,BKK,SGN,IGO8504,1664,A320,6E8504,2020-09-03,02:58:14
1599076760,13.09,102.23,33675,116,450,8007CE,BKK,SGN,IGO8504,1344,A320,6E8504,2020-09-03,02:59:20
1599076822,13.03,102.35,35375,116,442,8007CE,BKK,SGN,IGO8504,1664,A320,6E8504,2020-09-03,03:00:22
1599076883,12.97,102.47,36875,116,433,8007CE,BKK,SGN,IGO8504,1088,A320,6E8504,2020-09-03,03:01:23
1599076936,12.92,102.56,37000,121,429,8007CE,BKK,SGN,IGO8504,-64,A320,6E8504,2020-09-03,03:02:16
1599076999,12.86,102.67,37000,121,433,8007CE,BKK,SGN,IGO8504,64,A320,6E8504,2020-09-03,03:03:19
1599077055,12.8,102.77,37000,121,431,8007CE,BKK,SGN,IGO8504,0,A320,6E8504,2020-09-03,03:04:15
1599077113,12.74,102.87,37000,121,430,8007CE,BKK,SGN,IGO8504,0,A320,6E8504,2020-09-03,03:05:13
1599077170,12.68,102.97,37000,121,428,8007CE,BKK,SGN,IGO8504,0,A320,6E8504,2020-09-03,03:06:10
1599077228,12.62,103.07,36975,121,427,8007CE,BKK,SGN,IGO8504,0,A320,6E8504,2020-09-03,03:07:08
1599077288,12.56,103.17,36975,121,429,8007CE,BKK,SGN,IGO8504,0,A320,6E8504,2020-09-03,03:08:08
1599077353,12.49,103.29,37000,121,431,8007CE,BKK,SGN,IGO8504,0,A320,6E8504,2020-09-03,03:09:13
1599077415,12.42,103.39,37000,121,432,8007CE,BKK,SGN,IGO8504,0,A320,6E8504,2020-09-03,03:10:15
1599077475,12.36,103.5,37025,121,433,8007CE,BKK,SGN,IGO8504,0,A320,6E8504,2020-09-03,03:11:15
1599077530,12.3,103.59,37025,121,431,8007CE,BKK,SGN,IGO8504,64,A320,6E8504,2020-09-03,03:12:10
1599077589,12.24,103.7,37025,121,426,8007CE,BKK,SGN,IGO8504,-64,A320,6E8504,2020-09-03,03:13:09
1599077646,12.18,103.79,36975,121,425,8007CE,BKK,SGN,IGO8504,0,A320,6E8504,2020-09-03,03:14:06
1599077702,12.12,103.89,36975,121,426,8007CE,BKK,SGN,IGO8504,0,A320,6E8504,2020-09-03,03:15:02
1599077764,12.06,104.0,37000,121,426,8007CE,BKK,SGN,IGO8504,64,A320,6E8504,2020-09-03,03:16:04
1599077820,12.0,104.09,37000,121,426,8007CE,BKK,SGN,IGO8504,0,A320,6E8504,2020-09-03,03:17:00
