,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
30,1599479107,13.69,100.75,0,194,26,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-09-07,18:45:07
78,1599479172,13.69,100.75,0,104,18,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-09-07,18:46:12
73,1599479228,13.68,100.76,0,104,23,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-09-07,18:47:08
71,1599479286,13.68,100.76,0,115,22,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-09-07,18:48:06
14,1599479348,13.68,100.76,0,194,32,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-09-07,18:49:08
83,1599479409,13.65,100.75,1925,194,146,885968,BKK,SGN,TVJ3970,3072,A321,VZ3970,2020-09-07,18:50:09
19,1599479474,13.6,100.74,3750,184,185,885968,BKK,SGN,TVJ3970,1024,A321,VZ3970,2020-09-07,18:51:14
2,1599479534,13.54,100.77,5375,140,261,885968,BKK,SGN,TVJ3970,2688,A321,VZ3970,2020-09-07,18:52:14
13,1599479589,13.51,100.83,8025,86,276,885968,BKK,SGN,TVJ3970,2944,A321,VZ3970,2020-09-07,18:53:09
3,1599479631,13.52,100.89,9675,88,295,885968,BKK,SGN,TVJ3970,2176,A321,VZ3970,2020-09-07,18:53:51
35,1599479706,13.48,101.0,12050,109,346,885968,BKK,SGN,TVJ3970,2432,A321,VZ3970,2020-09-07,18:55:06
21,1599479764,13.45,101.09,14475,109,357,885968,BKK,SGN,TVJ3970,2176,A321,VZ3970,2020-09-07,18:56:04
88,1599479823,13.42,101.18,16600,109,373,885968,BKK,SGN,TVJ3970,1856,A321,VZ3970,2020-09-07,18:57:03
31,1599479880,13.39,101.28,18950,109,371,885968,BKK,SGN,TVJ3970,3968,A321,VZ3970,2020-09-07,18:58:00
82,1599479939,13.35,101.38,21075,109,376,885968,BKK,SGN,TVJ3970,1664,A321,VZ3970,2020-09-07,18:58:59
22,1599480001,13.31,101.49,22900,109,392,885968,BKK,SGN,TVJ3970,1856,A321,VZ3970,2020-09-07,19:00:01
17,1599480065,13.27,101.6,24800,109,401,885968,BKK,SGN,TVJ3970,1536,A321,VZ3970,2020-09-07,19:01:05
53,1599480127,13.24,101.71,26325,109,414,885968,BKK,SGN,TVJ3970,768,A321,VZ3970,2020-09-07,19:02:07
52,1599480186,13.2,101.82,27950,109,420,885968,BKK,SGN,TVJ3970,2240,A321,VZ3970,2020-09-07,19:03:06
47,1599480246,13.16,101.93,29525,109,424,885968,BKK,SGN,TVJ3970,1408,A321,VZ3970,2020-09-07,19:04:06
15,1599480306,13.12,102.05,31075,109,427,885968,BKK,SGN,TVJ3970,896,A321,VZ3970,2020-09-07,19:05:06
25,1599480369,13.07,102.17,32050,109,445,885968,BKK,SGN,TVJ3970,768,A321,VZ3970,2020-09-07,19:06:09
46,1599480431,13.03,102.3,33400,109,447,885968,BKK,SGN,TVJ3970,1792,A321,VZ3970,2020-09-07,19:07:11
76,1599480492,12.99,102.41,36375,113,405,885968,BKK,SGN,TVJ3970,2112,A321,VZ3970,2020-09-07,19:08:12
20,1599480550,12.94,102.51,37375,117,411,885968,BKK,SGN,TVJ3970,832,A321,VZ3970,2020-09-07,19:09:10
69,1599480614,12.88,102.62,38575,117,406,885968,BKK,SGN,TVJ3970,704,A321,VZ3970,2020-09-07,19:10:14
9,1599480678,12.83,102.73,39000,117,410,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-09-07,19:11:18
34,1599480740,12.77,102.84,39000,117,407,885968,BKK,SGN,TVJ3970,-64,A321,VZ3970,2020-09-07,19:12:20
7,1599480802,12.72,102.94,39000,117,412,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-09-07,19:13:22
77,1599480859,12.67,103.04,39050,117,414,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-09-07,19:14:19
74,1599480920,12.61,103.15,39000,117,410,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-09-07,19:15:20
57,1599480982,12.56,103.26,39000,117,405,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-09-07,19:16:22
39,1599481035,12.51,103.34,39000,117,402,885968,BKK,SGN,TVJ3970,-64,A321,VZ3970,2020-09-07,19:17:15
62,1599481097,12.46,103.45,38975,117,401,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-09-07,19:18:17
16,1599481155,12.41,103.55,38975,117,404,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-09-07,19:19:15
4,1599481214,12.35,103.65,39050,117,407,885968,BKK,SGN,TVJ3970,64,A321,VZ3970,2020-09-07,19:20:14
49,1599481280,12.3,103.76,39025,117,407,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-09-07,19:21:20
