timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1599566612,2.7,101.72,1550,145,158,750254,KUL,SGN,MAS766,2176,A333,MH766,2020-09-08,19:03:32
1599566677,2.65,101.76,3250,145,250,750254,KUL,SGN,MAS766,3456,A333,MH766,2020-09-08,19:04:37
1599566733,2.63,101.82,6325,67,272,750254,KUL,SGN,MAS766,3840,A333,MH766,2020-09-08,19:05:33
1599566792,2.69,101.85,9650,17,285,750254,KUL,SGN,MAS766,3776,A333,MH766,2020-09-08,19:06:32
1599566848,2.77,101.88,11475,19,336,750254,KUL,SGN,MAS766,1216,A333,MH766,2020-09-08,19:07:28
1599566911,2.87,101.91,13925,18,371,750254,KUL,SGN,MAS766,2880,A333,MH766,2020-09-08,19:08:31
1599566968,2.97,101.94,16200,19,388,750254,KUL,SGN,MAS766,2432,A333,MH766,2020-09-08,19:09:28
1599567025,3.07,101.98,18125,19,405,750254,KUL,SGN,MAS766,1984,A333,MH766,2020-09-08,19:10:25
1599567084,3.17,102.01,20225,19,413,750254,KUL,SGN,MAS766,2112,A333,MH766,2020-09-08,19:11:24
1599567144,3.28,102.05,22125,19,423,750254,KUL,SGN,MAS766,1920,A333,MH766,2020-09-08,19:12:24
1599567205,3.4,102.09,23750,19,434,750254,KUL,SGN,MAS766,2048,A333,MH766,2020-09-08,19:13:25
1599567270,3.52,102.14,25425,27,439,750254,KUL,SGN,MAS766,1408,A333,MH766,2020-09-08,19:14:30
1599567330,3.63,102.2,27025,28,444,750254,KUL,SGN,MAS766,3136,A333,MH766,2020-09-08,19:15:30
1599567395,3.72,102.28,29275,52,426,750254,KUL,SGN,MAS766,1600,A333,MH766,2020-09-08,19:16:35
1599567451,3.79,102.38,30250,62,434,750254,KUL,SGN,MAS766,384,A333,MH766,2020-09-08,19:17:31
1599567516,3.85,102.49,31225,50,449,750254,KUL,SGN,MAS766,1408,A333,MH766,2020-09-08,19:18:36
1599567572,3.95,102.56,32675,23,454,750254,KUL,SGN,MAS766,1408,A333,MH766,2020-09-08,19:19:32
1599567623,4.05,102.59,33375,16,467,750254,KUL,SGN,MAS766,576,A333,MH766,2020-09-08,19:20:23
1599567685,4.18,102.63,33850,16,485,750254,KUL,SGN,MAS766,448,A333,MH766,2020-09-08,19:21:25
1599567745,4.31,102.67,34925,16,487,750254,KUL,SGN,MAS766,1536,A333,MH766,2020-09-08,19:22:25
1599567807,4.44,102.71,36325,16,480,750254,KUL,SGN,MAS766,1088,A333,MH766,2020-09-08,19:23:27
1599567864,4.57,102.75,37450,16,477,750254,KUL,SGN,MAS766,1216,A333,MH766,2020-09-08,19:24:24
1599567922,4.69,102.78,38700,16,468,750254,KUL,SGN,MAS766,1280,A333,MH766,2020-09-08,19:25:22
1599568582,6.01,103.3,38975,16,465,750254,KUL,SGN,MAS766,0,A333,MH766,2020-09-08,19:36:22
1599568640,6.13,103.34,38975,16,466,750254,KUL,SGN,MAS766,0,A333,MH766,2020-09-08,19:37:20
1599568694,6.24,103.37,38975,17,465,750254,KUL,SGN,MAS766,0,A333,MH766,2020-09-08,19:38:14
1599568747,6.35,103.41,38975,17,468,750254,KUL,SGN,MAS766,0,A333,MH766,2020-09-08,19:39:07
1599568811,6.48,103.45,38975,17,467,750254,KUL,SGN,MAS766,0,A333,MH766,2020-09-08,19:40:11
1599568877,6.62,103.49,38975,17,465,750254,KUL,SGN,MAS766,0,A333,MH766,2020-09-08,19:41:17
1599568932,6.73,103.52,38975,17,465,750254,KUL,SGN,MAS766,0,A333,MH766,2020-09-08,19:42:12
1599568993,6.86,103.56,38975,23,464,750254,KUL,SGN,MAS766,128,A333,MH766,2020-09-08,19:43:13
1599569054,6.96,103.63,38975,41,453,750254,KUL,SGN,MAS766,0,A333,MH766,2020-09-08,19:44:14
1599569107,7.05,103.71,38975,41,457,750254,KUL,SGN,MAS766,0,A333,MH766,2020-09-08,19:45:07
1599569178,7.16,103.81,38975,42,455,750254,KUL,SGN,MAS766,-64,A333,MH766,2020-09-08,19:46:18
1599569232,7.24,103.89,38975,42,453,750254,KUL,SGN,MAS766,0,A333,MH766,2020-09-08,19:47:12
1599569291,7.34,103.97,38975,42,454,750254,KUL,SGN,MAS766,0,A333,MH766,2020-09-08,19:48:11
1599569353,7.44,104.06,38975,42,456,750254,KUL,SGN,MAS766,0,A333,MH766,2020-09-08,19:49:13
1599569409,7.52,104.14,38975,42,455,750254,KUL,SGN,MAS766,0,A333,MH766,2020-09-08,19:50:09
1599569475,7.63,104.23,38975,42,456,750254,KUL,SGN,MAS766,0,A333,MH766,2020-09-08,19:51:15
1599569537,7.72,104.32,38975,42,454,750254,KUL,SGN,MAS766,0,A333,MH766,2020-09-08,19:52:17
1599569586,7.8,104.39,38975,42,453,750254,KUL,SGN,MAS766,0,A333,MH766,2020-09-08,19:53:06
1599569648,7.9,104.48,38975,42,455,750254,KUL,SGN,MAS766,0,A333,MH766,2020-09-08,19:54:08
1599569715,8.0,104.58,38975,42,460,750254,KUL,SGN,MAS766,0,A333,MH766,2020-09-08,19:55:15
