timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1600084118,28.47,117.9,36100,227,450,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,18:48:38
1600084180,28.4,117.81,36100,227,450,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,18:49:40
1600084231,28.31,117.71,36100,226,451,780301,PVG,SGN,CES7053,-64,A333,MU7053,2020-09-14,18:50:31
1600084278,28.24,117.63,36100,226,451,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,18:51:18
1600084352,28.15,117.52,36100,226,451,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,18:52:32
1600084412,28.08,117.43,36100,226,451,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,18:53:32
1600084472,27.96,117.29,36100,225,456,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,18:54:32
1600084541,27.85,117.17,36100,225,466,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,18:55:41
1600084594,27.77,117.08,36100,225,466,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,18:56:34
1600084653,27.69,116.98,36100,225,466,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,18:57:33
1600084710,27.6,116.88,36100,225,466,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,18:58:30
1600084770,27.51,116.78,36100,226,466,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,18:59:30
1600084835,27.41,116.66,36100,226,467,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:00:35
1600084893,27.33,116.56,36100,226,469,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:01:33
1600084959,27.23,116.44,36100,227,471,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:02:39
1600085019,27.14,116.33,36100,227,471,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:03:39
1600085070,27.06,116.24,36100,227,470,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:04:30
1600085130,26.97,116.14,36100,227,470,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:05:30
1600085190,26.88,116.03,36100,227,472,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:06:30
1600085248,26.8,115.93,36100,226,472,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:07:28
1600085307,26.71,115.82,36100,227,473,780301,PVG,SGN,CES7053,-64,A333,MU7053,2020-09-14,19:08:27
1600085368,26.62,115.71,36100,226,473,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:09:28
1600085421,26.55,115.63,36100,226,473,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:10:21
1600085485,26.45,115.51,36100,227,479,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:11:25
1600085540,26.36,115.4,36100,227,478,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:12:20
1600085585,26.29,115.32,36100,227,478,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:13:05
1600085649,26.21,115.22,36100,227,478,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:14:09
1600085717,26.11,115.1,36100,228,477,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:15:17
1600085777,26.03,115.0,36100,228,480,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:16:17
1600085825,25.97,114.92,36100,228,480,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:17:05
1600085897,25.88,114.81,36100,228,480,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:18:17
1600085949,25.68,114.75,36100,201,488,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:19:09
1600086007,25.56,114.7,36100,200,489,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:20:07
1600086070,25.42,114.64,36100,200,489,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:21:10
1600086127,25.3,114.59,36100,200,489,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:22:07
1600086191,25.17,114.53,36100,200,489,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:23:11
1600086250,25.04,114.48,36100,200,488,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:24:10
1600086308,24.92,114.43,36100,200,488,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:25:08
1600086368,24.79,114.37,36100,212,488,780301,PVG,SGN,CES7053,-64,A333,MU7053,2020-09-14,19:26:08
1600086432,24.67,114.28,36100,215,490,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:27:12
1600086486,24.58,114.2,36100,215,489,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:28:06
1600086544,24.47,114.12,36100,216,488,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:29:04
1600086607,24.36,114.02,36100,221,487,780301,PVG,SGN,CES7053,64,A333,MU7053,2020-09-14,19:30:07
1600086671,24.25,113.91,36100,221,488,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:31:11
1600086735,24.14,113.81,36100,221,488,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:32:15
1600086796,24.04,113.71,36100,221,487,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:33:16
1600086856,23.94,113.61,36100,221,487,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:34:16
1600086911,23.84,113.52,36100,221,485,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:35:11
1600086972,23.73,113.44,36100,207,487,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:36:12
1600087032,23.61,113.38,36100,201,486,780301,PVG,SGN,CES7053,-64,A333,MU7053,2020-09-14,19:37:12
1600087086,23.5,113.33,36100,213,485,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:38:06
1600087147,23.39,113.23,36100,217,484,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:39:07
1600087203,23.29,113.15,36075,218,487,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:40:03
1600087272,23.17,113.05,36100,218,482,780301,PVG,SGN,CES7053,-64,A333,MU7053,2020-09-14,19:41:12
1600087332,23.06,112.96,36100,218,482,780301,PVG,SGN,CES7053,64,A333,MU7053,2020-09-14,19:42:12
1600087396,22.95,112.86,36100,222,484,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:43:16
1600087450,22.86,112.77,36100,212,481,780301,PVG,SGN,CES7053,-128,A333,MU7053,2020-09-14,19:44:10
1600087511,22.74,112.7,36100,208,478,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:45:11
1600087576,22.61,112.63,36100,208,480,780301,PVG,SGN,CES7053,64,A333,MU7053,2020-09-14,19:46:16
1600087631,22.5,112.57,36100,207,479,780301,PVG,SGN,CES7053,64,A333,MU7053,2020-09-14,19:47:11
1600087691,22.38,112.52,36100,198,479,780301,PVG,SGN,CES7053,64,A333,MU7053,2020-09-14,19:48:11
1600087751,22.25,112.47,36100,198,483,780301,PVG,SGN,CES7053,64,A333,MU7053,2020-09-14,19:49:11
1600087809,22.13,112.43,36100,198,484,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:50:09
1600087865,22.01,112.4,36100,188,485,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:51:05
1600087932,21.86,112.38,36100,184,487,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:52:12
1600087996,21.71,112.37,36100,182,486,780301,PVG,SGN,CES7053,-128,A333,MU7053,2020-09-14,19:53:16
1600088055,21.58,112.37,36100,182,487,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:54:15
1600088110,21.46,112.36,36100,183,483,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:55:10
1600088175,21.31,112.36,36100,177,479,780301,PVG,SGN,CES7053,64,A333,MU7053,2020-09-14,19:56:15
1600088231,21.19,112.36,36100,177,482,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:57:11
1600088289,21.06,112.37,36050,177,480,780301,PVG,SGN,CES7053,-320,A333,MU7053,2020-09-14,19:58:09
1600088348,20.92,112.37,35975,177,478,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,19:59:08
1600088412,20.78,112.38,36000,177,483,780301,PVG,SGN,CES7053,-64,A333,MU7053,2020-09-14,20:00:12
1600088469,20.66,112.39,36000,176,483,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,20:01:09
1600088532,20.52,112.4,36000,169,480,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,20:02:12
1600088590,20.4,112.43,36000,168,479,780301,PVG,SGN,CES7053,0,A333,MU7053,2020-09-14,20:03:10
