timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1600475256,22.32,113.93,0,56,10,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,07:27:36
1600475306,22.32,113.93,0,351,9,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,07:28:26
1600475371,22.32,113.93,0,348,0,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,07:29:31
1600475415,22.32,113.93,0,180,0,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,07:30:15
1600475490,22.32,113.93,0,180,0,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,07:31:30
1600475551,22.32,113.93,0,311,0,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,07:32:31
1600475599,22.32,113.93,0,334,22,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,07:33:19
1600475682,22.32,113.93,0,250,32,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,07:34:42
1600475742,22.32,113.92,0,250,22,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,07:35:42
1600475796,22.32,113.92,0,289,23,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,07:36:36
1600475856,22.31,113.91,0,250,21,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,07:37:36
1600475913,22.31,113.91,0,250,28,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,07:38:33
1600475968,22.31,113.9,0,250,18,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,07:39:28
1600476028,22.31,113.9,0,250,12,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,07:40:28
1600476089,22.31,113.9,0,54,0,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,07:41:29
1600476145,22.31,113.9,0,235,0,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,07:42:25
1600476203,22.31,113.9,0,67,25,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,07:43:23
1600476262,22.32,113.92,100,70,161,789241,HKG,SGN,CPA767,1216,A359,CX767,2020-09-19,07:44:22
1600476320,22.33,113.96,2175,78,175,789241,HKG,SGN,CPA767,1344,A359,CX767,2020-09-19,07:45:20
1600476380,22.34,114.02,4375,76,217,789241,HKG,SGN,CPA767,2176,A359,CX767,2020-09-19,07:46:20
1600476441,22.33,114.08,6300,149,254,789241,HKG,SGN,CPA767,1024,A359,CX767,2020-09-19,07:47:21
1600476500,22.24,114.09,7325,182,331,789241,HKG,SGN,CPA767,2688,A359,CX767,2020-09-19,07:48:20
1600476537,22.19,114.09,9000,180,335,789241,HKG,SGN,CPA767,2368,A359,CX767,2020-09-19,07:48:57
1600476618,22.06,114.08,11850,182,358,789241,HKG,SGN,CPA767,1600,A359,CX767,2020-09-19,07:50:18
1600476681,21.95,114.07,13450,184,385,789241,HKG,SGN,CPA767,3648,A359,CX767,2020-09-19,07:51:21
1600476744,21.84,114.06,16600,183,364,789241,HKG,SGN,CPA767,704,A359,CX767,2020-09-19,07:52:24
1600476805,21.74,114.05,17600,183,396,789241,HKG,SGN,CPA767,1664,A359,CX767,2020-09-19,07:53:25
1600476855,21.64,114.05,18900,183,405,789241,HKG,SGN,CPA767,1536,A359,CX767,2020-09-19,07:54:15
1600476916,21.53,114.04,20300,183,416,789241,HKG,SGN,CPA767,1472,A359,CX767,2020-09-19,07:55:16
1600476970,21.42,114.03,21475,183,425,789241,HKG,SGN,CPA767,1216,A359,CX767,2020-09-19,07:56:10
1600477029,21.3,114.03,22675,184,434,789241,HKG,SGN,CPA767,1472,A359,CX767,2020-09-19,07:57:09
1600477090,21.18,114.0,23925,196,446,789241,HKG,SGN,CPA767,1024,A359,CX767,2020-09-19,07:58:10
1600477150,21.06,113.96,25175,195,456,789241,HKG,SGN,CPA767,960,A359,CX767,2020-09-19,07:59:10
1600477193,20.97,113.94,25950,192,463,789241,HKG,SGN,CPA767,1152,A359,CX767,2020-09-19,07:59:53
1600477270,20.8,113.92,27375,184,478,789241,HKG,SGN,CPA767,1088,A359,CX767,2020-09-19,08:01:10
1600477331,20.71,113.85,27375,217,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:02:11
1600477391,20.62,113.78,27375,217,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:03:11
1600477451,20.53,113.71,27375,217,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:04:11
1600477511,20.44,113.64,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:05:11
1600477571,20.34,113.56,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:06:11
1600477631,20.23,113.48,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:07:11
1600477691,20.13,113.4,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:08:11
1600477751,20.02,113.32,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:09:11
1600477811,19.91,113.23,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:10:11
1600477871,19.8,113.15,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:11:11
1600477931,19.7,113.07,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:12:11
1600478003,19.57,112.97,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:13:23
1600478063,19.46,112.88,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:14:23
1600478123,19.35,112.8,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:15:23
1600478183,19.25,112.72,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:16:23
1600478243,19.14,112.64,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:17:23
1600478303,19.03,112.55,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:18:23
1600478363,18.92,112.47,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:19:23
1600478423,18.82,112.39,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:20:23
1600478471,18.73,112.32,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:21:11
1600478543,18.6,112.22,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:22:23
1600478603,18.49,112.14,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:23:23
1600478663,18.39,112.06,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:24:23
1600478723,18.28,111.98,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:25:23
1600478783,18.17,111.9,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:26:23
1600478843,18.06,111.81,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:27:23
1600478903,17.96,111.73,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:28:23
1600478963,17.85,111.65,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:29:23
1600479023,17.74,111.57,27375,216,478,789241,HKG,SGN,CPA767,0,A359,CX767,2020-09-19,08:30:23
