timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1600769352,15.74,91.07,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:09:12
1600769412,15.71,91.19,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:10:12
1600769472,15.68,91.31,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:11:12
1600769532,15.64,91.43,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:12:12
1600769592,15.61,91.55,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:13:12
1600769640,15.58,91.64,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:14:00
1600769700,15.55,91.76,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:15:00
1600769760,15.52,91.88,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:16:00
1600769820,15.48,92.0,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:17:00
1600769880,15.45,92.12,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:18:00
1600769940,15.42,92.24,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:19:00
1600770000,15.38,92.36,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:20:00
1600770060,15.35,92.48,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:21:00
1600770120,15.32,92.6,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:22:00
1600770180,15.29,92.72,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:23:00
1600770228,15.26,92.82,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:23:48
1600770288,15.23,92.94,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:24:48
1600770348,15.19,93.06,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:25:48
1600770409,15.16,93.18,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:26:49
1600770469,15.13,93.3,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:27:49
1600770529,15.09,93.42,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:28:49
1600770601,15.05,93.56,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:30:01
1600770661,15.02,93.68,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:31:01
1600770721,14.99,93.8,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:32:01
1600770781,14.95,93.92,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:33:01
1600770841,14.92,94.04,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:34:01
1600770889,14.89,94.13,37000,106,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:34:49
1600770949,14.86,94.25,37000,107,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:35:49
1600771021,14.82,94.4,37000,107,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:37:01
1600771069,14.79,94.49,37000,107,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:37:49
1600771129,14.75,94.61,37000,107,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:38:49
1600771189,14.72,94.73,37000,107,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:39:49
1600771249,14.68,94.85,37000,107,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:40:49
1600771309,14.65,94.97,37000,107,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:41:49
1600771369,14.61,95.09,37000,107,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:42:49
1600771416,14.77,95.46,39000,103,444,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:43:36
1600771489,14.73,95.59,39000,108,444,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:44:49
1600771549,14.7,95.69,39000,108,444,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:45:49
1600771609,14.67,95.79,39000,108,444,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:46:49
1600771669,14.64,95.9,39000,108,444,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:47:49
1600771729,14.6,96.01,39000,108,444,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:48:49
1600771801,14.56,96.15,39000,108,444,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:50:01
1600771845,14.56,96.34,39000,103,441,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:50:45
1600771909,14.52,96.45,39000,109,441,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:51:49
1600771969,14.49,96.55,39000,109,441,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:52:49
1600772039,14.46,96.74,39000,84,441,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:53:59
1600772083,14.44,96.83,39000,104,441,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:54:43
1600772155,14.41,96.98,39000,104,441,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:55:55
1600772216,14.38,97.1,39000,104,440,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:56:56
1600772276,14.35,97.22,39000,104,440,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:57:56
1600772333,14.32,97.34,39000,104,439,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:58:53
1600772397,14.28,97.46,39000,110,438,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,17:59:57
1600772445,14.25,97.54,39000,110,438,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:00:45
1600772510,14.23,97.7,39000,98,436,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:01:50
1600772567,14.22,97.81,39000,96,433,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:02:47
1600772627,14.2,97.94,39000,96,435,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:03:47
1600772691,14.19,98.07,39000,96,435,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:04:51
1600772751,14.18,98.19,39000,96,435,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:05:51
1600772815,14.16,98.32,39000,96,436,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:06:55
1600772873,14.15,98.45,39000,96,437,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:07:53
1600772938,14.13,98.58,39000,96,438,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:08:58
1600772995,14.12,98.7,39000,96,437,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:09:55
1600773050,14.11,98.81,39000,96,437,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:10:50
1600773107,14.09,98.93,39000,96,439,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:11:47
1600773170,14.08,99.06,39000,96,440,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:12:50
1600773228,14.06,99.18,39000,96,442,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:13:48
1600773288,14.05,99.31,39000,96,442,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:14:48
1600773352,14.03,99.44,39000,96,442,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:15:52
1600773416,14.02,99.57,39000,96,444,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:16:56
1600773472,14.0,99.69,39000,96,448,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:17:52
1600773532,13.99,99.82,39000,96,451,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:18:52
1600773596,13.97,99.95,39000,96,448,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:19:56
1600773652,13.96,100.07,39000,96,445,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:20:52
1600773708,13.94,100.19,39000,97,444,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:21:48
1600773763,13.93,100.3,39000,97,444,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:22:43
1600773824,13.91,100.43,39000,97,441,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:23:44
1600773884,13.9,100.56,39000,97,443,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:24:44
1600773948,13.85,100.68,39000,116,452,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:25:48
1600774011,13.79,100.8,39000,116,452,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:26:51
1600774072,13.73,100.92,39000,116,450,896451,DXB,SGN,UAE392,64,B77W,EK392,2020-09-22,18:27:52
1600774135,13.67,101.04,39000,116,448,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:28:55
1600774195,13.62,101.15,39000,116,447,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:29:55
1600774255,13.56,101.27,39000,116,447,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:30:55
1600774312,13.51,101.38,39000,117,449,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:31:52
1600774376,13.45,101.5,39000,117,449,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:32:56
1600774431,13.39,101.6,39000,117,450,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:33:51
1600774495,13.33,101.72,39000,116,452,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:34:55
1600774560,13.27,101.85,39000,116,453,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:36:00
1600774620,13.22,101.96,39000,116,453,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:37:00
1600774676,13.17,102.07,39000,116,451,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:37:56
1600774739,13.11,102.19,39000,116,450,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:38:59
1600774804,13.05,102.32,39000,116,449,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:40:04
1600774866,12.99,102.43,39000,116,449,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:41:06
1600774921,12.94,102.54,39000,121,450,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:42:01
1600774988,12.86,102.66,39000,121,451,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:43:08
1600775052,12.79,102.78,39000,121,452,896451,DXB,SGN,UAE392,64,B77W,EK392,2020-09-22,18:44:12
1600775108,12.73,102.88,39000,121,453,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:45:08
1600775167,12.67,102.99,39000,121,453,896451,DXB,SGN,UAE392,64,B77W,EK392,2020-09-22,18:46:07
1600775227,12.6,103.1,39000,117,451,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:47:07
1600775290,12.54,103.22,39000,116,451,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:48:10
1600775350,12.49,103.33,39000,116,453,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:49:10
1600775419,12.42,103.47,39000,116,455,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:50:19
1600775480,12.37,103.58,39000,117,457,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:51:20
1600775540,12.31,103.7,39000,114,454,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:52:20
1600775599,12.25,103.81,39000,114,456,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:53:19
1600775656,12.21,103.92,39000,114,459,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:54:16
1600775712,12.16,104.04,39000,114,460,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:55:12
1600775771,12.1,104.15,39000,118,465,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:56:11
1600775832,12.04,104.27,39000,127,471,896451,DXB,SGN,UAE392,-64,B77W,EK392,2020-09-22,18:57:12
1600775887,11.96,104.36,39000,132,473,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:58:07
1600775952,11.86,104.46,39000,137,474,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,18:59:12
1600776015,11.74,104.55,39000,144,475,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,19:00:15
1600776066,11.65,104.62,39000,144,472,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,19:01:06
1600776137,11.53,104.71,39000,144,475,896451,DXB,SGN,UAE392,-64,B77W,EK392,2020-09-22,19:02:17
1600776201,11.41,104.79,39000,144,477,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,19:03:21
1600776263,11.3,104.87,39000,144,480,896451,DXB,SGN,UAE392,0,B77W,EK392,2020-09-22,19:04:23
1600776321,11.19,104.95,38375,141,475,896451,DXB,SGN,UAE392,-960,B77W,EK392,2020-09-22,19:05:21
