,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
96,1600948163,5.29,100.27,0,83,0,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-24,18:49:23
74,1600948224,5.29,100.27,0,75,10,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-24,18:50:24
53,1600948290,5.29,100.27,0,204,2,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-24,18:51:30
56,1600948525,5.29,100.27,0,351,16,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-24,18:55:25
35,1600948593,5.29,100.27,0,180,0,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-24,18:56:33
25,1600948644,5.29,100.27,0,348,25,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-24,18:57:24
60,1600948782,5.34,100.32,2650,41,209,4CAB31,PEN,SGN,AHK562,1088,A332,LD562,2020-09-24,18:59:42
26,1600948842,5.39,100.37,5150,83,276,4CAB31,PEN,SGN,AHK562,3776,A332,LD562,2020-09-24,19:00:42
46,1600948904,5.39,100.45,9075,86,292,4CAB31,PEN,SGN,AHK562,3776,A332,LD562,2020-09-24,19:01:44
83,1600948962,5.39,100.54,12000,87,327,4CAB31,PEN,SGN,AHK562,3200,A332,LD562,2020-09-24,19:02:42
65,1600949032,5.4,100.64,15975,86,343,4CAB31,PEN,SGN,AHK562,3264,A332,LD562,2020-09-24,19:03:52
40,1600949088,5.4,100.74,18450,88,368,4CAB31,PEN,SGN,AHK562,2880,A332,LD562,2020-09-24,19:04:48
52,1600949145,5.41,100.83,21075,90,383,4CAB31,PEN,SGN,AHK562,2880,A332,LD562,2020-09-24,19:05:45
79,1600949204,5.4,100.94,23600,90,394,4CAB31,PEN,SGN,AHK562,2496,A332,LD562,2020-09-24,19:06:44
14,1600949264,5.4,101.05,25650,90,409,4CAB31,PEN,SGN,AHK562,1536,A332,LD562,2020-09-24,19:07:44
51,1600949327,5.4,101.18,27625,89,424,4CAB31,PEN,SGN,AHK562,2048,A332,LD562,2020-09-24,19:08:47
16,1600949388,5.4,101.3,29075,89,439,4CAB31,PEN,SGN,AHK562,1856,A332,LD562,2020-09-24,19:09:48
98,1600949449,5.4,101.42,30900,90,443,4CAB31,PEN,SGN,AHK562,1984,A332,LD562,2020-09-24,19:10:49
84,1600949507,5.4,101.54,33175,91,430,4CAB31,PEN,SGN,AHK562,2624,A332,LD562,2020-09-24,19:11:47
101,1600949567,5.4,101.66,34750,90,433,4CAB31,PEN,SGN,AHK562,2304,A332,LD562,2020-09-24,19:12:47
92,1600949625,5.44,101.76,36475,50,430,4CAB31,PEN,SGN,AHK562,1664,A332,LD562,2020-09-24,19:13:45
27,1600949684,5.52,101.86,37025,50,441,4CAB31,PEN,SGN,AHK562,128,A332,LD562,2020-09-24,19:14:44
72,1600949744,5.6,101.95,37000,50,440,4CAB31,PEN,SGN,AHK562,-128,A332,LD562,2020-09-24,19:15:44
75,1600949805,5.67,102.05,37000,50,439,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-24,19:16:45
29,1600949861,5.75,102.13,37000,50,442,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-24,19:17:41
49,1600949920,5.82,102.23,37000,50,446,4CAB31,PEN,SGN,AHK562,64,A332,LD562,2020-09-24,19:18:40
58,1600949981,5.9,102.33,37000,50,442,4CAB31,PEN,SGN,AHK562,0,A332,LD562,2020-09-24,19:19:41
71,1600950040,5.98,102.42,37000,50,439,4CAB31,PEN,SGN,AHK562,64,A332,LD562,2020-09-24,19:20:40
36,1600950101,6.07,102.5,37000,38,443,4CAB31,PEN,SGN,AHK562,-64,A332,LD562,2020-09-24,19:21:41
34,1600950164,6.17,102.59,37000,40,441,4CAB31,PEN,SGN,AHK562,64,A332,LD562,2020-09-24,19:22:44
