timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1601048620,13.69,100.74,125,194,108,3C4585,BKK,SGN,BOX620,64,B77L,3S620,2020-09-25,22:43:40
1601048687,13.64,100.73,1900,193,176,3C4585,BKK,SGN,BOX620,1664,B77L,3S620,2020-09-25,22:44:47
1601048751,13.59,100.72,3650,162,222,3C4585,BKK,SGN,BOX620,256,B77L,3S620,2020-09-25,22:45:51
1601048812,13.53,100.77,5475,133,279,3C4585,BKK,SGN,BOX620,2752,B77L,3S620,2020-09-25,22:46:52
1601048877,13.51,100.86,8100,86,296,3C4585,BKK,SGN,BOX620,2368,B77L,3S620,2020-09-25,22:47:57
1601048941,13.52,100.95,10550,86,312,3C4585,BKK,SGN,BOX620,1152,B77L,3S620,2020-09-25,22:49:01
1601049001,13.51,101.04,12100,110,371,3C4585,BKK,SGN,BOX620,1856,B77L,3S620,2020-09-25,22:50:01
1601049061,13.47,101.15,14775,111,405,3C4585,BKK,SGN,BOX620,2880,B77L,3S620,2020-09-25,22:51:01
1601049125,13.42,101.27,17975,110,418,3C4585,BKK,SGN,BOX620,3520,B77L,3S620,2020-09-25,22:52:05
1601049189,13.38,101.39,20775,110,429,3C4585,BKK,SGN,BOX620,2432,B77L,3S620,2020-09-25,22:53:09
1601049249,13.34,101.5,23000,111,444,3C4585,BKK,SGN,BOX620,2304,B77L,3S620,2020-09-25,22:54:09
1601049316,13.28,101.64,25375,111,455,3C4585,BKK,SGN,BOX620,2240,B77L,3S620,2020-09-25,22:55:16
1601049373,13.24,101.75,27075,111,468,3C4585,BKK,SGN,BOX620,1728,B77L,3S620,2020-09-25,22:56:13
1601049432,13.19,101.88,29475,111,465,3C4585,BKK,SGN,BOX620,3264,B77L,3S620,2020-09-25,22:57:12
1601049492,13.15,102.0,32050,111,450,3C4585,BKK,SGN,BOX620,1664,B77L,3S620,2020-09-25,22:58:12
1601049557,13.1,102.13,33000,111,468,3C4585,BKK,SGN,BOX620,64,B77L,3S620,2020-09-25,22:59:17
1601049620,13.05,102.26,33000,111,469,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:00:20
1601049677,13.0,102.38,33000,115,470,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:01:17
1601049735,12.94,102.49,33000,120,472,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:02:15
1601049795,12.87,102.6,33000,120,472,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:03:15
1601049855,12.81,102.72,33000,120,474,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:04:15
1601049914,12.74,102.84,33000,120,476,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:05:14
1601049974,12.67,102.95,33000,121,477,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:06:14
1601050039,12.6,103.08,33000,121,478,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:07:19
1601050099,12.53,103.19,33000,121,480,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:08:19
1601050158,12.46,103.31,33000,120,483,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:09:18
1601050221,12.39,103.43,33000,121,483,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:10:21
1601050277,12.32,103.54,33000,121,483,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:11:17
1601050339,12.25,103.66,33000,121,480,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:12:19
1601050398,12.18,103.78,33000,121,481,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:13:18
1601050458,12.11,103.89,33000,121,482,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:14:18
1601050515,12.05,104.0,33000,121,483,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:15:15
1601050575,11.98,104.12,33000,121,485,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:16:15
1601050633,11.91,104.23,33000,121,486,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:17:13
1601050698,11.83,104.36,33000,121,484,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:18:18
1601050753,11.77,104.47,33000,121,486,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:19:13
1601050815,11.7,104.59,33000,121,486,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:20:15
1601050879,11.62,104.72,33000,121,487,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:21:19
1601050943,11.55,104.84,33000,117,489,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:22:23
1601051007,11.49,104.98,33000,112,492,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:23:27
1601051062,11.44,105.1,32425,111,489,3C4585,BKK,SGN,BOX620,-1088,B77L,3S620,2020-09-25,23:24:22
1601051123,11.39,105.23,31475,112,484,3C4585,BKK,SGN,BOX620,-896,B77L,3S620,2020-09-25,23:25:23
1601051187,11.34,105.36,30575,112,477,3C4585,BKK,SGN,BOX620,-576,B77L,3S620,2020-09-25,23:26:27
1601051246,11.29,105.48,29850,112,469,3C4585,BKK,SGN,BOX620,-832,B77L,3S620,2020-09-25,23:27:26
1601051306,11.24,105.61,29025,112,464,3C4585,BKK,SGN,BOX620,-704,B77L,3S620,2020-09-25,23:28:26
1601051362,11.19,105.72,28250,112,455,3C4585,BKK,SGN,BOX620,-1856,B77L,3S620,2020-09-25,23:29:22
1601051421,11.15,105.83,26275,112,441,3C4585,BKK,SGN,BOX620,-1856,B77L,3S620,2020-09-25,23:30:21
1601051477,11.11,105.94,24475,111,431,3C4585,BKK,SGN,BOX620,-2112,B77L,3S620,2020-09-25,23:31:17
1601051535,11.07,106.05,22600,109,422,3C4585,BKK,SGN,BOX620,-1920,B77L,3S620,2020-09-25,23:32:15
1601051593,11.03,106.15,20825,111,414,3C4585,BKK,SGN,BOX620,-1536,B77L,3S620,2020-09-25,23:33:13
1601051651,10.96,106.24,19500,137,414,3C4585,BKK,SGN,BOX620,-1408,B77L,3S620,2020-09-25,23:34:11
1601051705,10.88,106.31,18225,138,404,3C4585,BKK,SGN,BOX620,-1792,B77L,3S620,2020-09-25,23:35:05
1601051763,10.81,106.39,16550,126,391,3C4585,BKK,SGN,BOX620,-1792,B77L,3S620,2020-09-25,23:36:03
1601051818,10.75,106.47,14975,126,384,3C4585,BKK,SGN,BOX620,-1728,B77L,3S620,2020-09-25,23:36:58
1601051886,10.7,106.58,12875,101,371,3C4585,BKK,SGN,BOX620,-1792,B77L,3S620,2020-09-25,23:38:06
1601051944,10.7,106.68,11400,79,314,3C4585,BKK,SGN,BOX620,-1280,B77L,3S620,2020-09-25,23:39:04
1601052000,10.72,106.75,9525,74,283,3C4585,BKK,SGN,BOX620,-2240,B77L,3S620,2020-09-25,23:40:00
1601052062,10.74,106.83,7275,74,269,3C4585,BKK,SGN,BOX620,-1408,B77L,3S620,2020-09-25,23:41:02
1601052125,10.77,106.9,5300,43,241,3C4585,BKK,SGN,BOX620,-1920,B77L,3S620,2020-09-25,23:42:05
1601052182,10.83,106.9,3500,325,235,3C4585,BKK,SGN,BOX620,-1024,B77L,3S620,2020-09-25,23:43:02
1601052236,10.86,106.85,2950,302,207,3C4585,BKK,SGN,BOX620,-256,B77L,3S620,2020-09-25,23:43:56
1601052302,10.87,106.8,2300,252,176,3C4585,BKK,SGN,BOX620,-1088,B77L,3S620,2020-09-25,23:45:02
1601052361,10.86,106.76,1975,249,143,3C4585,BKK,SGN,BOX620,-896,B77L,3S620,2020-09-25,23:46:01
1601052419,10.85,106.73,1300,249,135,3C4585,BKK,SGN,BOX620,-768,B77L,3S620,2020-09-25,23:46:59
1601052473,10.83,106.69,650,249,142,3C4585,BKK,SGN,BOX620,-768,B77L,3S620,2020-09-25,23:47:53
1601052532,10.82,106.66,50,249,118,3C4585,BKK,SGN,BOX620,-192,B77L,3S620,2020-09-25,23:48:52
1601052590,10.81,106.64,0,239,27,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:49:50
1601052642,10.81,106.64,0,157,18,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:50:42
1601052697,10.81,106.65,0,95,23,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:51:37
1601052757,10.81,106.65,0,70,17,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:52:37
1601052818,10.82,106.66,0,70,20,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:53:38
1601052882,10.82,106.66,0,182,21,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:54:42
1601052935,10.81,106.66,0,98,11,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:55:35
1601052951,10.81,106.66,0,98,12,3C4585,BKK,SGN,BOX620,0,B77L,3S620,2020-09-25,23:55:51
