timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1601079473,1.3,103.97,2875,204,194,76AA75,SIN,SGN,JSA555,3456,A320,3K555,2020-09-26,07:17:53
1601079534,1.26,104.0,6200,87,219,76AA75,SIN,SGN,JSA555,3584,A320,3K555,2020-09-26,07:18:54
1601079598,1.31,104.03,9275,358,237,76AA75,SIN,SGN,JSA555,1920,A320,3K555,2020-09-26,07:19:58
1601079657,1.39,104.02,10875,357,325,76AA75,SIN,SGN,JSA555,1344,A320,3K555,2020-09-26,07:20:57
1601079714,1.48,104.0,13475,341,353,76AA75,SIN,SGN,JSA555,2944,A320,3K555,2020-09-26,07:21:54
1601079769,1.57,103.97,16075,341,367,76AA75,SIN,SGN,JSA555,3136,A320,3K555,2020-09-26,07:22:49
1601079830,1.67,103.94,18600,341,383,76AA75,SIN,SGN,JSA555,2368,A320,3K555,2020-09-26,07:23:50
1601079886,1.77,103.91,20875,351,389,76AA75,SIN,SGN,JSA555,1984,A320,3K555,2020-09-26,07:24:46
1601079950,1.88,103.9,22725,356,408,76AA75,SIN,SGN,JSA555,2112,A320,3K555,2020-09-26,07:25:50
1601080014,2.01,103.9,24525,356,422,76AA75,SIN,SGN,JSA555,1536,A320,3K555,2020-09-26,07:26:54
1601080077,2.13,103.89,26050,356,439,76AA75,SIN,SGN,JSA555,1088,A320,3K555,2020-09-26,07:27:57
1601080143,2.27,103.88,27700,356,450,76AA75,SIN,SGN,JSA555,1536,A320,3K555,2020-09-26,07:29:03
1601080196,2.38,103.87,28925,359,457,76AA75,SIN,SGN,JSA555,1280,A320,3K555,2020-09-26,07:29:56
1601080262,2.52,103.89,30525,8,460,76AA75,SIN,SGN,JSA555,704,A320,3K555,2020-09-26,07:31:02
1601080323,2.65,103.91,31725,8,469,76AA75,SIN,SGN,JSA555,1088,A320,3K555,2020-09-26,07:32:03
1601080379,2.77,103.93,33300,8,463,76AA75,SIN,SGN,JSA555,1728,A320,3K555,2020-09-26,07:32:59
1601080435,2.89,103.95,34650,8,461,76AA75,SIN,SGN,JSA555,1536,A320,3K555,2020-09-26,07:33:55
1601080496,3.02,103.97,36425,8,451,76AA75,SIN,SGN,JSA555,2368,A320,3K555,2020-09-26,07:34:56
1601080559,3.15,103.99,37975,8,439,76AA75,SIN,SGN,JSA555,384,A320,3K555,2020-09-26,07:35:59
1601080621,3.27,104.0,38000,8,438,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,07:37:01
1601080682,3.39,104.02,38000,8,439,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,07:38:02
1601080742,3.51,104.04,38000,8,440,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,07:39:02
1601080799,3.63,104.06,38000,8,441,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,07:39:59
1601080857,3.75,104.08,38000,8,440,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,07:40:57
1601080914,3.86,104.09,38025,8,437,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,07:41:54
1601080977,3.99,104.11,37975,8,435,76AA75,SIN,SGN,JSA555,-64,A320,3K555,2020-09-26,07:42:57
1601081034,4.1,104.13,37975,8,437,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,07:43:54
1601081098,4.23,104.15,38000,8,437,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,07:44:58
1601081160,4.36,104.17,37975,8,438,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,07:46:00
1601081221,4.48,104.19,38000,8,440,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,07:47:01
1601081281,4.6,104.2,38025,8,439,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,07:48:01
1601081342,4.72,104.22,38000,8,438,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,07:49:02
1601081396,4.83,104.24,38000,7,439,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,07:49:56
1601081454,4.95,104.24,38000,356,448,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,07:50:54
1601081513,5.08,104.23,38000,356,448,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,07:51:53
1601081578,5.21,104.23,38000,356,449,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,07:52:58
1601081634,5.33,104.22,38000,356,449,76AA75,SIN,SGN,JSA555,64,A320,3K555,2020-09-26,07:53:54
1601081690,5.44,104.21,38025,356,448,76AA75,SIN,SGN,JSA555,64,A320,3K555,2020-09-26,07:54:50
1601081754,5.57,104.21,37975,356,449,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,07:55:54
1601081809,5.69,104.2,38000,356,448,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,07:56:49
1601081878,5.83,104.19,38000,356,448,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,07:57:58
1601081941,5.96,104.19,38000,356,448,76AA75,SIN,SGN,JSA555,64,A320,3K555,2020-09-26,07:59:01
1601081993,6.07,104.18,38025,356,448,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,07:59:53
1601082066,6.23,104.17,38000,356,448,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:01:06
1601082125,6.35,104.17,37975,357,447,76AA75,SIN,SGN,JSA555,-64,A320,3K555,2020-09-26,08:02:05
1601082183,6.47,104.16,38000,356,447,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:03:03
1601082254,6.61,104.15,38000,356,446,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:04:14
1601082297,6.71,104.15,38000,356,445,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:04:57
1601082360,6.84,104.14,38025,357,442,76AA75,SIN,SGN,JSA555,128,A320,3K555,2020-09-26,08:06:00
1601082424,6.94,104.17,38025,32,442,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:07:04
1601082482,7.08,104.16,38000,33,417,76AA75,SIN,SGN,JSA555,64,A320,3K555,2020-09-26,08:08:02
1601082548,7.18,104.23,38000,33,416,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:09:08
1601082589,7.25,104.27,37950,32,418,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:09:49
1601082671,7.38,104.36,38000,32,419,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:11:11
1601082724,7.47,104.42,38000,32,420,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:12:04
1601082796,7.58,104.48,38000,33,421,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:13:16
1601082855,7.69,104.55,38000,32,424,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:14:15
1601082892,7.75,104.59,38000,32,425,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:14:52
1601082959,7.85,104.67,38025,42,424,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:15:59
1601083021,7.94,104.76,38000,43,426,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:17:01
1601083089,8.04,104.85,38025,43,425,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:18:09
1601083145,8.12,104.93,38000,44,425,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:19:05
1601083206,8.21,105.01,38000,43,424,76AA75,SIN,SGN,JSA555,-64,A320,3K555,2020-09-26,08:20:06
1601083266,8.3,105.08,38000,29,430,76AA75,SIN,SGN,JSA555,64,A320,3K555,2020-09-26,08:21:06
1601083321,8.4,105.14,38000,30,430,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:22:01
1601083377,8.5,105.19,37975,30,433,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:22:57
1601083435,8.6,105.25,38000,30,435,76AA75,SIN,SGN,JSA555,64,A320,3K555,2020-09-26,08:23:55
1601083493,8.7,105.31,38025,30,435,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:24:53
1601083557,8.81,105.38,38000,30,436,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:25:57
1601083614,8.91,105.44,38000,30,436,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:26:54
1601083678,9.02,105.5,38025,30,437,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:27:58
1601083739,9.13,105.57,38025,30,436,76AA75,SIN,SGN,JSA555,-64,A320,3K555,2020-09-26,08:28:59
1601083799,9.23,105.63,37450,31,433,76AA75,SIN,SGN,JSA555,-768,A320,3K555,2020-09-26,08:29:59
1601083858,9.33,105.7,36450,35,437,76AA75,SIN,SGN,JSA555,-1024,A320,3K555,2020-09-26,08:30:58
1601083919,9.43,105.77,35500,34,438,76AA75,SIN,SGN,JSA555,-1088,A320,3K555,2020-09-26,08:31:59
1601083979,9.53,105.84,34525,34,443,76AA75,SIN,SGN,JSA555,-1024,A320,3K555,2020-09-26,08:32:59
1601084039,9.63,105.91,33550,34,445,76AA75,SIN,SGN,JSA555,-896,A320,3K555,2020-09-26,08:33:59
1601084102,9.74,105.99,32525,34,443,76AA75,SIN,SGN,JSA555,-1024,A320,3K555,2020-09-26,08:35:02
1601084161,9.84,106.06,30700,34,437,76AA75,SIN,SGN,JSA555,-2560,A320,3K555,2020-09-26,08:36:01
1601084227,9.95,106.13,27700,34,436,76AA75,SIN,SGN,JSA555,-2432,A320,3K555,2020-09-26,08:37:07
1601084286,10.04,106.2,25450,34,423,76AA75,SIN,SGN,JSA555,-2432,A320,3K555,2020-09-26,08:38:06
1601084343,10.13,106.27,23325,34,410,76AA75,SIN,SGN,JSA555,-2432,A320,3K555,2020-09-26,08:39:03
1601084402,10.22,106.33,21125,34,395,76AA75,SIN,SGN,JSA555,-2368,A320,3K555,2020-09-26,08:40:02
1601084457,10.31,106.39,19650,34,373,76AA75,SIN,SGN,JSA555,-2240,A320,3K555,2020-09-26,08:40:57
1601084521,10.39,106.45,17550,34,362,76AA75,SIN,SGN,JSA555,-2240,A320,3K555,2020-09-26,08:42:01
1601084578,10.47,106.51,15650,47,346,76AA75,SIN,SGN,JSA555,-1472,A320,3K555,2020-09-26,08:42:58
1601084643,10.52,106.59,13350,60,331,76AA75,SIN,SGN,JSA555,-3008,A320,3K555,2020-09-26,08:44:03
1601084707,10.57,106.68,10525,61,323,76AA75,SIN,SGN,JSA555,-3584,A320,3K555,2020-09-26,08:45:07
1601084762,10.61,106.76,7300,62,323,76AA75,SIN,SGN,JSA555,-3392,A320,3K555,2020-09-26,08:46:02
1601084822,10.66,106.82,5950,20,273,76AA75,SIN,SGN,JSA555,-1344,A320,3K555,2020-09-26,08:47:02
1601084880,10.73,106.84,4650,22,263,76AA75,SIN,SGN,JSA555,-896,A320,3K555,2020-09-26,08:48:00
1601084951,10.81,106.88,3700,22,249,76AA75,SIN,SGN,JSA555,-512,A320,3K555,2020-09-26,08:49:11
1601085006,10.86,106.88,3250,315,196,76AA75,SIN,SGN,JSA555,-448,A320,3K555,2020-09-26,08:50:06
1601085063,10.88,106.83,2875,283,171,76AA75,SIN,SGN,JSA555,-384,A320,3K555,2020-09-26,08:51:03
1601085119,10.87,106.79,2575,249,151,76AA75,SIN,SGN,JSA555,-768,A320,3K555,2020-09-26,08:51:59
1601085175,10.86,106.76,1850,248,138,76AA75,SIN,SGN,JSA555,-640,A320,3K555,2020-09-26,08:52:55
1601085243,10.84,106.72,1150,249,123,76AA75,SIN,SGN,JSA555,-640,A320,3K555,2020-09-26,08:54:03
1601085307,10.83,106.69,450,249,128,76AA75,SIN,SGN,JSA555,-704,A320,3K555,2020-09-26,08:55:07
1601085370,10.82,106.65,0,250,53,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:56:10
1601085384,10.82,106.65,0,244,34,76AA75,SIN,SGN,JSA555,0,A320,3K555,2020-09-26,08:56:24
