,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
95,1601547021,15.73,91.02,37000,105,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:10:21
71,1601547093,15.69,91.17,37000,106,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:11:33
146,1601547153,15.65,91.3,37000,106,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:12:33
143,1601547201,15.62,91.4,37000,106,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:13:21
93,1601547273,15.58,91.55,37000,106,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:14:33
65,1601547333,15.55,91.67,37000,106,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:15:33
134,1601547393,15.51,91.8,37000,106,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:16:33
126,1601547453,15.48,91.92,37000,106,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:17:33
145,1601547513,15.44,92.05,37000,106,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:18:33
28,1601547573,15.41,92.17,37000,106,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:19:33
91,1601547633,15.38,92.3,37000,106,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:20:33
118,1601547693,15.34,92.42,37000,106,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:21:33
56,1601547753,15.31,92.55,37000,106,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:22:33
151,1601547813,15.27,92.67,37000,106,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:23:33
41,1601547861,15.24,92.77,37000,106,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:24:21
15,1601547933,15.2,92.92,37000,106,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:25:33
34,1601547981,15.18,93.02,37000,106,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:26:21
4,1601548041,15.14,93.14,37000,106,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:27:21
139,1601548101,15.11,93.27,37000,106,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:28:21
74,1601548161,15.07,93.39,37000,106,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:29:21
70,1601548221,15.04,93.52,37000,106,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:30:21
156,1601548281,15.0,93.64,37000,106,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:31:21
92,1601548341,14.97,93.77,37000,106,451,8963D0,DXB,SGN,UAE392,0,B77W,EK392,2020-10-01,17:32:21
