timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1602596816,1.3,103.97,2250,192,215,8A07EC,SIN,SGN,MYU8816,2880,B733,2Y8816,2020-10-13,20:46:56
1602596881,1.26,104.02,5075,69,262,8A07EC,SIN,SGN,MYU8816,3136,B733,2Y8816,2020-10-13,20:48:01
1602596943,1.32,104.05,7825,340,290,8A07EC,SIN,SGN,MYU8816,2624,B733,2Y8816,2020-10-13,20:49:03
1602597004,1.4,104.03,10775,345,295,8A07EC,SIN,SGN,MYU8816,1088,B733,2Y8816,2020-10-13,20:50:04
1602597056,1.48,104.0,12050,342,340,8A07EC,SIN,SGN,MYU8816,2112,B733,2Y8816,2020-10-13,20:50:56
1602597117,1.57,103.97,14150,341,364,8A07EC,SIN,SGN,MYU8816,2112,B733,2Y8816,2020-10-13,20:51:57
1602597180,1.68,103.94,16475,341,377,8A07EC,SIN,SGN,MYU8816,2304,B733,2Y8816,2020-10-13,20:53:00
1602597237,1.77,103.91,18300,352,389,8A07EC,SIN,SGN,MYU8816,1664,B733,2Y8816,2020-10-13,20:53:57
1602597294,1.88,103.91,20150,359,396,8A07EC,SIN,SGN,MYU8816,1600,B733,2Y8816,2020-10-13,20:54:54
1602597354,1.99,103.9,21550,357,414,8A07EC,SIN,SGN,MYU8816,1728,B733,2Y8816,2020-10-13,20:55:54
1602597419,2.12,103.9,23600,356,413,8A07EC,SIN,SGN,MYU8816,1216,B733,2Y8816,2020-10-13,20:56:59
1602597481,2.24,103.89,24825,355,429,8A07EC,SIN,SGN,MYU8816,1664,B733,2Y8816,2020-10-13,20:58:01
1602597537,2.35,103.88,26175,355,433,8A07EC,SIN,SGN,MYU8816,1088,B733,2Y8816,2020-10-13,20:58:57
1602597590,2.46,103.87,27275,355,440,8A07EC,SIN,SGN,MYU8816,1024,B733,2Y8816,2020-10-13,20:59:50
1602597649,2.58,103.86,28500,356,442,8A07EC,SIN,SGN,MYU8816,1280,B733,2Y8816,2020-10-13,21:00:49
1602597708,2.7,103.86,29800,357,439,8A07EC,SIN,SGN,MYU8816,1792,B733,2Y8816,2020-10-13,21:01:48
1602597773,2.83,103.85,30000,356,438,8A07EC,SIN,SGN,MYU8816,64,B733,2Y8816,2020-10-13,21:02:53
1602597828,2.94,103.84,30000,357,438,8A07EC,SIN,SGN,MYU8816,-64,B733,2Y8816,2020-10-13,21:03:48
1602597893,3.07,103.86,30000,11,431,8A07EC,SIN,SGN,MYU8816,64,B733,2Y8816,2020-10-13,21:04:53
1602597952,3.19,103.89,30000,12,430,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816,2020-10-13,21:05:52
1602598011,3.3,103.91,30000,13,431,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816,2020-10-13,21:06:51
1602598073,3.42,103.94,30000,12,431,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816,2020-10-13,21:07:53
1602598127,3.53,103.96,30000,11,432,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816,2020-10-13,21:08:47
1602598186,3.64,103.99,30000,12,432,8A07EC,SIN,SGN,MYU8816,-64,B733,2Y8816,2020-10-13,21:09:46
1602598249,3.77,104.01,30000,12,437,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816,2020-10-13,21:10:49
1602598311,3.89,104.04,30000,12,438,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816,2020-10-13,21:11:51
1602598376,4.02,104.07,30000,11,440,8A07EC,SIN,SGN,MYU8816,0,B733,2Y8816,2020-10-13,21:12:56
1602598432,4.13,104.09,29975,11,439,8A07EC,SIN,SGN,MYU8816,-128,B733,2Y8816,2020-10-13,21:13:52
1602598494,4.25,104.11,30000,12,427,8A07EC,SIN,SGN,MYU8816,64,B733,2Y8816,2020-10-13,21:14:54
1602598554,4.35,104.13,30000,12,427,8A07EC,SIN,SGN,MYU8816,64,B733,2Y8816,2020-10-13,21:15:54
