timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1602593120,13.7,100.75,0,177,10,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-10-13,19:45:20
1602593176,13.7,100.75,0,241,0,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-10-13,19:46:16
1602593222,13.7,100.75,0,241,0,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-10-13,19:47:02
1602593293,13.7,100.75,0,241,0,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-10-13,19:48:13
1602593348,13.7,100.75,0,196,12,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-10-13,19:49:08
1602593413,13.7,100.74,0,194,28,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-10-13,19:50:13
1602593473,13.7,100.74,0,194,19,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-10-13,19:51:13
1602593532,13.69,100.74,0,196,21,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-10-13,19:52:12
1602593592,13.69,100.74,0,194,24,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-10-13,19:53:12
1602593646,13.68,100.74,0,194,19,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-10-13,19:54:06
1602593703,13.67,100.74,0,196,22,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-10-13,19:55:03
1602593745,13.67,100.74,0,213,24,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-10-13,19:55:45
1602593829,13.68,100.74,175,13,151,885968,BKK,SGN,TVJ3970,768,A321,VZ3970,2020-10-13,19:57:09
1602593892,13.73,100.75,3225,14,138,885968,BKK,SGN,TVJ3970,1216,A321,VZ3970,2020-10-13,19:58:12
1602593952,13.77,100.76,4375,37,190,885968,BKK,SGN,TVJ3970,960,A321,VZ3970,2020-10-13,19:59:12
1602594012,13.78,100.83,6175,88,256,885968,BKK,SGN,TVJ3970,2624,A321,VZ3970,2020-10-13,20:00:12
1602594072,13.78,100.9,8875,87,270,885968,BKK,SGN,TVJ3970,2752,A321,VZ3970,2020-10-13,20:01:12
1602594128,13.78,100.98,10725,117,308,885968,BKK,SGN,TVJ3970,832,A321,VZ3970,2020-10-13,20:02:08
1602594192,13.72,101.06,12800,125,336,885968,BKK,SGN,TVJ3970,3008,A321,VZ3970,2020-10-13,20:03:12
1602594253,13.66,101.14,14975,124,349,885968,BKK,SGN,TVJ3970,2240,A321,VZ3970,2020-10-13,20:04:13
1602594313,13.61,101.22,16975,124,362,885968,BKK,SGN,TVJ3970,1792,A321,VZ3970,2020-10-13,20:05:13
1602594368,13.55,101.3,18625,125,373,885968,BKK,SGN,TVJ3970,1856,A321,VZ3970,2020-10-13,20:06:08
1602594428,13.5,101.39,20225,116,383,885968,BKK,SGN,TVJ3970,1344,A321,VZ3970,2020-10-13,20:07:08
1602594484,13.45,101.49,21650,117,391,885968,BKK,SGN,TVJ3970,1920,A321,VZ3970,2020-10-13,20:08:04
1602594549,13.4,101.59,23275,117,402,885968,BKK,SGN,TVJ3970,1408,A321,VZ3970,2020-10-13,20:09:09
1602594613,13.34,101.7,24950,116,407,885968,BKK,SGN,TVJ3970,1536,A321,VZ3970,2020-10-13,20:10:13
1602594672,13.29,101.81,26250,116,415,885968,BKK,SGN,TVJ3970,1088,A321,VZ3970,2020-10-13,20:11:12
1602594732,13.24,101.91,27500,116,423,885968,BKK,SGN,TVJ3970,896,A321,VZ3970,2020-10-13,20:12:12
1602594793,13.19,102.03,28525,116,438,885968,BKK,SGN,TVJ3970,960,A321,VZ3970,2020-10-13,20:13:13
1602594856,13.13,102.15,29650,116,446,885968,BKK,SGN,TVJ3970,896,A321,VZ3970,2020-10-13,20:14:16
1602594913,13.08,102.25,30575,116,453,885968,BKK,SGN,TVJ3970,1024,A321,VZ3970,2020-10-13,20:15:13
1602594973,13.02,102.37,31000,116,462,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-10-13,20:16:13
1602595036,12.96,102.5,31000,118,462,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-10-13,20:17:16
1602595099,12.89,102.61,31000,118,460,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-10-13,20:18:19
1602595157,12.83,102.72,31000,118,461,885968,BKK,SGN,TVJ3970,0,A321,VZ3970,2020-10-13,20:19:17
