,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
24,1603590995,1.35,103.98,0,202,15,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,08:56:35
2,1603591087,1.35,103.98,0,22,52,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,08:58:07
75,1603591213,1.45,104.01,1975,349,238,76CC6F,SIN,SGN,SIA178,1856,B78X,SQ178,2020-10-25,09:00:13
101,1603591259,1.5,103.99,3750,342,266,76CC6F,SIN,SGN,SIA178,3264,B78X,SQ178,2020-10-25,09:00:59
51,1603591338,1.6,103.96,6400,341,323,76CC6F,SIN,SGN,SIA178,1344,B78X,SQ178,2020-10-25,09:02:18
39,1603591395,1.69,103.93,8050,341,364,76CC6F,SIN,SGN,SIA178,2496,B78X,SQ178,2020-10-25,09:03:15
64,1603591449,1.78,103.91,10075,353,381,76CC6F,SIN,SGN,SIA178,2624,B78X,SQ178,2020-10-25,09:04:09
6,1603591510,1.89,103.9,12500,356,395,76CC6F,SIN,SGN,SIA178,2880,B78X,SQ178,2020-10-25,09:05:10
12,1603591562,1.99,103.9,14700,356,396,76CC6F,SIN,SGN,SIA178,2176,B78X,SQ178,2020-10-25,09:06:02
42,1603591616,2.09,103.89,16375,356,413,76CC6F,SIN,SGN,SIA178,1344,B78X,SQ178,2020-10-25,09:06:56
50,1603591690,2.23,103.88,18450,356,430,76CC6F,SIN,SGN,SIA178,2240,B78X,SQ178,2020-10-25,09:08:10
92,1603591755,2.37,103.87,20150,359,445,76CC6F,SIN,SGN,SIA178,1664,B78X,SQ178,2020-10-25,09:09:15
15,1603591821,2.5,103.89,22100,8,447,76CC6F,SIN,SGN,SIA178,1600,B78X,SQ178,2020-10-25,09:10:21
13,1603591882,2.63,103.91,23325,8,459,76CC6F,SIN,SGN,SIA178,1088,B78X,SQ178,2020-10-25,09:11:22
68,1603591940,2.75,103.93,24525,8,467,76CC6F,SIN,SGN,SIA178,1088,B78X,SQ178,2020-10-25,09:12:20
57,1603592001,2.88,103.95,25500,8,478,76CC6F,SIN,SGN,SIA178,1408,B78X,SQ178,2020-10-25,09:13:21
49,1603592043,2.98,103.96,26225,8,483,76CC6F,SIN,SGN,SIA178,1152,B78X,SQ178,2020-10-25,09:14:03
30,1603592119,3.15,103.99,27575,8,489,76CC6F,SIN,SGN,SIA178,1280,B78X,SQ178,2020-10-25,09:15:19
97,1603592188,3.3,104.01,28700,8,496,76CC6F,SIN,SGN,SIA178,1216,B78X,SQ178,2020-10-25,09:16:28
9,1603592231,3.4,104.02,29600,8,497,76CC6F,SIN,SGN,SIA178,1600,B78X,SQ178,2020-10-25,09:17:11
38,1603592307,3.54,104.07,29600,19,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:18:27
100,1603592359,3.7,104.07,31675,8,511,76CC6F,SIN,SGN,SIA178,1856,B78X,SQ178,2020-10-25,09:19:19
53,1603592431,3.87,104.09,33550,8,501,76CC6F,SIN,SGN,SIA178,1472,B78X,SQ178,2020-10-25,09:20:31
19,1603592488,4.0,104.11,34725,8,501,76CC6F,SIN,SGN,SIA178,1472,B78X,SQ178,2020-10-25,09:21:28
63,1603592535,4.11,104.13,35850,8,496,76CC6F,SIN,SGN,SIA178,1472,B78X,SQ178,2020-10-25,09:22:15
33,1603592601,4.26,104.15,37375,8,488,76CC6F,SIN,SGN,SIA178,1216,B78X,SQ178,2020-10-25,09:23:21
65,1603592665,4.4,104.17,37975,8,490,76CC6F,SIN,SGN,SIA178,-192,B78X,SQ178,2020-10-25,09:24:25
88,1603592724,4.53,104.19,37975,8,486,76CC6F,SIN,SGN,SIA178,-64,B78X,SQ178,2020-10-25,09:25:24
37,1603592782,4.66,104.21,37975,8,485,76CC6F,SIN,SGN,SIA178,64,B78X,SQ178,2020-10-25,09:26:22
102,1603592843,4.77,104.25,37975,21,485,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:27:23
26,1603592903,4.88,104.3,37975,21,485,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:28:23
78,1603592963,4.98,104.34,37975,21,485,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:29:23
32,1603593027,5.2,104.26,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:30:27
34,1603593075,5.28,104.3,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:31:15
5,1603593135,5.39,104.34,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:32:15
22,1603593195,5.5,104.39,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:33:15
83,1603593255,5.61,104.43,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:34:15
29,1603593315,5.73,104.48,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:35:15
77,1603593375,5.86,104.53,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:36:15
90,1603593435,5.99,104.59,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:37:15
48,1603593495,6.12,104.64,38000,22,497,76CC6F,SIN,SGN,SIA178,0,B78X,SQ178,2020-10-25,09:38:15
