,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
57,1603795703,28.42,133.66,37975,220,482,86E890,NRT,SGN,JAL759,64,B789,JL759,2020-10-27,17:48:23
7,1603795764,28.33,133.57,37975,221,482,86E890,NRT,SGN,JAL759,0,B789,JL759,2020-10-27,17:49:24
143,1603795829,28.21,133.45,37975,220,482,86E890,NRT,SGN,JAL759,0,B789,JL759,2020-10-27,17:50:29
147,1603795893,28.1,133.34,37975,220,482,86E890,NRT,SGN,JAL759,0,B789,JL759,2020-10-27,17:51:33
181,1603795949,28.0,133.25,38000,220,481,86E890,NRT,SGN,JAL759,0,B789,JL759,2020-10-27,17:52:29
145,1603796013,27.89,133.15,38000,220,482,86E890,NRT,SGN,JAL759,-64,B789,JL759,2020-10-27,17:53:33
135,1603796071,27.79,133.06,37975,220,481,86E890,NRT,SGN,JAL759,0,B789,JL759,2020-10-27,17:54:31
30,1603796117,27.72,132.98,38000,220,481,86E890,NRT,SGN,JAL759,0,B789,JL759,2020-10-27,17:55:17
115,1603796178,27.61,132.88,37975,219,481,86E890,NRT,SGN,JAL759,0,B789,JL759,2020-10-27,17:56:18
171,1603796242,27.5,132.78,37975,219,480,86E890,NRT,SGN,JAL759,0,B789,JL759,2020-10-27,17:57:22
196,1603796291,27.42,132.7,37975,219,482,86E890,NRT,SGN,JAL759,0,B789,JL759,2020-10-27,17:58:11
122,1603796349,27.32,132.61,37975,219,484,86E890,NRT,SGN,JAL759,0,B789,JL759,2020-10-27,17:59:09
152,1603796408,27.24,132.51,38000,239,485,86E890,NRT,SGN,JAL759,0,B789,JL759,2020-10-27,18:00:08
67,1603796460,27.13,132.43,37975,219,484,86E890,NRT,SGN,JAL759,-64,B789,JL759,2020-10-27,18:01:00
225,1603796533,27.0,132.31,37975,219,483,86E890,NRT,SGN,JAL759,0,B789,JL759,2020-10-27,18:02:13
45,1603796582,26.92,132.23,37975,219,482,86E890,NRT,SGN,JAL759,0,B789,JL759,2020-10-27,18:03:02
214,1603796644,26.81,132.14,37975,219,485,86E890,NRT,SGN,JAL759,-64,B789,JL759,2020-10-27,18:04:04
183,1603796714,26.69,132.02,37975,219,487,86E890,NRT,SGN,JAL759,0,B789,JL759,2020-10-27,18:05:14
58,1603796775,26.58,131.92,37975,219,488,86E890,NRT,SGN,JAL759,0,B789,JL759,2020-10-27,18:06:15
250,1603796834,26.48,131.83,37975,219,490,86E890,NRT,SGN,JAL759,0,B789,JL759,2020-10-27,18:07:14
