,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
36,1604593916,23.38,113.31,0,307,0,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-11-05,23:31:56
114,1604593971,23.39,113.31,0,13,138,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-11-05,23:32:51
117,1604594037,23.43,113.32,1125,16,166,780F78,CAN,SGN,CSN8175,2240,A333,CZ8175,2020-11-05,23:33:57
56,1604594085,23.47,113.35,3625,28,196,780F78,CAN,SGN,CSN8175,704,A333,CZ8175,2020-11-05,23:34:45
123,1604594143,23.52,113.32,5525,325,258,780F78,CAN,SGN,CSN8175,1600,A333,CZ8175,2020-11-05,23:35:43
130,1604594218,23.56,113.24,6500,277,269,780F78,CAN,SGN,CSN8175,960,A333,CZ8175,2020-11-05,23:36:58
37,1604594279,23.57,113.15,6775,277,269,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-11-05,23:37:59
15,1604594336,23.55,113.08,7950,237,276,780F78,CAN,SGN,CSN8175,1792,A333,CZ8175,2020-11-05,23:38:56
83,1604594390,23.51,113.02,10150,237,289,780F78,CAN,SGN,CSN8175,2368,A333,CZ8175,2020-11-05,23:39:50
132,1604594448,23.45,112.97,12350,183,300,780F78,CAN,SGN,CSN8175,2048,A333,CZ8175,2020-11-05,23:40:48
112,1604594508,23.36,113.0,14475,162,316,780F78,CAN,SGN,CSN8175,1792,A333,CZ8175,2020-11-05,23:41:48
102,1604594572,23.28,113.03,16325,157,335,780F78,CAN,SGN,CSN8175,640,A333,CZ8175,2020-11-05,23:42:52
93,1604594627,23.19,113.07,16975,157,381,780F78,CAN,SGN,CSN8175,704,A333,CZ8175,2020-11-05,23:43:47
51,1604594680,23.1,113.11,17650,157,410,780F78,CAN,SGN,CSN8175,384,A333,CZ8175,2020-11-05,23:44:40
42,1604594734,23.0,113.16,17700,157,409,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-11-05,23:45:34
39,1604594796,22.9,113.21,18025,157,412,780F78,CAN,SGN,CSN8175,1664,A333,CZ8175,2020-11-05,23:46:36
129,1604594856,22.79,113.25,19600,157,421,780F78,CAN,SGN,CSN8175,1408,A333,CZ8175,2020-11-05,23:47:36
46,1604594916,22.68,113.3,21050,157,429,780F78,CAN,SGN,CSN8175,1472,A333,CZ8175,2020-11-05,23:48:36
66,1604594970,22.58,113.34,22125,163,441,780F78,CAN,SGN,CSN8175,1216,A333,CZ8175,2020-11-05,23:49:30
