timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1604745589,5.29,100.27,0,129,1,789240,PEN,SGN,AHK562,0,A333,LD562,2020-11-07,17:39:49
1604745647,5.29,100.27,0,90,3,789240,PEN,SGN,AHK562,0,A333,LD562,2020-11-07,17:40:47
1604745711,5.29,100.27,0,214,3,789240,PEN,SGN,AHK562,0,A333,LD562,2020-11-07,17:41:51
1604745768,5.29,100.27,0,56,0,789240,PEN,SGN,AHK562,0,A333,LD562,2020-11-07,17:42:48
1604745823,5.29,100.27,0,180,0,789240,PEN,SGN,AHK562,0,A333,LD562,2020-11-07,17:43:43
1604745885,5.29,100.27,0,56,0,789240,PEN,SGN,AHK562,0,A333,LD562,2020-11-07,17:44:45
1604745952,5.29,100.27,0,56,0,789240,PEN,SGN,AHK562,0,A333,LD562,2020-11-07,17:45:52
1604746011,5.29,100.27,0,357,8,789240,PEN,SGN,AHK562,0,A333,LD562,2020-11-07,17:46:51
1604746073,5.29,100.27,0,2,6,789240,PEN,SGN,AHK562,0,A333,LD562,2020-11-07,17:47:53
1604746119,5.3,100.28,0,42,140,789240,PEN,SGN,AHK562,0,A333,LD562,2020-11-07,17:48:39
1604746189,5.34,100.31,2425,41,190,789240,PEN,SGN,AHK562,896,A333,LD562,2020-11-07,17:49:49
1604746249,5.39,100.36,4100,50,269,789240,PEN,SGN,AHK562,3392,A333,LD562,2020-11-07,17:50:49
1604746314,5.41,100.44,7225,82,292,789240,PEN,SGN,AHK562,2496,A333,LD562,2020-11-07,17:51:54
1604746368,5.41,100.52,9675,82,306,789240,PEN,SGN,AHK562,2816,A333,LD562,2020-11-07,17:52:48
1604746425,5.43,100.6,11575,82,342,789240,PEN,SGN,AHK562,2944,A333,LD562,2020-11-07,17:53:45
1604746484,5.44,100.7,14225,82,348,789240,PEN,SGN,AHK562,2176,A333,LD562,2020-11-07,17:54:44
1604746542,5.45,100.79,16575,83,358,789240,PEN,SGN,AHK562,3008,A333,LD562,2020-11-07,17:55:42
1604746600,5.46,100.89,18825,82,366,789240,PEN,SGN,AHK562,2368,A333,LD562,2020-11-07,17:56:40
1604746659,5.47,100.99,20925,83,373,789240,PEN,SGN,AHK562,2240,A333,LD562,2020-11-07,17:57:39
1604746729,5.53,101.1,22475,62,400,789240,PEN,SGN,AHK562,704,A333,LD562,2020-11-07,17:58:49
1604746788,5.58,101.2,24475,62,394,789240,PEN,SGN,AHK562,4032,A333,LD562,2020-11-07,17:59:48
1604746847,5.63,101.29,25875,62,402,789240,PEN,SGN,AHK562,1216,A333,LD562,2020-11-07,18:00:47
1604746903,5.68,101.39,27225,62,409,789240,PEN,SGN,AHK562,1216,A333,LD562,2020-11-07,18:01:43
1604746969,5.74,101.5,28475,48,423,789240,PEN,SGN,AHK562,1216,A333,LD562,2020-11-07,18:02:49
1604747033,5.83,101.59,29950,48,425,789240,PEN,SGN,AHK562,1216,A333,LD562,2020-11-07,18:03:53
