,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
13,1604930908,28.48,124.13,38000,215,396,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:08:28
1,1604930968,28.4,124.07,38000,215,396,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:09:28
34,1604931028,28.32,124.01,38000,215,396,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:10:28
84,1604931088,28.25,123.95,38000,215,396,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:11:28
35,1604931148,28.16,123.88,38000,215,396,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:12:28
24,1604931208,28.07,123.8,38000,215,396,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:13:28
50,1604931253,27.87,123.79,38000,202,414,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:14:13
6,1604931312,27.76,123.74,38000,202,415,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:15:12
73,1604931363,27.67,123.69,38000,202,413,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:16:03
90,1604931434,27.56,123.62,38000,216,399,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:17:14
95,1604931492,27.48,123.56,38000,216,400,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:18:12
12,1604931528,27.42,123.51,38000,215,401,71BF41,ICN,SGN,AAR7353,64,A333,OZ7353,2020-11-09,21:18:48
93,1604931604,27.32,123.43,38000,215,401,71BF41,ICN,SGN,AAR7353,64,A333,OZ7353,2020-11-09,21:20:04
36,1604931676,27.23,123.35,38000,215,401,71BF41,ICN,SGN,AAR7353,64,A333,OZ7353,2020-11-09,21:21:16
77,1604931732,27.12,123.26,38000,215,401,71BF41,ICN,SGN,AAR7353,64,A333,OZ7353,2020-11-09,21:22:12
57,1604931788,27.02,123.19,38000,215,402,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:23:08
43,1604931845,26.94,123.12,38000,215,403,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:24:05
87,1604931910,26.84,123.04,38000,215,404,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:25:10
100,1604931973,26.74,122.96,38000,215,405,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:26:13
32,1604932037,26.64,122.89,38000,215,408,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:27:17
52,1604932102,26.53,122.82,38000,198,425,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:28:22
72,1604932159,26.43,122.78,38000,198,426,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:29:19
101,1604932216,26.32,122.74,38000,198,425,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:30:16
51,1604932278,26.2,122.7,38000,198,423,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:31:18
48,1604932342,26.09,122.66,38000,198,421,71BF41,ICN,SGN,AAR7353,-64,A333,OZ7353,2020-11-09,21:32:22
71,1604932396,25.99,122.62,38000,198,421,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:33:16
59,1604932458,25.87,122.58,38000,198,424,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:34:18
19,1604932518,25.76,122.54,38000,198,427,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:35:18
86,1604932579,25.64,122.5,38000,198,431,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:36:19
11,1604932638,25.53,122.45,38000,198,432,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:37:18
88,1604932698,25.42,122.41,38000,198,431,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:38:18
16,1604932755,25.31,122.37,38000,198,430,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:39:15
46,1604932813,25.2,122.33,38000,198,430,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:40:13
81,1604932871,25.09,122.29,38000,198,431,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:41:11
7,1604932930,24.98,122.25,38000,198,434,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:42:10
9,1604932989,24.86,122.21,38000,198,437,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:43:09
78,1604933046,24.75,122.17,38000,198,438,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:44:06
33,1604933106,24.64,122.13,38000,198,437,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:45:06
14,1604933166,24.52,122.09,38000,198,437,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:46:06
54,1604933226,24.41,122.05,38000,197,439,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:47:06
3,1604933294,24.27,122.0,38000,196,442,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:48:14
63,1604933354,24.15,121.96,38000,196,441,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:49:14
106,1604933409,24.05,121.93,38000,196,440,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:50:09
27,1604933473,23.92,121.89,38000,196,437,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:51:13
102,1604933534,23.8,121.85,38000,196,436,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:52:14
44,1604933598,23.68,121.81,38000,196,438,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:53:18
98,1604933652,23.57,121.78,38000,196,439,71BF41,ICN,SGN,AAR7353,64,A333,OZ7353,2020-11-09,21:54:12
66,1604933719,23.44,121.73,38000,196,441,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:55:19
104,1604933778,23.33,121.7,38000,196,440,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:56:18
79,1604933837,23.21,121.66,38000,196,438,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:57:17
91,1604933903,23.08,121.62,38000,196,436,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:58:23
65,1604933958,22.98,121.58,38000,196,436,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,21:59:18
15,1604934023,22.85,121.54,38000,196,439,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:00:23
67,1604934086,22.73,121.5,38000,197,439,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:01:26
47,1604934147,22.62,121.44,38000,218,429,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:02:27
103,1604934210,22.52,121.36,38000,218,429,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:03:30
10,1604934275,22.42,121.27,38000,218,429,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:04:35
58,1604934334,22.33,121.19,38000,218,431,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:05:34
92,1604934391,22.24,121.11,38000,221,430,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:06:31
2,1604934448,22.18,121.01,38000,245,427,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:07:28
80,1604934506,22.14,120.9,38000,244,429,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:08:26
70,1604934567,22.08,120.78,38000,245,429,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:09:27
18,1604934627,22.03,120.66,38000,244,428,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:10:27
62,1604934691,21.98,120.54,38000,245,428,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:11:31
99,1604934747,21.93,120.43,38000,244,428,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:12:27
38,1604934803,21.89,120.32,38000,244,428,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:13:23
17,1604934858,21.84,120.22,38000,244,428,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:14:18
21,1604934923,21.79,120.09,38000,244,428,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:15:23
31,1604934984,21.74,119.97,38000,252,430,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:16:24
40,1604935047,21.71,119.84,38000,257,431,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:17:27
74,1604935088,21.69,119.76,38000,257,432,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:18:08
97,1604935154,21.66,119.62,38000,257,432,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:19:14
75,1604935221,21.63,119.48,38000,257,431,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:20:21
83,1604935284,21.6,119.35,38000,257,430,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:21:24
39,1604935345,21.58,119.22,38000,257,433,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:22:25
89,1604935401,21.55,119.1,38000,257,433,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:23:21
5,1604935464,21.52,118.97,38000,256,435,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:24:24
76,1604935504,21.51,118.89,38000,257,434,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:25:04
0,1604935583,21.47,118.72,38000,256,432,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:26:23
55,1604935643,21.44,118.6,38000,256,433,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:27:23
41,1604935702,21.42,118.47,38000,256,435,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:28:22
37,1604935760,21.39,118.36,38000,256,436,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:29:20
94,1604935817,21.36,118.23,38000,254,439,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:30:17
28,1604935879,21.32,118.1,38000,254,437,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:31:19
96,1604935935,21.29,117.99,38000,254,436,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:32:15
4,1604936001,21.26,117.85,38000,254,436,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:33:21
69,1604936057,21.23,117.73,38000,254,437,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:34:17
23,1604936123,21.19,117.59,38000,254,436,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:35:23
20,1604936175,21.16,117.49,38000,247,437,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:36:15
30,1604936236,21.11,117.38,38000,243,437,71BF41,ICN,SGN,AAR7353,64,A333,OZ7353,2020-11-09,22:37:16
42,1604936292,21.06,117.26,38000,244,439,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:38:12
29,1604936356,21.01,117.15,38000,244,439,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:39:16
82,1604936416,20.96,117.05,38000,244,439,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:40:16
61,1604936486,20.88,116.88,38000,243,441,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:41:26
22,1604936540,20.84,116.78,38000,243,440,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:42:20
8,1604936600,20.79,116.68,38000,243,440,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:43:20
85,1604936668,20.72,116.53,38000,243,437,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:44:28
56,1604936716,20.69,116.45,38000,243,437,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:45:16
68,1604936776,20.64,116.36,38000,243,437,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:46:16
60,1604936836,20.59,116.26,38000,243,437,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:47:16
53,1604936877,20.53,116.12,38000,243,437,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:47:57
64,1604936960,20.46,115.97,38000,243,439,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:49:20
26,1604937019,20.4,115.85,38000,243,443,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:50:19
25,1604937082,20.34,115.72,38000,243,445,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:51:22
45,1604937148,20.29,115.6,38000,243,447,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:52:28
49,1604937205,20.23,115.48,38000,243,444,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:53:25
105,1604937266,20.17,115.36,38000,243,444,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:54:26
166,1604937332,20.11,115.23,38000,243,445,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:55:32
162,1604937387,20.06,115.12,38000,243,446,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,22:56:27
178,1604937450,20.0,115.0,38000,243,446,71BF41,ICN,SGN,AAR7353,-64,A333,OZ7353,2020-11-09,22:57:30
201,1604937508,19.96,114.9,38000,243,446,71BF41,ICN,SGN,AAR7353,64,A333,OZ7353,2020-11-09,22:58:28
193,1604937568,19.91,114.8,38000,243,446,71BF41,ICN,SGN,AAR7353,64,A333,OZ7353,2020-11-09,22:59:28
157,1604937628,19.86,114.7,38000,243,446,71BF41,ICN,SGN,AAR7353,64,A333,OZ7353,2020-11-09,23:00:28
183,1604937692,19.78,114.54,38000,243,448,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,23:01:32
172,1604937752,19.74,114.44,38000,243,448,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,23:02:32
132,1604937812,19.69,114.34,38000,243,448,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,23:03:32
151,1604937876,19.95,114.87,38000,244,446,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,23:04:36
125,1604937936,19.9,114.77,38000,244,446,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,23:05:36
134,1604937996,19.86,114.67,38000,244,446,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,23:06:36
209,1604938056,19.81,114.57,38000,244,446,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,23:07:36
144,1604938116,19.75,114.45,38000,244,446,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,23:08:36
126,1604938188,19.69,114.31,38000,244,446,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,23:09:48
205,1604938248,19.64,114.19,38000,244,446,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,23:10:48
199,1604938308,19.58,114.08,38000,244,446,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,23:11:48
116,1604938356,19.54,113.98,38000,244,446,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,23:12:36
164,1604939636,17.83,110.75,38000,236,458,71BF41,ICN,SGN,AAR7353,0,A333,OZ7353,2020-11-09,23:33:56
