timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1605355272,1.34,103.99,0,205,20,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-11-14,19:01:12
1605355320,1.34,103.99,0,202,21,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-11-14,19:02:00
1605355467,1.37,104.0,1350,21,163,8A04DC,SIN,SGN,TMG501,2752,B733,GM501,2020-11-14,19:04:27
1605355515,1.41,104.02,3175,17,215,8A04DC,SIN,SGN,TMG501,2944,B733,GM501,2020-11-14,19:05:15
1605355575,1.48,104.0,5775,341,272,8A04DC,SIN,SGN,TMG501,3392,B733,GM501,2020-11-14,19:06:15
1605355633,1.55,103.98,8650,342,296,8A04DC,SIN,SGN,TMG501,3136,B733,GM501,2020-11-14,19:07:13
1605355704,1.65,103.95,11375,342,344,8A04DC,SIN,SGN,TMG501,1024,B733,GM501,2020-11-14,19:08:24
1605355759,1.74,103.92,13450,343,379,8A04DC,SIN,SGN,TMG501,2304,B733,GM501,2020-11-14,19:09:19
1605355817,1.84,103.91,16300,356,376,8A04DC,SIN,SGN,TMG501,2944,B733,GM501,2020-11-14,19:10:17
1605355874,1.94,103.9,18325,356,395,8A04DC,SIN,SGN,TMG501,1728,B733,GM501,2020-11-14,19:11:14
1605355939,2.06,103.9,20925,7,397,8A04DC,SIN,SGN,TMG501,2560,B733,GM501,2020-11-14,19:12:19
1605356003,2.18,103.91,22950,6,412,8A04DC,SIN,SGN,TMG501,1472,B733,GM501,2020-11-14,19:13:23
1605356059,2.29,103.93,24325,6,429,8A04DC,SIN,SGN,TMG501,1920,B733,GM501,2020-11-14,19:14:19
1605356117,2.4,103.94,26075,7,433,8A04DC,SIN,SGN,TMG501,1344,B733,GM501,2020-11-14,19:15:17
1605356185,2.54,103.96,27850,6,440,8A04DC,SIN,SGN,TMG501,1792,B733,GM501,2020-11-14,19:16:25
1605356246,2.66,103.97,28000,6,439,8A04DC,SIN,SGN,TMG501,128,B733,GM501,2020-11-14,19:17:26
1605356303,2.78,103.99,28025,7,438,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-11-14,19:18:23
1605356370,2.92,104.0,28000,7,438,8A04DC,SIN,SGN,TMG501,64,B733,GM501,2020-11-14,19:19:30
1605356429,3.03,104.02,28025,7,436,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-11-14,19:20:29
1605356475,3.13,104.03,28025,7,438,8A04DC,SIN,SGN,TMG501,-64,B733,GM501,2020-11-14,19:21:15
1605356549,3.28,104.05,28000,7,438,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-11-14,19:22:29
1605356610,3.4,104.06,28025,7,439,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-11-14,19:23:30
1605356665,3.51,104.08,28025,6,440,8A04DC,SIN,SGN,TMG501,0,B733,GM501,2020-11-14,19:24:25
