timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1606297807,28.47,129.63,37975,234,416,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,16:50:07
1606297857,28.41,129.54,37975,229,421,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,16:50:57
1606297919,28.33,129.44,37975,229,420,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,16:51:59
1606297974,28.26,129.35,38000,229,420,87304A,HND,SGN,ANA891,64,B789,NH891,2020-11-25,16:52:54
1606298033,28.19,129.25,38000,229,421,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,16:53:53
1606298100,28.1,129.14,37975,229,421,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,16:55:00
1606298161,28.02,129.04,38000,228,421,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,16:56:01
1606298219,27.95,128.94,38000,229,421,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-11-25,16:56:59
1606298274,27.88,128.85,37975,228,421,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,16:57:54
1606298327,27.81,128.76,38000,228,421,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,16:58:47
1606298384,27.74,128.67,37975,228,422,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,16:59:44
1606298446,27.66,128.56,38000,228,422,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:00:46
1606298498,27.59,128.48,37975,228,423,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:01:38
1606298568,27.5,128.36,37975,228,423,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:02:48
1606298611,27.45,128.29,38000,228,424,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-11-25,17:03:31
1606298680,27.36,128.18,37975,228,424,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-11-25,17:04:40
1606298743,27.27,128.07,38000,228,425,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:05:43
1606298798,27.2,127.98,38000,228,426,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:06:38
1606298856,27.13,127.89,38000,228,424,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:07:36
1606298912,27.05,127.79,38000,228,425,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:08:32
1606298965,26.98,127.71,37975,228,426,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:09:25
1606299020,26.91,127.62,38000,228,427,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:10:20
1606299084,26.83,127.51,38000,228,424,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:11:24
1606299146,26.75,127.41,38000,228,425,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:12:26
1606299208,26.67,127.31,38000,228,426,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:13:28
1606299263,26.59,127.22,38000,228,427,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:14:23
1606299325,26.51,127.12,37975,228,427,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:15:25
1606299384,26.43,127.02,38000,228,428,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-11-25,17:16:24
1606299448,26.35,126.91,38000,228,429,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:17:28
1606299513,26.26,126.81,38000,228,429,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:18:33
1606299576,26.18,126.7,38000,228,430,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-11-25,17:19:36
1606299628,26.11,126.62,37975,228,429,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:20:28
1606299683,26.03,126.53,38000,228,430,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-11-25,17:21:23
1606299747,25.95,126.42,38000,227,430,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:22:27
1606299806,25.87,126.33,38000,227,431,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:23:26
1606299868,25.79,126.22,37975,227,432,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:24:28
1606299929,25.7,126.12,38000,227,432,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-11-25,17:25:29
1606299982,25.63,126.04,38000,227,433,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:26:22
1606300039,25.55,125.94,37975,227,434,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-11-25,17:27:19
1606300092,25.48,125.86,38000,227,434,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:28:12
1606300164,25.39,125.74,38000,227,436,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:29:24
1606300218,25.31,125.65,38000,227,436,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-11-25,17:30:18
1606300281,25.23,125.55,38000,228,437,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:31:21
1606300339,25.15,125.45,37975,228,437,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:32:19
1606300397,25.07,125.35,37975,228,438,87304A,HND,SGN,ANA891,64,B789,NH891,2020-11-25,17:33:17
1606300463,24.98,125.24,37975,228,440,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-11-25,17:34:23
1606300521,24.9,125.15,38000,228,441,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-11-25,17:35:21
1606300582,24.82,125.05,38000,228,441,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-11-25,17:36:22
1606300637,24.74,124.95,37975,228,441,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-11-25,17:37:17
1606300701,24.65,124.85,38000,228,440,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:38:21
1606300768,24.56,124.74,37975,227,441,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:39:28
1606300828,24.48,124.64,37975,227,441,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:40:28
1606300889,24.4,124.54,37975,227,441,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:41:29
1606300943,24.32,124.45,38000,227,442,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-11-25,17:42:23
1606301008,24.23,124.34,37975,227,443,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:43:28
1606301061,24.16,124.25,37975,227,443,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:44:21
1606301129,24.07,124.14,38000,227,441,87304A,HND,SGN,ANA891,-64,B789,NH891,2020-11-25,17:45:29
1606301193,23.98,124.03,37975,227,441,87304A,HND,SGN,ANA891,0,B789,NH891,2020-11-25,17:46:33
