,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
111,1606639012,22.31,113.93,0,340,2,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,15:36:52
86,1606639064,22.31,113.93,0,28,2,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,15:37:44
37,1606639123,22.31,113.93,0,70,1,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,15:38:43
124,1606639176,22.31,113.93,0,39,0,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,15:39:36
79,1606639246,22.31,113.93,0,70,4,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,15:40:46
84,1606639309,22.31,113.93,0,160,13,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,15:41:49
1,1606639362,22.31,113.93,0,241,11,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,15:42:42
103,1606639425,22.31,113.93,0,250,19,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,15:43:45
101,1606639488,22.31,113.92,0,250,27,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,15:44:48
98,1606639545,22.3,113.92,0,250,17,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,15:45:45
46,1606639603,22.3,113.91,0,250,25,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,15:46:43
42,1606639665,22.3,113.9,0,250,20,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,15:47:45
71,1606639719,22.3,113.9,0,250,11,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,15:48:39
99,1606639787,22.3,113.9,0,70,19,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,15:49:47
88,1606639799,22.3,113.9,0,70,80,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,15:49:59
33,1606639899,22.32,113.98,2700,71,202,780AAC,HKG,SGN,CPA799,2688,A359,CX799,2020-11-29,15:51:39
30,1606639951,22.34,114.03,4800,72,234,780AAC,HKG,SGN,CPA799,2240,A359,CX799,2020-11-29,15:52:31
136,1606640012,22.31,114.09,7500,174,252,780AAC,HKG,SGN,CPA799,2496,A359,CX799,2020-11-29,15:53:32
104,1606640066,22.23,114.09,8500,180,328,780AAC,HKG,SGN,CPA799,832,A359,CX799,2020-11-29,15:54:26
57,1606640133,22.12,114.08,10800,184,362,780AAC,HKG,SGN,CPA799,3712,A359,CX799,2020-11-29,15:55:33
15,1606640187,22.03,114.08,13100,183,367,780AAC,HKG,SGN,CPA799,2688,A359,CX799,2020-11-29,15:56:27
63,1606640246,21.94,114.07,14150,183,376,780AAC,HKG,SGN,CPA799,1536,A359,CX799,2020-11-29,15:57:26
61,1606640295,21.84,114.06,16325,184,393,780AAC,HKG,SGN,CPA799,1792,A359,CX799,2020-11-29,15:58:15
14,1606640361,21.72,114.05,18450,183,398,780AAC,HKG,SGN,CPA799,1344,A359,CX799,2020-11-29,15:59:21
41,1606640414,21.62,114.05,19825,183,405,780AAC,HKG,SGN,CPA799,1600,A359,CX799,2020-11-29,16:00:14
56,1606640486,21.5,114.01,21175,215,400,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:01:26
11,1606640554,21.37,113.99,22675,195,413,780AAC,HKG,SGN,CPA799,1920,A359,CX799,2020-11-29,16:02:34
94,1606640597,21.29,113.96,24875,195,404,780AAC,HKG,SGN,CPA799,704,A359,CX799,2020-11-29,16:03:17
64,1606640672,21.15,113.92,26550,195,410,780AAC,HKG,SGN,CPA799,1216,A359,CX799,2020-11-29,16:04:32
4,1606640731,21.04,113.89,27900,195,412,780AAC,HKG,SGN,CPA799,1408,A359,CX799,2020-11-29,16:05:31
9,1606640772,20.97,113.86,28500,195,421,780AAC,HKG,SGN,CPA799,576,A359,CX799,2020-11-29,16:06:12
87,1606640854,20.81,113.82,29775,195,435,780AAC,HKG,SGN,CPA799,1024,A359,CX799,2020-11-29,16:07:34
39,1606640914,20.69,113.78,30775,195,443,780AAC,HKG,SGN,CPA799,960,A359,CX799,2020-11-29,16:08:34
28,1606640968,20.58,113.75,31600,195,451,780AAC,HKG,SGN,CPA799,896,A359,CX799,2020-11-29,16:09:28
129,1606641034,20.45,113.71,32575,195,460,780AAC,HKG,SGN,CPA799,960,A359,CX799,2020-11-29,16:10:34
89,1606641095,20.32,113.67,33600,195,463,780AAC,HKG,SGN,CPA799,896,A359,CX799,2020-11-29,16:11:35
117,1606641155,20.2,113.64,34350,195,471,780AAC,HKG,SGN,CPA799,704,A359,CX799,2020-11-29,16:12:35
36,1606641217,20.07,113.6,35275,195,475,780AAC,HKG,SGN,CPA799,1344,A359,CX799,2020-11-29,16:13:37
132,1606641274,19.96,113.57,35400,195,474,780AAC,HKG,SGN,CPA799,1408,A359,CX799,2020-11-29,16:14:34
107,1606641334,19.86,113.54,35400,195,474,780AAC,HKG,SGN,CPA799,1408,A359,CX799,2020-11-29,16:15:34
21,1606641394,19.7,113.49,38425,195,465,780AAC,HKG,SGN,CPA799,832,A359,CX799,2020-11-29,16:16:34
105,1606641454,19.59,113.46,38525,195,465,780AAC,HKG,SGN,CPA799,832,A359,CX799,2020-11-29,16:17:34
91,1606641514,19.48,113.43,38525,195,465,780AAC,HKG,SGN,CPA799,832,A359,CX799,2020-11-29,16:18:34
25,1606641574,19.38,113.4,38525,195,465,780AAC,HKG,SGN,CPA799,832,A359,CX799,2020-11-29,16:19:34
27,1606641638,19.2,113.34,40000,195,467,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:20:38
68,1606641698,19.09,113.31,40000,195,467,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:21:38
32,1606641758,18.99,113.28,40000,195,467,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:22:38
109,1606641806,18.9,113.26,40000,195,467,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:23:26
93,1606641878,18.77,113.22,40000,195,467,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:24:38
102,1606641926,18.68,113.2,40000,195,467,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:25:26
128,1606641994,18.54,113.14,40000,196,465,780AAC,HKG,SGN,CPA799,192,A359,CX799,2020-11-29,16:26:34
65,1606642042,18.7,113.19,40000,196,465,780AAC,HKG,SGN,CPA799,192,A359,CX799,2020-11-29,16:27:22
135,1606642102,18.59,113.16,40000,196,465,780AAC,HKG,SGN,CPA799,192,A359,CX799,2020-11-29,16:28:22
74,1606642162,18.49,113.13,40000,196,465,780AAC,HKG,SGN,CPA799,192,A359,CX799,2020-11-29,16:29:22
5,1606642222,18.38,113.1,40000,196,465,780AAC,HKG,SGN,CPA799,192,A359,CX799,2020-11-29,16:30:22
106,1606642282,18.26,113.06,40000,196,465,780AAC,HKG,SGN,CPA799,192,A359,CX799,2020-11-29,16:31:22
47,1606642342,18.14,113.03,40000,196,465,780AAC,HKG,SGN,CPA799,192,A359,CX799,2020-11-29,16:32:22
119,1606642402,18.47,113.12,40000,196,477,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:33:22
17,1606642462,18.36,113.09,40000,196,477,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:34:22
130,1606642522,18.24,113.06,40000,196,477,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:35:22
76,1606642582,18.11,113.02,40000,196,477,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:36:22
83,1606642654,17.96,112.97,40000,196,477,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:37:34
34,1606642714,17.83,112.93,40000,196,477,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:38:34
16,1606642774,17.7,112.89,40000,196,477,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:39:34
18,1606642786,17.68,112.89,40000,196,477,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:39:46
60,1606643476,15.74,111.33,40000,215,456,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:51:16
59,1606643550,15.64,111.24,40000,224,456,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:52:30
81,1606643610,15.57,111.16,40000,224,456,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:53:30
49,1606643670,15.49,111.08,40000,224,456,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:54:30
13,1606643735,15.29,111.0,40000,216,458,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:55:35
29,1606643799,15.18,110.92,40000,216,457,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:56:39
48,1606643852,15.09,110.85,40000,216,459,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:57:32
95,1606643919,14.98,110.76,40000,216,462,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:58:39
6,1606643984,14.87,110.68,40000,216,461,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,16:59:44
62,1606644030,14.79,110.62,39425,216,465,780AAC,HKG,SGN,CPA799,-960,A359,CX799,2020-11-29,17:00:30
50,1606644089,14.68,110.54,38475,216,470,780AAC,HKG,SGN,CPA799,-960,A359,CX799,2020-11-29,17:01:29
92,1606644161,14.56,110.44,38000,216,473,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,17:02:41
26,1606644213,14.46,110.37,38000,216,472,780AAC,HKG,SGN,CPA799,64,A359,CX799,2020-11-29,17:03:33
19,1606644277,14.35,110.29,38000,216,472,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,17:04:37
58,1606644336,14.24,110.21,38000,216,473,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,17:05:36
133,1606644389,14.15,110.14,38000,216,473,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,17:06:29
24,1606644447,14.05,110.06,38000,216,471,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,17:07:27
38,1606644515,13.93,109.97,38000,211,474,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,17:08:35
112,1606644572,13.82,109.91,38000,212,476,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,17:09:32
0,1606644631,13.71,109.83,38000,212,479,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,17:10:31
10,1606644703,13.58,109.75,38000,212,479,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,17:11:43
108,1606644768,13.45,109.67,38000,212,482,780AAC,HKG,SGN,CPA799,64,A359,CX799,2020-11-29,17:12:48
66,1606644825,13.34,109.6,38000,212,481,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,17:13:45
110,1606644890,13.22,109.52,38000,212,485,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,17:14:50
82,1606644955,13.1,109.44,38000,212,486,780AAC,HKG,SGN,CPA799,0,A359,CX799,2020-11-29,17:15:55
