timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1608102744,21.22,105.8,0,286,2,8881B2,HAN,SGN,BAV241,0,B789,QH241,2020-12-16,14:12:24
1608102808,21.22,105.8,0,289,12,8881B2,HAN,SGN,BAV241,0,B789,QH241,2020-12-16,14:13:28
1608102870,21.22,105.79,0,289,17,8881B2,HAN,SGN,BAV241,0,B789,QH241,2020-12-16,14:14:30
1608102932,21.22,105.79,0,298,11,8881B2,HAN,SGN,BAV241,0,B789,QH241,2020-12-16,14:15:32
1608102997,21.22,105.79,0,289,14,8881B2,HAN,SGN,BAV241,0,B789,QH241,2020-12-16,14:16:37
1608103061,21.22,105.79,0,109,4,8881B2,HAN,SGN,BAV241,0,B789,QH241,2020-12-16,14:17:41
1608103121,21.22,105.79,0,284,0,8881B2,HAN,SGN,BAV241,0,B789,QH241,2020-12-16,14:18:41
1608103180,21.22,105.79,0,109,3,8881B2,HAN,SGN,BAV241,0,B789,QH241,2020-12-16,14:19:40
1608103235,21.22,105.79,0,78,6,8881B2,HAN,SGN,BAV241,0,B789,QH241,2020-12-16,14:20:35
1608103300,21.23,105.79,0,30,6,8881B2,HAN,SGN,BAV241,0,B789,QH241,2020-12-16,14:21:40
1608103340,21.23,105.79,0,306,0,8881B2,HAN,SGN,BAV241,0,B789,QH241,2020-12-16,14:22:20
1608103426,21.22,105.82,75,107,165,8881B2,HAN,SGN,BAV241,2112,B789,QH241,2020-12-16,14:23:46
1608103488,21.2,105.87,2125,106,210,8881B2,HAN,SGN,BAV241,1472,B789,QH241,2020-12-16,14:24:48
1608103548,21.18,105.94,4925,106,267,8881B2,HAN,SGN,BAV241,3328,B789,QH241,2020-12-16,14:25:48
1608103605,21.14,106.0,7700,169,285,8881B2,HAN,SGN,BAV241,2944,B789,QH241,2020-12-16,14:26:45
1608103671,21.05,106.01,10650,171,318,8881B2,HAN,SGN,BAV241,1216,B789,QH241,2020-12-16,14:27:51
1608103731,20.95,106.03,12400,171,386,8881B2,HAN,SGN,BAV241,3392,B789,QH241,2020-12-16,14:28:51
1608103796,20.83,106.04,16125,171,399,8881B2,HAN,SGN,BAV241,3712,B789,QH241,2020-12-16,14:29:56
1608103846,20.74,106.06,18700,171,410,8881B2,HAN,SGN,BAV241,2496,B789,QH241,2020-12-16,14:30:46
1608103909,20.62,106.08,21625,171,424,8881B2,HAN,SGN,BAV241,2688,B789,QH241,2020-12-16,14:31:49
1608103977,20.48,106.1,24100,170,450,8881B2,HAN,SGN,BAV241,2560,B789,QH241,2020-12-16,14:32:57
1608104027,20.38,106.13,26025,160,465,8881B2,HAN,SGN,BAV241,2432,B789,QH241,2020-12-16,14:33:47
1608104090,20.25,106.19,28275,154,479,8881B2,HAN,SGN,BAV241,1792,B789,QH241,2020-12-16,14:34:50
1608104151,20.13,106.25,30800,154,476,8881B2,HAN,SGN,BAV241,3840,B789,QH241,2020-12-16,14:35:51
1608104220,19.99,106.32,33225,154,480,8881B2,HAN,SGN,BAV241,832,B789,QH241,2020-12-16,14:37:00
1608104276,19.87,106.37,34300,154,498,8881B2,HAN,SGN,BAV241,1984,B789,QH241,2020-12-16,14:37:56
