,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
150,1608791104,25.08,121.23,0,140,0,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:25:04
37,1608791171,25.08,121.23,0,135,4,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:26:11
188,1608791232,25.08,121.23,0,230,2,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:27:12
169,1608791292,25.08,121.23,0,230,2,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:28:12
71,1608791341,25.08,121.23,0,230,0,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:29:01
183,1608791408,25.08,121.23,0,180,0,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:30:08
31,1608791442,25.08,121.23,0,180,0,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:30:42
64,1608791507,25.08,121.23,0,180,0,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:31:47
172,1608791548,25.08,121.23,0,180,0,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:32:28
161,1608791648,25.08,121.23,0,227,9,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:34:08
105,1608791704,25.08,121.23,0,227,12,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:35:04
78,1608791764,25.08,121.23,0,230,22,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:36:04
123,1608791823,25.08,121.22,0,230,2,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:37:03
136,1608791872,25.07,121.22,0,230,7,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:37:52
38,1608791936,25.07,121.22,0,297,0,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:38:56
65,1608792011,25.07,121.22,0,297,0,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:40:11
128,1608792065,25.07,121.22,0,219,0,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:41:05
66,1608792129,25.07,121.22,0,230,6,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:42:09
89,1608792187,25.07,121.22,0,230,1,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:43:07
171,1608792234,25.07,121.22,0,230,0,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:43:54
130,1608792299,25.07,121.22,0,244,0,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:44:59
84,1608792348,25.07,121.22,0,244,0,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:45:48
8,1608792410,25.07,121.22,0,230,7,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:46:50
134,1608792460,25.07,121.22,0,230,1,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:47:40
107,1608792550,25.07,121.22,0,230,5,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:49:10
126,1608792567,25.07,121.22,0,230,9,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:49:27
36,1608793031,25.07,121.22,0,47,1,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:57:11
121,1608793054,25.07,121.22,0,50,60,899160,TPE,SGN,CAL783,0,A359,CI783,2020-12-24,13:57:34
92,1608793210,25.16,121.33,4750,50,257,899160,TPE,SGN,CAL783,2944,A359,CI783,2020-12-24,14:00:10
163,1608793256,25.2,121.38,7050,50,276,899160,TPE,SGN,CAL783,2496,A359,CI783,2020-12-24,14:00:56
131,1608793324,25.22,121.47,9950,114,309,899160,TPE,SGN,CAL783,2048,A359,CI783,2020-12-24,14:02:04
117,1608793387,25.14,121.53,11300,150,356,899160,TPE,SGN,CAL783,1024,A359,CI783,2020-12-24,14:03:07
81,1608793447,25.06,121.59,13900,149,369,899160,TPE,SGN,CAL783,3008,A359,CI783,2020-12-24,14:04:07
204,1608793502,24.97,121.64,15850,150,392,899160,TPE,SGN,CAL783,896,A359,CI783,2020-12-24,14:05:02
