timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1609045863,7.84,92.04,39000,86,418,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:11:03
1609045904,7.85,92.12,39000,86,417,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:11:44
1609045979,7.86,92.24,39000,86,417,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:12:59
1609046039,7.87,92.34,39000,86,417,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:13:59
1609046103,7.87,92.51,38975,79,428,7705C4,CMB,SGN,ALK324,64,A21N,UL324,2020-12-27,12:15:03
1609046155,7.89,92.59,38975,79,428,7705C4,CMB,SGN,ALK324,64,A21N,UL324,2020-12-27,12:15:55
1609046215,7.91,92.69,38975,79,428,7705C4,CMB,SGN,ALK324,64,A21N,UL324,2020-12-27,12:16:55
1609046275,7.93,92.79,38975,79,428,7705C4,CMB,SGN,ALK324,64,A21N,UL324,2020-12-27,12:17:55
1609046335,7.95,92.89,38975,79,428,7705C4,CMB,SGN,ALK324,64,A21N,UL324,2020-12-27,12:18:55
1609046395,7.97,92.99,38975,79,428,7705C4,CMB,SGN,ALK324,64,A21N,UL324,2020-12-27,12:19:55
1609046455,7.99,93.11,38975,79,428,7705C4,CMB,SGN,ALK324,64,A21N,UL324,2020-12-27,12:20:55
1609046515,8.01,93.23,38975,79,428,7705C4,CMB,SGN,ALK324,64,A21N,UL324,2020-12-27,12:21:55
1609046575,7.96,93.43,38975,89,419,7705C4,CMB,SGN,ALK324,-64,A21N,UL324,2020-12-27,12:22:55
1609046632,7.97,93.54,38950,89,419,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:23:52
1609046690,7.97,93.65,38975,89,421,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:24:50
1609046753,7.97,93.78,39000,89,424,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:25:53
1609046808,7.97,93.89,39025,89,426,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:26:48
1609046866,7.97,94.0,39050,89,426,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:27:46
1609046922,7.97,94.11,39025,89,425,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:28:42
1609046984,7.98,94.23,39000,89,425,7705C4,CMB,SGN,ALK324,-64,A21N,UL324,2020-12-27,12:29:44
1609047028,7.98,94.32,39000,89,424,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:30:28
1609047099,7.98,94.46,39000,88,424,7705C4,CMB,SGN,ALK324,-64,A21N,UL324,2020-12-27,12:31:39
1609047169,7.98,94.6,39000,88,425,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:32:49
1609047213,7.99,94.69,39025,88,424,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:33:33
1609047292,7.99,94.84,39000,88,422,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:34:52
1609047347,7.99,94.95,39000,88,419,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:35:47
1609047403,7.99,95.06,38975,88,419,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:36:43
1609047467,8.0,95.17,38975,88,419,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:37:47
1609047510,8.0,95.27,38975,88,418,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:38:30
1609047586,8.0,95.42,39000,88,420,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:39:46
1609047636,8.01,95.52,39000,88,421,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:40:36
1609047698,8.01,95.64,39025,88,423,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:41:38
1609047747,8.01,95.73,39025,88,422,7705C4,CMB,SGN,ALK324,-64,A21N,UL324,2020-12-27,12:42:27
1609047815,8.02,95.87,39000,88,424,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:43:35
1609047872,8.02,95.98,39025,88,425,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:44:32
1609047932,8.02,96.1,39025,88,423,7705C4,CMB,SGN,ALK324,-64,A21N,UL324,2020-12-27,12:45:32
1609048001,8.03,96.23,39000,88,423,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:46:41
1609048055,8.03,96.34,39000,88,423,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:47:35
1609048116,8.04,96.46,39000,88,422,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:48:36
1609048179,8.04,96.58,39025,88,421,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:49:39
1609048234,8.04,96.69,39000,88,419,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:50:34
1609048301,8.05,96.82,38975,88,419,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:51:41
1609048352,8.05,96.92,38975,88,418,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:52:32
1609048414,8.05,97.04,38975,88,419,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:53:34
1609048473,8.06,97.16,39000,88,420,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:54:33
1609048532,8.06,97.27,39025,86,418,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:55:32
1609048596,8.07,97.4,39000,86,417,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:56:36
1609048660,8.07,97.52,39000,86,417,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:57:40
1609048721,8.08,97.64,38975,87,417,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:58:41
1609048773,8.08,97.74,39025,89,416,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,12:59:33
1609048834,8.08,97.86,38975,90,415,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:00:34
1609048896,8.08,97.98,38975,90,415,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:01:36
1609048951,8.08,98.08,39000,90,414,7705C4,CMB,SGN,ALK324,64,A21N,UL324,2020-12-27,13:02:31
1609049018,8.08,98.21,39000,90,415,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:03:38
1609049076,8.08,98.33,39000,90,415,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:04:36
1609049138,8.08,98.44,38975,90,416,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:05:38
1609049194,8.08,98.55,39000,90,417,7705C4,CMB,SGN,ALK324,64,A21N,UL324,2020-12-27,13:06:34
1609049257,8.08,98.68,39000,90,419,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:07:37
1609049318,8.08,98.79,39000,90,418,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:08:38
1609049382,8.08,98.92,39000,90,417,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:09:42
1609049438,8.08,99.03,39000,90,416,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:10:38
1609049499,8.08,99.15,38975,90,416,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:11:39
1609049558,8.08,99.26,38975,89,416,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:12:38
1609049618,8.12,99.37,38975,63,426,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:13:38
1609049678,8.17,99.48,39000,63,427,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:14:38
1609049737,8.22,99.58,39000,63,428,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:15:37
1609049794,8.27,99.69,39000,63,427,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:16:34
1609049858,8.33,99.8,39000,63,427,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:17:38
1609049922,8.38,99.91,38975,63,426,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:18:42
1609049984,8.44,100.03,38975,63,427,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:19:44
1609050042,8.49,100.13,38975,63,427,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:20:42
1609050102,8.54,100.24,39000,63,427,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:21:42
1609050165,8.6,100.35,39000,63,428,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:22:45
1609050228,8.65,100.46,39000,63,428,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:23:48
1609050288,8.71,100.57,39000,63,428,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:24:48
1609050350,8.76,100.68,38975,63,429,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:25:50
1609050414,8.82,100.8,39000,63,430,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:26:54
1609050467,8.87,100.89,39000,63,431,7705C4,CMB,SGN,ALK324,64,A21N,UL324,2020-12-27,13:27:47
1609050529,8.92,101.0,39000,63,432,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:28:49
1609050594,8.98,101.12,39000,63,434,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:29:54
1609050653,9.03,101.23,39000,63,436,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:30:53
1609050709,9.08,101.33,39000,63,436,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:31:49
1609050770,9.14,101.44,39000,63,436,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:32:50
1609050824,9.19,101.54,39000,63,436,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:33:44
1609050883,9.24,101.65,38975,63,436,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:34:43
1609050942,9.29,101.76,38975,63,436,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:35:42
1609051009,9.35,101.88,39000,63,439,7705C4,CMB,SGN,ALK324,64,A21N,UL324,2020-12-27,13:36:49
1609051060,9.4,101.98,39000,63,440,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:37:40
1609051138,9.47,102.12,39000,63,439,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:38:58
1609051188,9.51,102.21,39000,63,438,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:39:48
1609051255,9.57,102.33,39025,60,435,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:40:55
1609051315,9.64,102.43,39000,51,435,7705C4,CMB,SGN,ALK324,-64,A21N,UL324,2020-12-27,13:41:55
1609051357,9.7,102.5,38975,51,434,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:42:37
1609051440,9.8,102.63,38950,51,434,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:44:00
1609051500,9.88,102.73,38975,51,437,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:45:00
1609051565,9.96,102.83,39000,51,439,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:46:05
1609051624,10.03,102.93,39025,51,440,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:47:04
1609051681,10.1,103.02,39025,51,439,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:48:01
1609051750,10.19,103.13,39000,51,438,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:49:10
1609051806,10.26,103.22,38975,51,438,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:50:06
1609051874,10.35,103.33,39000,51,437,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:51:14
1609051932,10.42,103.42,39000,51,436,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:52:12
1609051995,10.5,103.53,38975,51,437,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:53:15
1609052058,10.55,103.64,39000,76,434,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:54:18
1609052121,10.59,103.76,39000,76,434,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:55:21
1609052179,10.61,103.88,39000,76,434,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:56:19
1609052232,10.64,103.98,39000,76,435,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:57:12
1609052291,10.67,104.1,38975,76,435,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:58:11
1609052358,10.7,104.24,39000,76,436,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,13:59:18
1609052417,10.73,104.35,39000,76,436,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,14:00:17
1609052484,10.76,104.49,39000,76,436,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,14:01:24
1609052545,10.79,104.61,39000,76,435,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,14:02:25
1609052593,10.81,104.7,39000,76,434,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,14:03:13
1609052662,10.85,104.84,38975,76,433,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,14:04:22
1609052724,10.88,104.96,38975,76,433,7705C4,CMB,SGN,ALK324,0,A21N,UL324,2020-12-27,14:05:24
1609052789,10.91,105.09,38625,76,433,7705C4,CMB,SGN,ALK324,-384,A21N,UL324,2020-12-27,14:06:29
1609052846,10.93,105.2,38200,76,438,7705C4,CMB,SGN,ALK324,-448,A21N,UL324,2020-12-27,14:07:26
1609052911,10.96,105.34,37625,76,440,7705C4,CMB,SGN,ALK324,-1216,A21N,UL324,2020-12-27,14:08:31
1609052954,10.98,105.42,35500,86,450,7705C4,CMB,SGN,ALK324,-2752,A21N,UL324,2020-12-27,14:09:14
1609053030,10.99,105.59,33975,86,457,7705C4,CMB,SGN,ALK324,-1024,A21N,UL324,2020-12-27,14:10:30
1609053095,10.99,105.73,32500,86,464,7705C4,CMB,SGN,ALK324,-1472,A21N,UL324,2020-12-27,14:11:35
1609053154,11.0,105.86,31075,86,464,7705C4,CMB,SGN,ALK324,-1408,A21N,UL324,2020-12-27,14:12:34
1609053212,11.01,105.98,29200,86,468,7705C4,CMB,SGN,ALK324,-4992,A21N,UL324,2020-12-27,14:13:32
1609053270,11.02,106.11,26175,86,451,7705C4,CMB,SGN,ALK324,-2560,A21N,UL324,2020-12-27,14:14:30
1609053322,10.99,106.21,23900,128,432,7705C4,CMB,SGN,ALK324,-2752,A21N,UL324,2020-12-27,14:15:22
1609053381,10.9,106.29,21200,137,421,7705C4,CMB,SGN,ALK324,-2688,A21N,UL324,2020-12-27,14:16:21
1609053438,10.82,106.37,18725,137,407,7705C4,CMB,SGN,ALK324,-2624,A21N,UL324,2020-12-27,14:17:18
1609053502,10.73,106.45,16075,137,387,7705C4,CMB,SGN,ALK324,-2496,A21N,UL324,2020-12-27,14:18:22
1609053566,10.65,106.52,13475,137,373,7705C4,CMB,SGN,ALK324,-2368,A21N,UL324,2020-12-27,14:19:26
1609053629,10.58,106.6,11900,114,329,7705C4,CMB,SGN,ALK324,-1472,A21N,UL324,2020-12-27,14:20:29
1609053678,10.55,106.67,10625,112,312,7705C4,CMB,SGN,ALK324,-1472,A21N,UL324,2020-12-27,14:21:18
1609053750,10.51,106.76,8900,111,288,7705C4,CMB,SGN,ALK324,-1344,A21N,UL324,2020-12-27,14:22:30
1609053815,10.54,106.83,8250,14,277,7705C4,CMB,SGN,ALK324,-192,A21N,UL324,2020-12-27,14:23:35
