,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
27,1609167128,17.2,91.14,37000,109,518,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,21:52:08
4,1609167200,17.15,91.29,37000,109,518,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,21:53:20
1,1609167260,17.11,91.41,37000,109,518,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,21:54:20
42,1609167308,17.08,91.51,37000,109,518,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,21:55:08
14,1609167368,17.04,91.63,37000,109,518,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,21:56:08
9,1609167428,16.99,91.77,37000,109,518,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,21:57:08
31,1609167488,16.95,91.91,37000,109,518,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,21:58:08
0,1609167536,16.91,92.03,37000,109,518,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,21:58:56
34,1609167596,16.86,92.17,37000,109,518,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,21:59:56
36,1609167656,16.82,92.31,37000,109,518,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,22:00:56
7,1609167668,16.81,92.34,37000,109,518,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,22:01:08
53,1609168282,16.13,94.15,37000,110,511,8964FF,AUH,SGN,,0,B78X,EY975,2020-12-28,22:11:22
39,1609168346,16.08,94.29,37000,111,510,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:12:26
43,1609168404,16.03,94.42,37000,112,510,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:13:24
49,1609168469,15.97,94.57,37000,111,509,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:14:29
47,1609168525,15.93,94.7,37000,111,506,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:15:25
29,1609168583,15.88,94.83,37000,111,502,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:16:23
8,1609168646,15.82,94.97,36975,111,501,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:17:26
19,1609168684,15.79,95.05,37000,111,501,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:18:04
20,1609168765,15.72,95.24,36975,111,500,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,22:19:25
48,1609168813,15.68,95.34,37000,111,500,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:20:13
57,1609168885,15.62,95.5,37000,111,498,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:21:25
46,1609168946,15.57,95.64,37000,111,498,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,22:22:26
35,1609169015,15.51,95.79,37000,111,497,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:23:35
2,1609169079,15.45,95.93,37000,111,499,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:24:39
41,1609169143,15.4,96.08,37000,111,499,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:25:43
10,1609169197,15.35,96.2,36975,111,499,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:26:37
5,1609169248,15.31,96.31,37000,111,500,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,22:27:28
45,1609169318,15.25,96.46,36975,111,498,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:28:38
56,1609169374,15.2,96.59,37000,111,499,8964FF,AUH,SGN,ETD975,-128,B78X,EY975,2020-12-28,22:29:34
38,1609169438,15.14,96.73,36975,111,493,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:30:38
16,1609169497,15.09,96.86,37000,112,490,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:31:37
52,1609169562,15.04,97.0,37000,112,490,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:32:42
50,1609169617,14.99,97.12,36975,112,491,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:33:37
44,1609169687,14.93,97.27,37000,112,491,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:34:47
24,1609169746,14.88,97.4,37000,112,490,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:35:46
6,1609169802,14.83,97.52,37000,112,492,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,22:36:42
18,1609169861,14.78,97.65,37000,112,492,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:37:41
12,1609169919,14.73,97.77,36975,112,491,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:38:39
32,1609169975,14.68,97.89,36975,112,489,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,22:39:35
28,1609170035,14.63,98.02,36975,112,489,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:40:35
26,1609170099,14.57,98.16,37000,112,491,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,22:41:39
13,1609170152,14.53,98.28,37000,112,493,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,22:42:32
40,1609170217,14.47,98.42,36975,112,490,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:43:37
21,1609170282,14.42,98.56,36975,108,489,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,22:44:42
37,1609170343,14.38,98.7,37000,104,489,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:45:43
25,1609170409,14.34,98.84,36975,104,489,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:46:49
55,1609170470,14.31,98.98,36975,104,486,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,22:47:50
22,1609170531,14.27,99.12,36975,104,486,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:48:51
15,1609170591,14.24,99.25,37000,104,488,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:49:51
30,1609170651,14.2,99.39,37000,104,487,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,22:50:51
3,1609170715,14.17,99.53,37000,104,487,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,22:51:55
33,1609170779,14.13,99.68,37000,104,486,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,22:52:59
51,1609170835,14.1,99.8,37000,104,487,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:53:55
91,1609170895,14.06,99.94,36975,104,484,8964FF,AUH,SGN,ETD975,0,B78X,EY975,2020-12-28,22:54:55
61,1609170950,14.03,100.06,37000,104,483,8964FF,AUH,SGN,ETD975,-64,B78X,EY975,2020-12-28,22:55:50
