timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
1609345708,23.38,113.31,0,14,78,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-30,23:28:28
1609345781,23.43,113.32,300,13,154,780F78,CAN,SGN,CSN8175,3072,A333,CZ8175,2020-12-30,23:29:41
1609345830,23.46,113.34,3825,33,177,780F78,CAN,SGN,CSN8175,1152,A333,CZ8175,2020-12-30,23:30:30
1609345892,23.51,113.36,5350,338,269,780F78,CAN,SGN,CSN8175,1536,A333,CZ8175,2020-12-30,23:31:32
1609345955,23.54,113.29,6450,276,278,780F78,CAN,SGN,CSN8175,-64,A333,CZ8175,2020-12-30,23:32:35
1609346006,23.55,113.22,6450,276,276,780F78,CAN,SGN,CSN8175,384,A333,CZ8175,2020-12-30,23:33:26
1609346072,23.56,113.13,9400,275,258,780F78,CAN,SGN,CSN8175,2560,A333,CZ8175,2020-12-30,23:34:32
1609346127,23.55,113.06,11400,243,287,780F78,CAN,SGN,CSN8175,896,A333,CZ8175,2020-12-30,23:35:27
1609346187,23.47,113.03,12850,164,385,780F78,CAN,SGN,CSN8175,2752,A333,CZ8175,2020-12-30,23:36:27
1609346253,23.35,113.07,15475,162,395,780F78,CAN,SGN,CSN8175,2240,A333,CZ8175,2020-12-30,23:37:33
1609346316,23.24,113.11,17500,161,410,780F78,CAN,SGN,CSN8175,1408,A333,CZ8175,2020-12-30,23:38:36
1609346371,23.14,113.15,17700,161,412,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-30,23:39:31
1609346432,23.03,113.18,17700,161,413,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-30,23:40:32
1609346485,22.93,113.22,17700,161,412,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-30,23:41:25
1609346547,22.82,113.26,19100,161,418,780F78,CAN,SGN,CSN8175,1664,A333,CZ8175,2020-12-30,23:42:27
1609346612,22.7,113.3,21225,161,426,780F78,CAN,SGN,CSN8175,2880,A333,CZ8175,2020-12-30,23:43:32
1609346676,22.58,113.34,23275,162,428,780F78,CAN,SGN,CSN8175,1536,A333,CZ8175,2020-12-30,23:44:36
1609346730,22.47,113.38,24650,162,438,780F78,CAN,SGN,CSN8175,768,A333,CZ8175,2020-12-30,23:45:30
1609346800,22.34,113.43,25000,162,451,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-30,23:46:40
1609346853,22.23,113.46,25000,162,450,780F78,CAN,SGN,CSN8175,128,A333,CZ8175,2020-12-30,23:47:33
1609346914,22.11,113.51,25000,160,453,780F78,CAN,SGN,CSN8175,64,A333,CZ8175,2020-12-30,23:48:34
1609346971,21.99,113.55,25000,157,452,780F78,CAN,SGN,CSN8175,64,A333,CZ8175,2020-12-30,23:49:31
1609347032,21.88,113.62,25850,150,464,780F78,CAN,SGN,CSN8175,1664,A333,CZ8175,2020-12-30,23:50:32
1609347091,21.77,113.68,27275,150,467,780F78,CAN,SGN,CSN8175,1216,A333,CZ8175,2020-12-30,23:51:31
1609347144,21.67,113.74,28400,156,468,780F78,CAN,SGN,CSN8175,1280,A333,CZ8175,2020-12-30,23:52:24
1609347196,21.56,113.78,29375,167,468,780F78,CAN,SGN,CSN8175,1024,A333,CZ8175,2020-12-30,23:53:16
1609347268,21.41,113.79,30950,192,456,780F78,CAN,SGN,CSN8175,1280,A333,CZ8175,2020-12-30,23:54:28
1609347327,21.28,113.76,31875,192,464,780F78,CAN,SGN,CSN8175,384,A333,CZ8175,2020-12-30,23:55:27
1609347386,21.16,113.73,32000,192,474,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-30,23:56:26
1609347440,21.04,113.7,32000,192,471,780F78,CAN,SGN,CSN8175,64,A333,CZ8175,2020-12-30,23:57:20
1609347508,20.9,113.66,32000,192,474,780F78,CAN,SGN,CSN8175,64,A333,CZ8175,2020-12-30,23:58:28
1609347568,20.77,113.63,32000,192,472,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-30,23:59:28
1609347636,20.62,113.6,32000,192,470,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-31,00:00:36
1609347691,20.51,113.57,32000,192,471,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-31,00:01:31
1609347738,20.41,113.55,32000,192,473,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-31,00:02:18
1609347798,20.28,113.52,32001,193,474,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-31,00:03:18
1609347854,20.16,113.49,32001,193,473,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-31,00:04:14
1609347921,20.02,113.46,32001,193,474,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-31,00:05:21
1609347981,19.92,113.43,32001,193,474,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-31,00:06:21
1609348041,19.84,113.41,32000,193,468,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-31,00:07:21
1609348093,19.66,113.37,32000,192,469,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-31,00:08:13
1609348153,19.55,113.35,32000,192,469,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-31,00:09:13
1609348213,19.44,113.32,32000,192,469,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-31,00:10:13
1609348273,19.34,113.3,32000,192,469,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-31,00:11:13
1609348341,19.58,113.35,32000,193,466,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-31,00:12:21
1609348389,19.49,113.33,32000,193,466,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-31,00:13:09
1609348449,18.93,113.2,32000,193,469,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-31,00:14:09
1609348509,18.82,113.17,32000,193,469,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-31,00:15:09
1609348569,18.71,113.15,32000,193,469,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-31,00:16:09
1609348629,18.95,113.2,32000,193,463,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-31,00:17:09
1609348689,18.84,113.18,32000,193,463,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-31,00:18:09
1609348749,18.73,113.15,32000,193,463,780F78,CAN,SGN,CSN8175,0,A333,CZ8175,2020-12-31,00:19:09
