,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
41,1610674217,21.19,105.9,3850,105,225,8881A0,HAN,SGN,BAV205,3200,A320,QH205,2021-01-15,08:30:17
57,1610674280,21.14,105.94,6900,168,242,8881A0,HAN,SGN,BAV205,3136,A320,QH205,2021-01-15,08:31:20
20,1610674336,21.07,105.96,9250,166,291,8881A0,HAN,SGN,BAV205,3392,A320,QH205,2021-01-15,08:32:16
70,1610674397,20.98,105.98,11050,166,345,8881A0,HAN,SGN,BAV205,1024,A320,QH205,2021-01-15,08:33:17
31,1610674464,20.87,106.01,13750,166,366,8881A0,HAN,SGN,BAV205,4096,A320,QH205,2021-01-15,08:34:24
80,1610674520,20.78,106.03,15550,166,381,8881A0,HAN,SGN,BAV205,896,A320,QH205,2021-01-15,08:35:20
4,1610674587,20.66,106.06,17225,166,402,8881A0,HAN,SGN,BAV205,1408,A320,QH205,2021-01-15,08:36:27
52,1610674636,20.57,106.08,19100,168,397,8881A0,HAN,SGN,BAV205,1664,A320,QH205,2021-01-15,08:37:16
3,1610674705,20.44,106.11,21200,170,407,8881A0,HAN,SGN,BAV205,1536,A320,QH205,2021-01-15,08:38:25
9,1610674764,20.33,106.15,21925,154,446,8881A0,HAN,SGN,BAV205,1536,A320,QH205,2021-01-15,08:39:24
32,1610674819,20.23,106.2,23275,154,455,8881A0,HAN,SGN,BAV205,768,A320,QH205,2021-01-15,08:40:19
54,1610674879,20.11,106.25,24625,154,463,8881A0,HAN,SGN,BAV205,1728,A320,QH205,2021-01-15,08:41:19
94,1610674934,20.0,106.31,26025,154,465,8881A0,HAN,SGN,BAV205,1472,A320,QH205,2021-01-15,08:42:14
87,1610674990,19.89,106.36,27225,154,468,8881A0,HAN,SGN,BAV205,320,A320,QH205,2021-01-15,08:43:10
74,1610675056,19.76,106.43,28175,154,482,8881A0,HAN,SGN,BAV205,896,A320,QH205,2021-01-15,08:44:16
51,1610675118,19.64,106.49,29175,154,490,8881A0,HAN,SGN,BAV205,1088,A320,QH205,2021-01-15,08:45:18
82,1610675174,19.52,106.55,30275,154,491,8881A0,HAN,SGN,BAV205,1280,A320,QH205,2021-01-15,08:46:14
43,1610675237,19.39,106.61,31450,154,492,8881A0,HAN,SGN,BAV205,1600,A320,QH205,2021-01-15,08:47:17
36,1610675305,19.25,106.68,32750,154,491,8881A0,HAN,SGN,BAV205,896,A320,QH205,2021-01-15,08:48:25
69,1610675364,19.13,106.74,34050,156,485,8881A0,HAN,SGN,BAV205,1408,A320,QH205,2021-01-15,08:49:24
33,1610675419,19.01,106.79,35325,155,477,8881A0,HAN,SGN,BAV205,1472,A320,QH205,2021-01-15,08:50:19
48,1610675485,18.88,106.85,36025,156,464,8881A0,HAN,SGN,BAV205,-64,A320,QH205,2021-01-15,08:51:25
23,1610675547,18.76,106.91,36000,156,470,8881A0,HAN,SGN,BAV205,64,A320,QH205,2021-01-15,08:52:27
