,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
142,1611058702,28.49,124.14,34000,215,346,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:18:22
131,1611058762,28.42,124.08,34000,215,346,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:19:22
78,1611058822,28.35,124.03,34000,215,346,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:20:22
110,1611058882,28.29,123.98,34000,215,346,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:21:22
116,1611058944,28.12,123.91,34000,202,359,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:22:24
101,1611059004,28.03,123.86,34000,202,360,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:23:24
67,1611059057,27.95,123.82,34000,203,360,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:24:17
170,1611059115,27.86,123.78,34000,202,363,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:25:15
90,1611059174,27.77,123.74,34000,204,364,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:26:14
155,1611059230,27.68,123.7,34000,204,366,71C324,ICN,SGN,TWB1121,-64,B738,TW1121,2021-01-19,19:27:10
47,1611059277,27.61,123.65,34000,204,369,71C324,ICN,SGN,TWB1121,64,B738,TW1121,2021-01-19,19:27:57
113,1611059360,27.48,123.59,34000,204,372,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:29:20
80,1611059409,27.4,123.55,34000,204,374,71C324,ICN,SGN,TWB1121,-64,B738,TW1121,2021-01-19,19:30:09
54,1611059459,27.32,123.51,34000,204,374,71C324,ICN,SGN,TWB1121,-128,B738,TW1121,2021-01-19,19:30:59
149,1611059534,27.22,123.46,34000,204,374,71C324,ICN,SGN,TWB1121,-128,B738,TW1121,2021-01-19,19:32:14
48,1611059596,27.1,123.4,34000,204,374,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:33:16
93,1611059645,27.03,123.36,34000,204,374,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:34:05
28,1611059696,26.94,123.32,34000,204,374,71C324,ICN,SGN,TWB1121,-64,B738,TW1121,2021-01-19,19:34:56
134,1611059778,26.83,123.26,34000,204,374,71C324,ICN,SGN,TWB1121,-64,B738,TW1121,2021-01-19,19:36:18
124,1611059838,26.75,123.22,34000,204,374,71C324,ICN,SGN,TWB1121,-64,B738,TW1121,2021-01-19,19:37:18
140,1611059889,26.64,123.16,34000,204,377,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:38:09
6,1611059950,26.54,123.11,34000,204,371,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:39:10
147,1611060007,26.45,123.07,34000,204,363,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:40:07
167,1611060070,26.36,123.02,34000,204,363,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:41:10
55,1611060133,26.26,122.97,34000,204,364,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:42:13
46,1611060174,26.2,122.94,34000,204,364,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:42:54
45,1611060252,26.08,122.88,34000,204,365,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:44:12
8,1611060318,25.97,122.83,34000,204,366,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:45:18
126,1611060382,25.88,122.78,34000,204,365,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:46:22
73,1611060445,25.78,122.73,34000,204,366,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:47:25
99,1611060505,25.68,122.68,34000,204,367,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:48:25
97,1611060551,25.62,122.65,34000,204,366,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:49:11
77,1611060620,25.51,122.59,34000,204,366,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:50:20
71,1611060688,25.4,122.54,34000,204,366,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:51:28
160,1611060746,25.31,122.5,34000,204,366,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:52:26
100,1611060809,25.22,122.45,34000,204,366,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:53:29
40,1611060869,25.12,122.4,34000,204,367,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:54:29
2,1611060924,25.04,122.36,34000,204,368,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:55:24
51,1611060988,24.94,122.31,34000,204,371,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:56:28
7,1611061047,24.84,122.27,34000,204,372,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:57:27
164,1611061113,24.74,122.22,34000,204,371,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:58:33
32,1611061177,24.64,122.17,34000,204,371,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,19:59:37
117,1611061240,24.54,122.12,34000,204,370,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:00:40
94,1611061301,24.44,122.07,34000,204,371,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:01:41
89,1611061363,24.35,122.03,34000,198,374,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:02:43
21,1611061421,24.25,121.99,34000,196,376,71C324,ICN,SGN,TWB1121,64,B738,TW1121,2021-01-19,20:03:41
132,1611061477,24.16,121.96,34000,196,379,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:04:37
109,1611061537,24.05,121.93,34000,196,382,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:05:37
0,1611061600,23.95,121.9,34000,196,385,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:06:40
106,1611061662,23.84,121.86,34000,196,387,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:07:42
183,1611061722,23.74,121.83,34000,196,388,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:08:42
34,1611061785,23.63,121.79,34000,196,389,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:09:45
128,1611061844,23.53,121.76,34000,196,390,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:10:44
5,1611061905,23.42,121.73,34000,196,391,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:11:45
139,1611061965,23.32,121.69,34000,196,391,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:12:45
115,1611062028,23.21,121.66,34000,196,391,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:13:48
83,1611062084,23.11,121.63,34000,196,390,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:14:44
187,1611062145,23.0,121.59,34000,203,386,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:15:45
172,1611062212,22.9,121.52,34000,214,379,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:16:52
56,1611062276,22.81,121.45,34000,215,380,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:17:56
112,1611062335,22.73,121.39,34000,215,381,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:18:55
108,1611062397,22.64,121.31,34000,219,380,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:19:57
63,1611062457,22.56,121.24,34000,219,382,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:20:57
152,1611062517,22.48,121.17,34000,219,382,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:21:57
59,1611062573,22.4,121.1,34000,219,382,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:22:53
72,1611062637,22.31,121.02,34000,219,384,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:23:57
74,1611062693,22.24,120.95,34000,219,383,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:24:53
122,1611062753,22.15,120.88,34000,219,383,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:25:53
35,1611062816,22.07,120.81,34000,219,384,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:26:56
27,1611062873,21.99,120.74,34000,219,385,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:27:53
84,1611062929,21.91,120.67,34475,219,385,71C324,ICN,SGN,TWB1121,448,B738,TW1121,2021-01-19,20:28:49
49,1611062992,21.82,120.59,34975,219,384,71C324,ICN,SGN,TWB1121,512,B738,TW1121,2021-01-19,20:29:52
171,1611063053,21.74,120.52,35000,219,385,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:30:53
129,1611063112,21.66,120.45,35000,219,385,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:31:52
82,1611063177,21.57,120.37,35000,218,383,71C324,ICN,SGN,TWB1121,0,B738,TW1121,2021-01-19,20:32:57
