,timestamp,latitude,longitude,altitude,heading_angle,ground_speed,icao24,origin,destination,airliner,vertical_rate,aircraft_model,flight_number,flight_date,flight_time
3,1611487549,13.71,100.75,0,194,2,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,18:25:49
39,1611487610,13.71,100.75,0,196,0,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,18:26:50
43,1611487791,13.71,100.75,0,236,7,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,18:29:51
7,1611487845,13.71,100.75,0,194,11,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,18:30:45
65,1611487906,13.7,100.75,0,194,10,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,18:31:46
53,1611487955,13.7,100.74,0,284,6,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,18:32:35
38,1611488001,13.7,100.74,0,194,4,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,18:33:21
22,1611488085,13.69,100.74,100,194,157,3C458B,BKK,SGN,BOX620,128,B77L,3S620,2021-01-24,18:34:45
16,1611488142,13.64,100.73,2000,194,176,3C458B,BKK,SGN,BOX620,2240,B77L,3S620,2021-01-24,18:35:42
8,1611488202,13.59,100.72,4225,156,188,3C458B,BKK,SGN,BOX620,2240,B77L,3S620,2021-01-24,18:36:42
61,1611488260,13.55,100.76,5600,134,257,3C458B,BKK,SGN,BOX620,1536,B77L,3S620,2021-01-24,18:37:40
66,1611488329,13.51,100.84,8450,86,292,3C458B,BKK,SGN,BOX620,2816,B77L,3S620,2021-01-24,18:38:49
87,1611488394,13.52,100.93,11000,86,322,3C458B,BKK,SGN,BOX620,1280,B77L,3S620,2021-01-24,18:39:54
0,1611488453,13.52,101.03,12725,87,385,3C458B,BKK,SGN,BOX620,3392,B77L,3S620,2021-01-24,18:40:53
81,1611488518,13.52,101.15,16100,92,403,3C458B,BKK,SGN,BOX620,2752,B77L,3S620,2021-01-24,18:41:58
59,1611488569,13.52,101.25,18325,92,422,3C458B,BKK,SGN,BOX620,2368,B77L,3S620,2021-01-24,18:42:49
34,1611488633,13.5,101.38,21175,110,436,3C458B,BKK,SGN,BOX620,2880,B77L,3S620,2021-01-24,18:43:53
2,1611488685,13.45,101.48,23300,117,449,3C458B,BKK,SGN,BOX620,2368,B77L,3S620,2021-01-24,18:44:45
48,1611488754,13.39,101.61,25800,116,468,3C458B,BKK,SGN,BOX620,2304,B77L,3S620,2021-01-24,18:45:54
12,1611488812,13.33,101.73,27650,115,488,3C458B,BKK,SGN,BOX620,1664,B77L,3S620,2021-01-24,18:46:52
45,1611488870,13.27,101.85,29475,116,504,3C458B,BKK,SGN,BOX620,2112,B77L,3S620,2021-01-24,18:47:50
20,1611488935,13.2,101.99,31975,116,502,3C458B,BKK,SGN,BOX620,1792,B77L,3S620,2021-01-24,18:48:55
77,1611488997,13.14,102.12,33025,116,482,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,18:49:57
67,1611489057,13.08,102.25,33000,116,479,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,18:50:57
78,1611489115,13.03,102.36,33000,116,476,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,18:51:55
19,1611489170,12.97,102.47,33000,117,477,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,18:52:50
56,1611489227,12.91,102.58,33000,121,480,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,18:53:47
69,1611489288,12.84,102.7,33000,121,478,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,18:54:48
71,1611489347,12.77,102.82,33000,121,477,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,18:55:47
23,1611489403,12.7,102.93,33000,121,475,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,18:56:43
84,1611489463,12.64,103.04,33000,121,471,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,18:57:43
72,1611489523,12.57,103.15,33000,121,474,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,18:58:43
70,1611489582,12.5,103.27,33000,121,472,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,18:59:42
75,1611489638,12.44,103.37,33000,121,473,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,19:00:38
50,1611489700,12.37,103.49,33000,121,473,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,19:01:40
88,1611489757,12.3,103.6,33000,121,477,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,19:02:37
40,1611489822,12.22,103.73,33000,121,478,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,19:03:42
54,1611489877,12.16,103.83,33000,121,477,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,19:04:37
62,1611489933,12.09,103.94,33000,121,478,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,19:05:33
49,1611489991,12.03,104.05,33000,121,479,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,19:06:31
36,1611490051,11.96,104.17,33000,121,478,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,19:07:31
33,1611490109,11.89,104.28,33000,121,477,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,19:08:29
35,1611490168,11.82,104.39,33000,121,479,3C458B,BKK,SGN,BOX620,-64,B77L,3S620,2021-01-24,19:09:28
32,1611490226,11.75,104.5,33000,121,481,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,19:10:26
30,1611490284,11.68,104.61,33000,121,480,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,19:11:24
15,1611490351,11.61,104.74,33000,121,477,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,19:12:31
31,1611490406,11.54,104.85,33000,116,476,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,19:13:26
37,1611490471,11.49,104.98,33000,111,476,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,19:14:31
86,1611490535,11.44,105.12,33000,111,477,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,19:15:35
25,1611490583,11.4,105.22,33000,111,479,3C458B,BKK,SGN,BOX620,0,B77L,3S620,2021-01-24,19:16:23
52,1611490657,11.34,105.37,32975,111,482,3C458B,BKK,SGN,BOX620,-448,B77L,3S620,2021-01-24,19:17:37
14,1611490720,11.29,105.5,32150,113,474,3C458B,BKK,SGN,BOX620,-768,B77L,3S620,2021-01-24,19:18:40
10,1611490779,11.22,105.62,29075,123,480,3C458B,BKK,SGN,BOX620,-3328,B77L,3S620,2021-01-24,19:19:39
4,1611490838,11.15,105.73,26300,123,471,3C458B,BKK,SGN,BOX620,-2944,B77L,3S620,2021-01-24,19:20:38
73,1611490904,11.07,105.85,23400,123,460,3C458B,BKK,SGN,BOX620,-2560,B77L,3S620,2021-01-24,19:21:44
80,1611490964,11.0,105.96,22000,123,422,3C458B,BKK,SGN,BOX620,-1024,B77L,3S620,2021-01-24,19:22:44
74,1611491024,10.94,106.05,20475,123,400,3C458B,BKK,SGN,BOX620,-1216,B77L,3S620,2021-01-24,19:23:44
6,1611491085,10.87,106.14,18175,123,400,3C458B,BKK,SGN,BOX620,-1792,B77L,3S620,2021-01-24,19:24:45
41,1611491144,10.81,106.23,16600,123,383,3C458B,BKK,SGN,BOX620,-1984,B77L,3S620,2021-01-24,19:25:44
5,1611491210,10.75,106.34,14050,123,389,3C458B,BKK,SGN,BOX620,-1600,B77L,3S620,2021-01-24,19:26:50
68,1611491269,10.69,106.42,12950,123,363,3C458B,BKK,SGN,BOX620,-960,B77L,3S620,2021-01-24,19:27:49
42,1611491334,10.63,106.51,12250,123,341,3C458B,BKK,SGN,BOX620,-576,B77L,3S620,2021-01-24,19:28:54
29,1611491390,10.59,106.58,12050,119,297,3C458B,BKK,SGN,BOX620,64,B77L,3S620,2021-01-24,19:29:50
79,1611491454,10.55,106.66,11225,111,277,3C458B,BKK,SGN,BOX620,-1088,B77L,3S620,2021-01-24,19:30:54
44,1611491510,10.53,106.72,10200,112,273,3C458B,BKK,SGN,BOX620,-1152,B77L,3S620,2021-01-24,19:31:50
21,1611491566,10.5,106.79,9175,112,267,3C458B,BKK,SGN,BOX620,-960,B77L,3S620,2021-01-24,19:32:46
